work_title,sentence,sentence_length
உரைவேந்தர்_ஒளவை_சு._துரைசாமிபிள்ளை,உரைவேந்தர் ஒளவை சு.,3
உரைவேந்தர்_ஒளவை_சு._துரைசாமிபிள்ளை,அவர்களுக்குக் கீழே அமர்ந்து அந்த விளக்கத்தை எழுதுகிறார் ஓர் எழுத்தர்.,8
உரைவேந்தர்_ஒளவை_சு._துரைசாமிபிள்ளை,எழுதும் கலையைச் சித்திரிக்கும் முதல் இந்தியச் சிற்பம் இதுவாகவே இருக்கலாம்.,8
உரைவேந்தர்_ஒளவை_சு._துரைசாமிபிள்ளை,நாகார்ஜுன மலைச்சிற்பம் கி.பி.,4
உரைவேந்தர்_ஒளவை_சு._துரைசாமிபிள்ளை,உரைவேந்தர் ஒளவை சு.துரைசாமிபிள்ளை இந்திய இலக்கியச் சிற்பிகள் உரைவேந்தர் ஒளவை சு.துரைசாமிபிள்ளை ச.,12
உரைவேந்தர்_ஒளவை_சு._துரைசாமிபிள்ளை,"விற்பனை ஸ்வாதி மந்திர் சாலை, புது தில்லி நூற்றி பத்து ஒன்று.",9
உரைவேந்தர்_ஒளவை_சு._துரைசாமிபிள்ளை,"மத்தியக் கல்லூரி வளாகம், பல்கலைக்கழக நூலகக் கட்டடம், டாக்டர் அம்பேத்கர் வீதி, பெங்களுர் ஐநூற்று அறுபது ஒன்று.",13
உரைவேந்தர்_ஒளவை_சு._துரைசாமிபிள்ளை,"குணா பில்டிங்ஸ், நாநூற்று நாற்பத்து மூன்று, அண்ணாசாலை, தேனாம்பேட்டை, சென்னை அறுநூறு  பதினெட்டு .",10
உரைவேந்தர்_ஒளவை_சு._துரைசாமிபிள்ளை,"அச்சு விக்னேஷ் பிரிண்ட்ஸ், சென்னை எண்பத்து மூன்று.",6
உரைவேந்தர்_ஒளவை_சு._துரைசாமிபிள்ளை,இவ்வாறு கூறியவர் உரைவேந்தர் என உத்தமர்களால் போற்றப்படும் ஒளவை.,7
உரைவேந்தர்_ஒளவை_சு._துரைசாமிபிள்ளை,சு.துரைசாமி பிள்ளையாவர்.,3
உரைவேந்தர்_ஒளவை_சு._துரைசாமிபிள்ளை,ஒளவை யைக் கண்ணாற் கண்டோமில்லை இந்த ஒளவையைக் காண முடிந்ததே என்று பலரும் மகிழ்ந்து போற்றும்படி வாழ்ந்தவர் ஆம் !,14
உரைவேந்தர்_ஒளவை_சு._துரைசாமிபிள்ளை,"அவரே, உரைவேந்தர் ஒளவை சு.துரைசாமி பிள்ளை.",6
உரைவேந்தர்_ஒளவை_சு._துரைசாமிபிள்ளை,தோன்றிற் புகழொடு தோன்றுக என்னும் வள்ளுவர் வாய்மொழிக்கேற்ப வாழ்ந்தவர் !,7
உரைவேந்தர்_ஒளவை_சு._துரைசாமிபிள்ளை,"அவரினும் வயதில் இளையவனே எனினும், என்னையும் ஒருபொருட்டாகக் கருதி என்பால் பேரன்பு காட்டிய பெருந்தகை !",11
உரைவேந்தர்_ஒளவை_சு._துரைசாமிபிள்ளை,﻿ அண்மைக் காலத்தில் நம்மிடையே வாழ்ந்தவர் உரைவேந்தர் எனினும் இவரது வாழ்க்கைக் குறிப்பை ஒருவரும் முறையாக எழுதி வைக்கவில்லை.,14
உரைவேந்தர்_ஒளவை_சு._துரைசாமிபிள்ளை,புலவர் தி.நா.,3
