work_title,sentence,sentence_length
தமிழ்_நாடக_வரலாறும்_சங்கரதாச_சுவாமிகளும்,தமிழ் நாடக வரலாறும் சங்கரதாச சுவாமிகளும் பேராசிரியர் அ.,7
தமிழ்_நாடக_வரலாறும்_சங்கரதாச_சுவாமிகளும்,﻿தமிழ் நாடக வரலாறும் சங்கரதாச சுவாமிகளும் பேராசிரியர் அ.ச.,8
தமிழ்_நாடக_வரலாறும்_சங்கரதாச_சுவாமிகளும்,"ஞானசம்பந்தன் கங்கை புத்தக நிலையம் பதிமூன்று , தீனதயாளு தெரு, தியாகராய நகர், சென்னை அறுநூறு  பதினேழு .",12
தமிழ்_நாடக_வரலாறும்_சங்கரதாச_சுவாமிகளும்,சரவணமுதலியார் அவர்கட்கு இக்கட்டுரைத் தொகுப்பினைக் காணிக்கை யாக்குகிறோம்.,6
தமிழ்_நாடக_வரலாறும்_சங்கரதாச_சுவாமிகளும்,"இதற்குப்பின் தந்தையார் எழுதியிருந்த பல நூல்களும் வெளிவந்தபோதும், முப்பதாண்டுகளுக்கும் மேலாக எம்மால் வெளியிடப்பெறாமல் மறக்கப்பட்டிருந்த கட்டுரைகள் இவையாகும்.",13
தமிழ்_நாடக_வரலாறும்_சங்கரதாச_சுவாமிகளும்,"இவை மட்டுமன்றித் தந்தையாரால் எழுதப்பெற்று, நூலாக வெளிவராத இன்னும்பல கட்டுரைகளும் இருக்கின்றன.",9
தமிழ்_நாடக_வரலாறும்_சங்கரதாச_சுவாமிகளும்,இவ்விரு கட்டுரைகளும் முத்தமிழில் ஒன்றான நாடகம் சார்ந்து இருந்ததால் தனி நூலாகப் பிரசுரிக்கும் எண்ணம் எழுந்தது.,12
தமிழ்_நாடக_வரலாறும்_சங்கரதாச_சுவாமிகளும்,எனவேதான் தமிழ்நாடக வரலாறும் சங்கரதாச சுவாமிகளும் என்று தலைப்பிட்டு இதனை வெளியிட விரும்பினோம்.,10
தமிழ்_நாடக_வரலாறும்_சங்கரதாச_சுவாமிகளும்,எங்கள் எண்ணத்தை நிறைவேற்ற முனைவர்.,4
தமிழ்_நாடக_வரலாறும்_சங்கரதாச_சுவாமிகளும்,ம.ரா.போ.,3
தமிழ்_நாடக_வரலாறும்_சங்கரதாச_சுவாமிகளும்,"ஞானசுந்தரம், டாக்டர், என்.",3
தமிழ்_நாடக_வரலாறும்_சங்கரதாச_சுவாமிகளும்,"சிவராசன், திரு கெளரிசங்கர், யாழ்ப்பாணம் ச. மார்க்கண்டு ஆகியோர் உதவினார்கள்.",8
தமிழ்_நாடக_வரலாறும்_சங்கரதாச_சுவாமிகளும்,அவர்களுக்கு எம் நன்றிகள்.,3
தமிழ்_நாடக_வரலாறும்_சங்கரதாச_சுவாமிகளும்,"மேலும் இந்நூலுக்குச் சிறப்புச் சேர்க்கும் வகையில் அணிந்துரை வேண்டி, நாடகக் காவலர் ஆர்.எஸ்.",11
தமிழ்_நாடக_வரலாறும்_சங்கரதாச_சுவாமிகளும்,மனோகர் அவர்களை அணுகினோம்.,3
தமிழ்_நாடக_வரலாறும்_சங்கரதாச_சுவாமிகளும்,மிகுந்த மனநிறைவோடும் மிக விரைவாகவும் நூல் பிரதியை வாசித்து அணிந்துரையை அளித்தார்கள்.,9
தமிழ்_நாடக_வரலாறும்_சங்கரதாச_சுவாமிகளும்,தந்தையாரின் முப்பது நூல்களுக்குமேல் வெளியிட்டிருக்கின்ற கங்கை புத்தக நிலையத்தார் இதனையும் வெளியிடுகிறார்கள்.,9
தமிழ்_நாடக_வரலாறும்_சங்கரதாச_சுவாமிகளும்,"நிறுவனர் பெரியவர் வானதி திருநாவுக்கரசு அவர்களுக்கும், திருநாவு.",6
தமிழ்_நாடக_வரலாறும்_சங்கரதாச_சுவாமிகளும்,இராமநாதன் அவர்களுக்கும் எங்கள் நன்றி உரித்தாகிறது.,5
