work_title,sentence,sentence_length
சங்ககிரிக்_கோட்டையின்_மர்மம்,﻿சங்ககிரிக் கோட்டையின் மர்மம் பெ.,4
சங்ககிரிக்_கோட்டையின்_மர்மம்,என்னையே நான் கேட்டுக்கொள்கின்றேன்.,3
சங்ககிரிக்_கோட்டையின்_மர்மம்,"சில உண்மைகளையும், நிகழ்ச்சிகளையும் புரிந்து கொள்வதற்கு முன்னுரை தேவைப்படுகிறது.",7
சங்ககிரிக்_கோட்டையின்_மர்மம்,துணிச்சலும் செயல்திறனும் கொண்ட கதைகள் நம் இளைஞர்களுக்கு நிறைய வேண்டும்.,8
சங்ககிரிக்_கோட்டையின்_மர்மம்,"பன்னிரண்டு, பதிமூன்று வயதாகி இருக்கும்.",4
சங்ககிரிக்_கோட்டையின்_மர்மம்,அப்பொழுதும் பெற்றோர்கள் அவனுக்கு அல்லது அவளுக்கு என்ன தெரியும்?,7
சங்ககிரிக்_கோட்டையின்_மர்மம்,குழந்தை என்று சொல்லுவார்கள்.,3
சங்ககிரிக்_கோட்டையின்_மர்மம்,இந்த நிலைமை இக்காலத்திலே சிறிதுசிறிதாக மாறி வருகின்றது.,6
சங்ககிரிக்_கோட்டையின்_மர்மம்,"இதற்கு ஊக்கமும், உற்சாகமும் அளிக்கும் வகையில் கதைகள் எழுத வேண்டுமென்பது என்னுடைய ஆவல்.",10
சங்ககிரிக்_கோட்டையின்_மர்மம்,﻿நான் கொண்டுள்ள ஆவலால் உந்தப்பட்டு எழுதும் நீண்ட கதைகளிலே இது இரண்டாவதாகும்.,9
சங்ககிரிக்_கோட்டையின்_மர்மம்,தங்கமணி அன்புடன் வளர்த்து வருகின்ற ஜின்கா என்ற குரங்கும்.,7
சங்ககிரிக்_கோட்டையின்_மர்மம்,இக்கதையிலும் வந்து பல சாகசங்களைச் செய்கின்றது.,5
சங்ககிரிக்_கோட்டையின்_மர்மம்,தங்கமணிக்கு ஜின்கா எப்படிக் கிடைத்தது?,4
சங்ககிரிக்_கோட்டையின்_மர்மம்,அதை அவன் எவ்வாறு வளர்த்தான்?,4
சங்ககிரிக்_கோட்டையின்_மர்மம்,இவற்றைப் பற்றியெல்லாம் முதற் கதையிலே விரிவாக எழுதியிருக்கிறேன்.,6
சங்ககிரிக்_கோட்டையின்_மர்மம்,இணை பிரியாத இந்த நால்வரையும் வைத்து மேலும் பல கதைகள் எழுத எண்ணியுள்ளேன்.,10
சங்ககிரிக்_கோட்டையின்_மர்மம்,திப்புசுல்தான் கட்டிய கோட்டையை இன்றும் சங்ககிரியில் கண்டு மகிழலாம்.,7
சங்ககிரிக்_கோட்டையின்_மர்மம்,"அவனுடைய தேசபக்திக்கும், வீரத்திற்கும், முன்யோசனைக்கும் இதுவும் ஓர் எடுத்துக்காட்டாக விளங்குகின்றது.",8
சங்ககிரிக்_கோட்டையின்_மர்மம்,இனிக் கதையைப் படியுங்கள்.,3
சங்ககிரிக்_கோட்டையின்_மர்மம்,இதற்குமேல் நீண்ட முன்னுரை என்றால் உங்களுக்கும் பிடிக்காது.,6
சங்ககிரிக்_கோட்டையின்_மர்மம்,ஜின்கா தன் திறமைகளைக் காட்டத் தயாராக இருக்கிறது.,6
சங்ககிரிக்_கோட்டையின்_மர்மம்,வேறு என்ன வேண்டும்?,3
சங்ககிரிக்_கோட்டையின்_மர்மம்,கடைசியாக ஒரு வார்த்தை.,3
சங்ககிரிக்_கோட்டையின்_மர்மம்,இக்கதையை நூல் வடிவத்திலே அழகாக வெளிக்கொணர்ந்த மாக்மில்லன் கம்பெனியாருக்கு எனது நன்றி உரியது.,10
சங்ககிரிக்_கோட்டையின்_மர்மம்,பகுதி ஒன்று … ஒன்று இரண்டு.,5
சங்ககிரிக்_கோட்டையின்_மர்மம்,பகுதி இரண்டு … ஐந்து மூன்று.,5
சங்ககிரிக்_கோட்டையின்_மர்மம்,பகுதி மூன்று … ஒன்பது நான்கு.,5
சங்ககிரிக்_கோட்டையின்_மர்மம்,பகுதி நான்கு … பனிரண்டு  ஐந்து.,5
சங்ககிரிக்_கோட்டையின்_மர்மம்,பகுதி ஐந்து … பதினான்கு  ஆறு.,5
சங்ககிரிக்_கோட்டையின்_மர்மம்,பகுதி ஆறு … பதினேழு  ஏழு.,5
சங்ககிரிக்_கோட்டையின்_மர்மம்,பகுதி ஏழு … பத்தொன்பது  எட்டு.,5
சங்ககிரிக்_கோட்டையின்_மர்மம்,பகுதி எட்டு … இருபத்து மூன்று ஒன்பது.,6
சங்ககிரிக்_கோட்டையின்_மர்மம்,பகுதி ஒன்பது … இருபத்து நான்கு பத்து.,6
