work_title,sentence,sentence_length
தந்தை_பெரியார்,தந்தை பெரியார் கே.,3
தந்தை_பெரியார்,﻿தந்தை பெரியார் அமரர் கே.,4
தந்தை_பெரியார்,"நீலமணி லியோ பதிப்பகம் முப்பத்தேழு, மந்தைவெளி தெரு, மந்தைவெளி, சென்னை அறுநூறு  இருபத்தெட்டு.",10
தந்தை_பெரியார்,﻿அணிந்துரை இது என்ன வரலாற்று உரைநடையா? ஐயம் வரும் !,7
தந்தை_பெரியார்,புரட்சிப் புயல் வீச்சும் உண்டு.,4
தந்தை_பெரியார்,சிங்காரச் சொல்லமைப்பு செவிக்கு விருந்தாய் தேனிசை போல் உவமைகள் உருவகங்கள்.,8
தந்தை_பெரியார்,எழுத்து மன்னன் நீலமணி பிடில் வாசித்துப் பழகியவர் என்பது படிக்கும் போதெல்லாம் பலமுறை உணர்ந்தேன்.,11
தந்தை_பெரியார்,"எழுத்தில் ஏற்றம், எண்ணக் குவியல்.",4
தந்தை_பெரியார்,சிந்தனைச் சிகரங்கள் இப்படிப் பலப்பல.,4
தந்தை_பெரியார்,இருபத்தாறு ஆண்டுகள் தினமணியின் இணை ஆசிரியரல்லவா?,5
தந்தை_பெரியார்,என் நண்பர் கீழாம்பூர் அவர்கள் இப்படி என்னை முன்னுரை எழுதப் பணித்து விட்டாரே !,10
தந்தை_பெரியார்,என்ற பொறுமல் என்னுள் இருந்தது உண்மைதான்.,5
தந்தை_பெரியார்,"ஆனால் நூலைப் படிக்கும்போது தான், நூலுக்கு முன்னுரை எழுதச் சொல்லி நமக்கு உயர்வு தந்திருக்கிறார் என்று உணர்ந்தேன்.",13
தந்தை_பெரியார்,குழந்தையும் படிக்கலாம் புரியும் !,3
தந்தை_பெரியார்,"முதுமை, படித்து முறுவல் பூக்கும் !",4
தந்தை_பெரியார்,பெரியாரைப் பற்றிப் பொருள் உள்ள சொல் வளம் புத்தமிழ்தாய் இனிக்கிறது.,8
தந்தை_பெரியார்,"ஒளிக்காத மனமும், உயர்ந்த கடமை உணர்வும் ஒரு சேரக் கொண்ட உயர்தமிழர்.",9
தந்தை_பெரியார்,இவரே பெரியார் திரு.,3
தந்தை_பெரியார்,நீலமணி அவர்கள் நிலவைக் குழந்தைக்கு காட்டிச் சோறு ஊட்டுவது போல் பெரியாரைப் பல்வேறு நிலைகளில் காட்டுவார்.,12
தந்தை_பெரியார்,சிந்தனை அமிழ்தை ஊட்டுவார்.,3
தந்தை_பெரியார்,பெரியாரின் கருத்துக் குவியல்களில் ஒவ்வொன்றை ஒவ்வொரு பகுதியிலும் தொடக்கத்தில் பதிவு செய்துள்ள பாங்கு மிகச்சிறப்பாக உள்ளது.,12
தந்தை_பெரியார்,என்ற வினாவிற்குப் பெரியாரின் கூற்றை வருமொழியாக்கி வரைந்திட்ட தொடரின் தொடக்கம்.,8
தந்தை_பெரியார்,"தாழ்த்தப்பட்டவர்களின் மேம்பாட்டுக்காக வாழ்நாள் எல்லாம் போராடி, வீரத்தழும்புகளை நெஞ்சில் தாங்கிக் கொண்டவர் தந்தை பெரியார் என்கிறார்.",12
தந்தை_பெரியார்,அதைத் தாழ்ந்தவன் பார்த்தால் குற்றம் சோற்றைத் தொட்டால் தீட்டு எத்துணை பெரிய சோகம்.,10
