work_title,sentence,sentence_length
மருத்துவ_களஞ்சியப்_பேரகராதி,முன்னூற்று தொன்னூற்றைந்து ﻿ தொகுப்புத் துணைவர்கள் இரா.,6
மருத்துவ_களஞ்சியப்_பேரகராதி,மருத்துவக் கல்லூரியில் அவன் காலடி எடுத்து வைக்கும்முன் அவனிடம் என் உள்ளுணர்வுகளை வெளிப்படுத்தினேன்.,10
மருத்துவ_களஞ்சியப்_பேரகராதி,உன் எதிர்கால நல்வாழ்வுக்காக மட்டும் உன்னை நான் மருத்துவம் பயில அனுப்பவில்லை.,9
மருத்துவ_களஞ்சியப்_பேரகராதி,நீ மருத்துவப் படிப்பை வெற்றிகரமாக முடித்தபின் உன்னால் எவ்வளவு முடியுமோ அவ்வளவு மருத்துவ நூல்களைத் தமிழில் தர வேண்டும்.,14
மருத்துவ_களஞ்சியப்_பேரகராதி,இவ்வெண்ணத்தை மருத்துவக் கல்லூரியில் கால்வைக்கும் போதே உறுதிமிக்க முடிவாக உன் உள்ளத்தின் அடித்தளத்தில் அழுத்தமாகப் பதிய வைத்துக் கொள்ளவேண்டும்.,14
மருத்துவ_களஞ்சியப்_பேரகராதி,"அதுவே, மகன் என்ற முறையில் தந்தையாகிய எனக்கு நீ செய்யும் உண்மையான கைம்மாறாக இருக்கும்.",11
மருத்துவ_களஞ்சியப்_பேரகராதி,இதைத் தவிர வேறு எதையும் நான் உன்னிடம் எதிர்பார்க்கவில்லை.,7
மருத்துவ_களஞ்சியப்_பேரகராதி,என் மகனோடு இணைந்து நானும் கடந்த பல ஆண்டுக்காலமாக மருத்துவப் பாடநூல்களைப் படித்து வரலானேன்.,11
மருத்துவ_களஞ்சியப்_பேரகராதி,என் ஐயப்பாடுகளையெல்லாம் நான் தமிழில் கேட்பதும் அவற்றிற்கான விளக்கங்களை அவன் எனக்குத் தமிழில் விளக்குவதும் வழக்கமாகியது.,12
மருத்துவ_களஞ்சியப்_பேரகராதி,இதன்மூலம் எங்கள் இருவரிடையேயும் மருத்துவக் கருத்துக்களைத் தமிழில் பரிமாறிக்கொள்வது எளிதானதாக மட்டுமல்லாமல் இனிமையானதாகவும் அமைந்ததெனலாம்.,11
மருத்துவ_களஞ்சியப்_பேரகராதி,அப்போதெல்லாம் வெளிப்படும் கருத்துக்களைக் குறித்து வைத்துக்கொள்வதையும் நான் வாடிக்கையாக்கிக் கொண்டேன்.,8
மருத்துவ_களஞ்சியப்_பேரகராதி,கடந்த பதினாறு ஆண்டு காலமாக என் மகன் டாக்டர் செம்மலின் உறுதுணையோடும் என் அருமை நண்பர்கள் திரு இரா.,14
மருத்துவ_களஞ்சியப்_பேரகராதி,அந்நூலை வெளியிட்டதனால் நான் பெற்ற பட்டறிவு மிகவும் பயனுள்ளதாயமைந்தது.,7
மருத்துவ_களஞ்சியப்_பேரகராதி,மருத்துவ நூல்கள் தமிழில் நிறைய வெளிவரவேண்டும் எனப் பெரிதும் விரும்புகிறோம்.,8
மருத்துவ_களஞ்சியப்_பேரகராதி,"ஆனால், பிற மொழிகளில் வெளிவரும் அளவுக்கு அறிவியல், தொழில்நுட்ப, மருத்துவ நூல்கள் தமிழில் வெளிவருவதில்லை.",11
மருத்துவ_களஞ்சியப்_பேரகராதி,இதற்கு என்ன காரணம்?,3
மருத்துவ_களஞ்சியப்_பேரகராதி,"நம்மிடையே அறிவியல், தொழில்நுட்ப, மருத்துவத் துறைகளில் பொருளறிவும் தமிழறிவும் எழுத்துத் திறனும் மிக்கவர்கட்குப் பஞ்சமில்லை.",11
மருத்துவ_களஞ்சியப்_பேரகராதி,இத்துறைகளைப் பற்றித் தமிழில் தெளிவாகவும் திட்பமாகவும் விளக்கிக்கூற முடியும் என்ற ஆர்வத் துடிப்பினர் பலருண்டு.,11
மருத்துவ_களஞ்சியப்_பேரகராதி,அவர்கள் எழுதவும் முனைகிறார்கள்.,3
மருத்துவ_களஞ்சியப்_பேரகராதி,அப்போது அவர்கள் முயற்சிக்குப் பெரும் முட்டுக்கட்டையாக வந்தமைவது கலைச்சொற்கள் ஆகும்.,8
மருத்துவ_களஞ்சியப்_பேரகராதி,"ஆங்கிலக் கலைச்சொற்களுக்கேற்ற நேர்த் தமிழ் கலைச்சொற்களை, எழுத முனையும் எல்லோராலும் உரிய முறையில் கலைச் சொற்களை உருவாக்க இயலுவதில்லை.",14
