work_title,sentence,sentence_length
ஆரியர்க்கு_முற்பட்ட_தமிழ்ப்பண்பாடு,ஆரியர்க்கு முற்பட்ட தமிழ்ப்பண்பாடு புலவர் கா.,5
ஆரியர்க்கு_முற்பட்ட_தமிழ்ப்பண்பாடு,தமிழர் பண்பாடு புலவர் கா.,4
ஆரியர்க்கு_முற்பட்ட_தமிழ்ப்பண்பாடு,"சாலை, சென்னை பதினெட்டு .",3
ஆரியர்க்கு_முற்பட்ட_தமிழ்ப்பண்பாடு,நூல் விவர அட்டவணை நூலின் பெயர் தமிழர் பண்பாடு பொருள் வரலாறு ஆசிரியர் பெயர் புலவர் கா.,13
ஆரியர்க்கு_முற்பட்ட_தமிழ்ப்பண்பாடு,கணிப்பொறி அச்சு திருவள்ளுவர் வரைகலையகம் சென்னை தொன்னூற்று நான்கு.,7
ஆரியர்க்கு_முற்பட்ட_தமிழ்ப்பண்பாடு,முன்னுரை ஒன்று இரண்டு.,3
ஆரியர்க்கு_முற்பட்ட_தமிழ்ப்பண்பாடு,தமிழர் பண்டை நாகரீகத்தின் நில இயல் அடிப்படை பதினொன்று  மூன்று.,8
ஆரியர்க்கு_முற்பட்ட_தமிழ்ப்பண்பாடு,இரண்டாவது ஆயிரத்தாண்டில் தமிழர் நாகரீகம் முப்பத்திரண்டு நான்கு.,6
ஆரியர்க்கு_முற்பட்ட_தமிழ்ப்பண்பாடு,இரண்டாம் ஆயிரத்தாண்டில் வெளிநாட்டு வாணிகம் ஐம்பத்தொன்பது ஐந்து.,6
ஆரியர்க்கு_முற்பட்ட_தமிழ்ப்பண்பாடு,ஆகமங்களின் தோற்றம் அறுபத்தெட்டு ஆறு.,4
ஆரியர்க்கு_முற்பட்ட_தமிழ்ப்பண்பாடு,வடஇந்தியாவும் தென்இந்தியாவும் கி.மு.,4
ஆரியர்க்கு_முற்பட்ட_தமிழ்ப்பண்பாடு,ஓர் ஆயிரம் முதல் கி.மு.,5
ஆரியர்க்கு_முற்பட்ட_தமிழ்ப்பண்பாடு,வெளிநாட்டு வாணிகம் கி.மு.,4
ஆரியர்க்கு_முற்பட்ட_தமிழ்ப்பண்பாடு,வடக்கும் தெற்கும் கி.மு.,4
ஆரியர்க்கு_முற்பட்ட_தமிழ்ப்பண்பாடு,ஐநூறு  முதல் கி.மு.,4
ஆரியர்க்கு_முற்பட்ட_தமிழ்ப்பண்பாடு,வழக்கில் உள்ள பழந்தமிழ்ப் பாக்கள் நூற்றி இருபத்து மூன்று பத்து.,8
ஆரியர்க்கு_முற்பட்ட_தமிழ்ப்பண்பாடு,தமிழர் வாழ்க்கை கி.மு.,4
ஆரியர்க்கு_முற்பட்ட_தமிழ்ப்பண்பாடு,ஐநூறு  முதல் கி.பி.,4
ஆரியர்க்கு_முற்பட்ட_தமிழ்ப்பண்பாடு,அறுநூறு  முதல் கி.பி.,4
ஆரியர்க்கு_முற்பட்ட_தமிழ்ப்பண்பாடு,தமிழ் இலக்கியத்துள் சமஸ்கிருத நாகரீகத்தின் முதல் நுழைவு நூற்றி தொன்னூற்றிரண்டு பதிமூன்று .,9
ஆரியர்க்கு_முற்பட்ட_தமிழ்ப்பண்பாடு,மக்கள் வாழ்க்கை கி.பி.,4
ஆரியர்க்கு_முற்பட்ட_தமிழ்ப்பண்பாடு,முதல் ஐந்நூறு ஆண்டுகள் இருநூற்று பதினாறு  ﻿தமிழர் பண்பாடு தொடக்க காலம் முதல் கி.பி.,12
ஆரியர்க்கு_முற்பட்ட_தமிழ்ப்பண்பாடு,"ஆவணக் குறிப்புகளிலிலும் இவர் பற்றிக் கூறியிருக்கும் குறிப்புகளிலிருந்தும், பெறக்கூடிய தமிழர் வரலாற்றின் மறு தொகுப்பிற்கான ஒரு முயற்சியே இந்நூல்.",14
ஆரியர்க்கு_முற்பட்ட_தமிழ்ப்பண்பாடு,"வட இந்தியப் பழங்கதைகளைக் குறிப்பாகப் புராணங்களில் கூறப்பட்டிருக்கும் பழங்கதைகளை எடுத்தாளும் நிலையில், நான்.",10
ஆரியர்க்கு_முற்பட்ட_தமிழ்ப்பண்பாடு,"திருவாளர் பர்கிதர் அவர்களின் நுணுகிய ஆய்வு முறையினையும் முடிவுகளையும், பெரும்பாலும் முழுமையாகப் பின்பற்றியுள்ளேன்.",10
ஆரியர்க்கு_முற்பட்ட_தமிழ்ப்பண்பாடு,அந்தந்த நூற்றாண்டுகளில் ஒவ்வொரு பெயர் கொண்டு வாழ்ந்த பலராவர்.,7
ஆரியர்க்கு_முற்பட்ட_தமிழ்ப்பண்பாடு,அப்பெயர்கள் தனித்தனி மனிதர்களைக் குறிப்பன அல்ல.,5
ஆரியர்க்கு_முற்பட்ட_தமிழ்ப்பண்பாடு,"அவை, ஒவ்வொன்றும், ஒவ்வொரு குடிப்பெயரைக் குறிப்பனவாம் என்பது, திருவாளர் பர்கிதர் அவர்களின் பல்வேறு கருத்துகளில் நனிமிகக் குறிப்பிடத்தக்க ஒன்றாகும்.",14
ஆரியர்க்கு_முற்பட்ட_தமிழ்ப்பண்பாடு,வேதகாலத்தில் தென்னாட்டில் ஆரிய நாகரீகம் மெல்ல மெல்லப் பரவிய நிலையினைக் கண்டுகொள்ள எனக்கும் துணை நின்றது.,12
ஆரியர்க்கு_முற்பட்ட_தமிழ்ப்பண்பாடு,"ஆனால், இந்நூலுக்கு உறுதிவாய்ந்த சான்றுக் களஞ்சியமாக நான் மேற்கொண்டது, கி.பி.",9
ஆரியர்க்கு_முற்பட்ட_தமிழ்ப்பண்பாடு,"மேலும் தமிழ்ப் புலவர்கள், குறிப்பாக கி.பி.",6
ஆரியர்க்கு_முற்பட்ட_தமிழ்ப்பண்பாடு,"ஆயினும், அம்மொழி பெயர்ப்பு, படித்துப் பொருள் உணர்ந்து கொள்ளக்கூடிய ஒன்றே என்பதை உணர்த்தும் என நம்புகின்றேன்.",12
ஆரியர்க்கு_முற்பட்ட_தமிழ்ப்பண்பாடு,பழைய இந்தியாவின் ஆண்டுவழி நிகழ்ச்சி நிரல் அறுதியிட்டு முடிவு செய்ய இயலாத ஒன்றாகவே இருக்கிறது.,11
ஆரியர்க்கு_முற்பட்ட_தமிழ்ப்பண்பாடு,அவ்வாறே தொடர்ந்து இருக்கும்.,3
ஆரியர்க்கு_முற்பட்ட_தமிழ்ப்பண்பாடு,கிருத்துவத் தலைமைக்குரு திருவாளர் அஷர் அவர்களின் ஆண்டுவழி நிகழ்ச்சிநிரல் பட்டியல் செலுத்திய மேலாதிக்க விளைவால் உலகம் கி.மு.,14
ஆரியர்க்கு_முற்பட்ட_தமிழ்ப்பண்பாடு,ஓர் ஆயிரத்து இருநூறு  ஆக முடிவு செய்யப்பட்டது.,6
ஆரியர்க்கு_முற்பட்ட_தமிழ்ப்பண்பாடு,"பல்வேறு ஆய்வுகள், நிலைநாட்ட முனைவதுபோல், அப்போர் கி.மு.",7
ஆரியர்க்கு_முற்பட்ட_தமிழ்ப்பண்பாடு,"பதினைந்து  ஆம் நூற்றாண்டில் நிகழ்ந்ததாயின், வேதகாலம் கி.மு.",7
ஆரியர்க்கு_முற்பட்ட_தமிழ்ப்பண்பாடு,மூன்று ஆயிரம் ஆண்டுகளுக்கு மிக முற்பட்ட காலத்தில் தொடங்கியதாதல் வேண்டும்.,8
ஆரியர்க்கு_முற்பட்ட_தமிழ்ப்பண்பாடு,"ஆரியரின் ஒற்றைத்தி வழிபாட்டுமுறை, வேதகாலத்து முத்தீவழிபாட்டு முறைக்கு முன்னே, மிக நீண்ட காலத்திற்குச் சிறந்து விளங்கியிருத்தல் வேண்டும்.",13
