work_title,sentence,sentence_length
சீவக_சிந்தாமணி_(உரைநடை),சீவக சிந்தாமணி டாக்டர் ரா.,4
சீவக_சிந்தாமணி_(உரைநடை),"சீனிவாசன் ஓர் ஆயிரத்து தொள்ளாயிரத்து தொன்னூற்றொன்று எட்டு அக்டோபர், இரண்டு ஆயிரத்து இருபது அன்று விக்கிமூலத்தில் இருந்து பதிவிறக்கப்பட்டது",14
சீவக_சிந்தாமணி_(உரைநடை),இதன் ஆசிரியர் திருத்தக்க தேவர் ஆவார்.,5
சீவக_சிந்தாமணி_(உரைநடை),அவர் ஒரு சமணத் துறவி என்று அவருக்கு முத்திரை குத்தப்பட்டிருக்கிறது.,8
சீவக_சிந்தாமணி_(உரைநடை),இந்தக் காவியத்தைப் பொருத்தவரை அவர் இளங்கோவடிகள் போல ஒரு மாபெருங் கவிஞர் எனவே கொள்ள வேண்டி இருக்கிறது.,13
சீவக_சிந்தாமணி_(உரைநடை),அவர் துறவு பற்றிக் கூறுவதால் அவரைத் துறவி என்று கூறிவிட்டனர் என்று தோன்றுகிறது.,10
சீவக_சிந்தாமணி_(உரைநடை),"இந்த நூல் கம்பராமாயணத்துக்கும், பெரிய புராணத்துக்கும் முன்பு தோன்றியது.",7
சீவக_சிந்தாமணி_(உரைநடை),வைணவ ஆழ்வார்களும் சைவப் பெரியார்களும் கடல் மடை திறந்தது போன்று பாமாலைகள் பாடிவிட்டுச் சென்று இருக்கின்றார்கள்.,12
சீவக_சிந்தாமணி_(உரைநடை),அவர்களுக்குப் பின் தோன்றிய மதிக்கத்தக்க நூல்களுள் இது தலையாயது ஆகும்.,8
சீவக_சிந்தாமணி_(உரைநடை),கல்வியில் பெரியவர் கம்பர் என்று கூறுவர் காவியத்தில் திருத்தக்கர் முன்னோடி என்று கூற வேண்டியுள்ளது.,11
சீவக_சிந்தாமணி_(உரைநடை),கம்பருக்கும் இவர் முன் மாதிரியாக விளங்கியுள்ளார்.,5
சீவக_சிந்தாமணி_(உரைநடை),எனவே சீவக சிந்தாமணி பழந்தமிழ் இலக்கிய மரபுகளைக் காத்துத்தரும் ஒரு பெட்டகம் என்று கூறலாம்.,11
சீவக_சிந்தாமணி_(உரைநடை),காலத்தில் முற்பட்டது என்பதால் மொழி நடை சற்றுப் பொருள் உணர அரியதாக இருக்கிறது.,10
சீவக_சிந்தாமணி_(உரைநடை),நச்சினார்க்கினியர் விளக்கவுரை தந்துள்ளார்.,3
சீவக_சிந்தாமணி_(உரைநடை),நச்சினார்க்கினியர் தரும் செய்திகள் மிகவும் அரியன.,5
சீவக_சிந்தாமணி_(உரைநடை),பத்துப்பாட்டுக்கு உரை எழுதிய இப்பேராசிரியர் இதற்கும் உரை தந்திருப்பது பல அரிய வழக்குகளை அறிய உதவுகிறது.,12
சீவக_சிந்தாமணி_(உரைநடை),இதனை உரைப்படுத்தி இதன் கதையை மற்றவர்களும் அறியச் செய்ய வேண்டும் என்று எடுத்துக் கொண்ட முயற்சியே இது.,13
