work_title,sentence,sentence_length
தமிழ்_இலக்கிய_வரலாறு_(ரா._சீனிவாசன்),தமிழ் இலக்கிய வரலாறு பேரா.,4
தமிழ்_இலக்கிய_வரலாறு_(ரா._சீனிவாசன்),தமிழ் இலக்கிய வரலாறு பேராசிரியர் டாக்டர் ரா.,6
தமிழ்_இலக்கிய_வரலாறு_(ரா._சீனிவாசன்),காரணம் புலவர்கள் புதுமையை விரும்புகின்றனர்.,4
தமிழ்_இலக்கிய_வரலாறு_(ரா._சீனிவாசன்),மக்களும் புதிய கருத்துகளை எதிர்பார்க்கின்றனர்.,4
தமிழ்_இலக்கிய_வரலாறு_(ரா._சீனிவாசன்),"சங்க இலக்கியம் தமிழ் இலக்கியத்திற்கே ஊற்று, மூலதனம் என்றும் கூறலாம்.",8
தமிழ்_இலக்கிய_வரலாறு_(ரா._சீனிவாசன்),அவர்கள் தொட்ட எல்லையை யாரும் எந்தக் காலத்திலும் தொட முடியாத நிலைக்கு எட்டிவிட்டது.,10
தமிழ்_இலக்கிய_வரலாறு_(ரா._சீனிவாசன்),அதனை அடுத்து எழுந்த ஒப்புயர்வற்ற நூல் திருக்குறள்.,6
தமிழ்_இலக்கிய_வரலாறு_(ரா._சீனிவாசன்),தமிழர்களின் உயர்ந்த சிந்தனைகளைப் பதிவு செய்து அறவொழுக்கத்தையும் வாழ்வியல் நெறிகளையும் கூறுகிறது சிந்தனைக் கதிர் என்று இதனைக் கூறலாம்.,14
தமிழ்_இலக்கிய_வரலாறு_(ரா._சீனிவாசன்),"இளங்கோவின் சிலப்பதிகாரமும், கம்பனின் இராம காவியமும் அரியபடைப்புகள் காலந்தோறும் புதிய இலக்கியங்கள் தோன்றி வளர்ந்தன.",11
தமிழ்_இலக்கிய_வரலாறு_(ரா._சீனிவாசன்),அவை அழியாமல் போற்றப்படுகின்றன.,3
தமிழ்_இலக்கிய_வரலாறு_(ரா._சீனிவாசன்),அண்மையில் உரைநடை நூல்கள் அறிவு விளக்க நூல்களாக விளங்குகின்றன நாளிதழ்கள் தமிழைப் பரப்புகின்றன.,10
தமிழ்_இலக்கிய_வரலாறு_(ரா._சீனிவாசன்),இலக்கியம் அறிவதற்கு ஒரு வரலாறு தேவைப்படுகிறது.,5
தமிழ்_இலக்கிய_வரலாறு_(ரா._சீனிவாசன்),பல அறிஞர்கள் இத்துறையில் ஆய்வு செய்து வரலாறு எழுதி உள்ளனர்.,8
தமிழ்_இலக்கிய_வரலாறு_(ரா._சீனிவாசன்),அவற்றைச் சுருக்கமாகக் கூறும் முயற்சியே இது.,5
தமிழ்_இலக்கிய_வரலாறு_(ரா._சீனிவாசன்),அளவில் சிறியது ஆயினும் விளைவில் பெரியதே அடிப்படைச் செய்திகள் அனைத்தும் கொண்டு விளங்குகிறது.,10
தமிழ்_இலக்கிய_வரலாறு_(ரா._சீனிவாசன்),"தமிழ் இலக்கிய வரலாற்றை அறிவதற்கும், இலக்கிய அறிமுகம் பெறுவதற்கும், மாணவர்களுக்கும், மற்றவர்களுக்கும் பயன்படும் வகையில் வெளியிடப்படுகிறது.",12
தமிழ்_இலக்கிய_வரலாறு_(ரா._சீனிவாசன்),சீனிவாசன் ﻿தலைப்புகள் பக்கம் ஒன்று.,4
தமிழ்_இலக்கிய_வரலாறு_(ரா._சீனிவாசன்),தமிழ்மொழியின் பழமையும் சிறப்பும் ஏழு இரண்டு.,5
தமிழ்_இலக்கிய_வரலாறு_(ரா._சீனிவாசன்),சங்க காலம் ஒன்பது மூன்று.,4
தமிழ்_இலக்கிய_வரலாறு_(ரா._சீனிவாசன்),சங்கம் மருவிய காலம் முப்பத்தொன்பது நான்கு.,5
தமிழ்_இலக்கிய_வரலாறு_(ரா._சீனிவாசன்),பல்லவர் காலம் ஐம்பத்தைந்து ஐந்து.,4
தமிழ்_இலக்கிய_வரலாறு_(ரா._சீனிவாசன்),சோழர் காலம் எழுபத்து மூன்று ஆறு.,5
தமிழ்_இலக்கிய_வரலாறு_(ரா._சீனிவாசன்),நாயக்கர் காலம் எண்பது ஏழு.,4
தமிழ்_இலக்கிய_வரலாறு_(ரா._சீனிவாசன்),ஐரோப்பியர் காலம் தொன்னூற்றிரண்டு எட்டு.,4
தமிழ்_இலக்கிய_வரலாறு_(ரா._சீனிவாசன்),இருபதாம் நூற்றாண்டு நூற்றி ஒன்று ﻿உள்ளடக்கம் ஒன்று.,6
தமிழ்_இலக்கிய_வரலாறு_(ரா._சீனிவாசன்),தமிழ்மொழியின் பழமையும் சிறப்பும் தமிழ்நாடு தமிழ் மொழி சிறப்புக் கூறுகள்.,8
தமிழ்_இலக்கிய_வரலாறு_(ரா._சீனிவாசன்),"பூதத்தாழ்வார், பேயாழ்வார், திருமழிசையாழ்வார், பெரியாழ்வார், ஆண்டாள், திருமங்கையாழ்வார், தொட்டரடிப் பொடியாழ்வார், திருப்பாணாழ்வார்.",9
