work_title,sentence,sentence_length
இலக்கியத்தில்_வேங்கட_வேலவன்,இலக்கியத்தில் வேங்கட வேலவன் பேரா.,4
இலக்கியத்தில்_வேங்கட_வேலவன்,﻿முதல் பதிப்பு ஆகஸ்ட் ஓர் ஆயிரத்து தொள்ளாயிரத்து எண்பத்தெட்டு உரிமை ஆசிரியர்க்கே.,9
இலக்கியத்தில்_வேங்கட_வேலவன்,"உடனே, யான் நகைச்சுவையோடு பேசி மகிழும் நண்பர்களாகிய திரு சித்தனும், திரு கோபாலய்யரும் குறுக்கிட்டு வினா எழுப்பினர்.",13
இலக்கியத்தில்_வேங்கட_வேலவன்,"ஒருவர் சொற்பொழிவாற்றும்போது, வேண்டுமானால் ஒரு முறை குறுக்கிடலாம்.",6
இலக்கியத்தில்_வேங்கட_வேலவன்,"பேசி முடித்த பின்னர், ஐயப்பாடுகளையும் மாற்றுக் கருத்துகளையும் வெளியிடலாம்.",7
இலக்கியத்தில்_வேங்கட_வேலவன்,இடையிலேயே பல முறை தொடர்ந்து குறுக்கிட்டுக் கொண்டிருக்கலாமா?,6
இலக்கியத்தில்_வேங்கட_வேலவன்,நூலை அன்புடன் நன்முறையில் விரைந்து அச்சிட்டுத் தந்த வெற்றி அச்சகத்தாருக்கு மிக்க நன்றி செலுத்துகிறேன்.,11
இலக்கியத்தில்_வேங்கட_வேலவன்,சந்திரமோகன் தலபுராணம் உரைநடை கந்தபுராண வெண்பா தி.,6
இலக்கியத்தில்_வேங்கட_வேலவன்,வேலுசாமிபிள்ளை தனிப்பாடல் இரா.,3
இலக்கியத்தில்_வேங்கட_வேலவன்,அருணாசலக் கவிராயர் தமிழ்க் கலைக் களஞ்சியம் தொகுதி ஐந்து கந்தவேள் கதையமுதம் கி.,10
இலக்கியத்தில்_வேங்கட_வேலவன்,"அப்போது ஒரு கருத்தை விளக்குவதற்கு எடுத்துக்காட்டாக, திருப்பதி—திருமலையில் இருந்த முருகன் கோயில் பிறகு திருமால் கோயிலாக மாற்றப்பட்டதாகச் சொல்லப்படுகிறதல்லவா?",14
இலக்கியத்தில்_வேங்கட_வேலவன்,என்ன இது என்று பட்டாசாரியரைக் கேட்டதற்கு எங்களுக்கு இரண்டும் ஒன்று தான் என்று கூறினார்.,11
இலக்கியத்தில்_வேங்கட_வேலவன்,"காவடி ஆடிய அன்பர்களைக் கேட்டதற்கு, எங்களுக்குப் பரம்பரையாகத் திருமலைக் கோயில் முருகன் கோயில் தான்.",11
இலக்கியத்தில்_வேங்கட_வேலவன்,நாங்கள் பண்டைக்கால வழக்கப்படி தொடர்ந்து காவடி கொண்டு வந்து ஆடிப் பாடுகிறோம் என்று கூறினர்.,11
இலக்கியத்தில்_வேங்கட_வேலவன்,"சிங்கம் இருப்பது, திருமாலின் நரசிங்கப் பிறவியைக் குறிக்கும் என்று சிலர் கூறலாம்.",9
இலக்கியத்தில்_வேங்கட_வேலவன்,"எனவே, அது முருகன் கோயில் என்பதற்கு வேறு இலக்கியம் சான்றுவேண்டும் என்று கேட்டார்.",10
இலக்கியத்தில்_வேங்கட_வேலவன்,சிலப்பதிகாரக் காலத்திற்கு முன்பு அது முருகன் கோயிலாக இருந்திருக்கலாம் அல்லவா?,8
இலக்கியத்தில்_வேங்கட_வேலவன்,எனக்கு இலக்கிய ஆதாரம் வேண்டும் என்றார்.,5
இலக்கியத்தில்_வேங்கட_வேலவன்,"சேர, சோழ, பாண்டியர் வரலாறு இத்தகையதே.",5
இலக்கியத்தில்_வேங்கட_வேலவன்,இந்த மூன்று வரலாற்று வகை பற்றி யான் ஒர் ஆங்கில வரலாற்று நூலில் படித்தறிந்தேன்.,11
இலக்கியத்தில்_வேங்கட_வேலவன்,﻿முருகாற்றுப்படை பிறகும் கோபாலர் இலக்கியச் சான்று கேட்டார்.,6
இலக்கியத்தில்_வேங்கட_வேலவன்,"பின்னர் அய்யர், திரு முருகாற்றுப்படையில் திருப்பதி மலையை ஏன் நக்கீரர் சொல்லவில்லை என்று கேட்டார்.",11
இலக்கியத்தில்_வேங்கட_வேலவன்,"அதற்கு நான், எல்லா மலைகளையும் சொல்லிக் கொண்டிருக்க முடியுமா?",7
இலக்கியத்தில்_வேங்கட_வேலவன்,அப்படியென்றால் திருத்தணிகை முதலிய மற்ற மலைகளையெல்லாம் சொல்ல வேண்டியதில்லையா?,7
இலக்கியத்தில்_வேங்கட_வேலவன்,"என்று கூறிப் பின்வரும் செய்தியையும் கூறினேன் சங்க நூல்களில், நக்கீரர், மதுரைக் கணக்காயனார்.",10
இலக்கியத்தில்_வேங்கட_வேலவன்,மகனார் நக்கீரனார் என்று பெயர் வழங்கப்பட்டுள்ளார்.,5
இலக்கியத்தில்_வேங்கட_வேலவன்,அவர் பாண்டிய நாட்டுக்காரர்.,3
இலக்கியத்தில்_வேங்கட_வேலவன்,அவர் திரு முருகாற்றுப்படையில் கூறியிருக்கும் பெயர்களுள் பெரும்பாலன பாண்டிய நாட்டுப் பெயர்களே.,9
இலக்கியத்தில்_வேங்கட_வேலவன்,திருவாவினன் குடி மதுரை மாவட்டத்தில் உள்ளது.,5
இலக்கியத்தில்_வேங்கட_வேலவன்,திருப்பரங்குன்றம் மதுரைக்கு மேற்கே ஒன்று கி.,5
இலக்கியத்தில்_வேங்கட_வேலவன்,அருணகிரிநாதர் போன்றோர் ஓர் ஊராகக் கொண்டிருக்கும் பழமுதிர் சோலை என்பது மதுரைக்கு வடக்கே இருபது கி.,12
இலக்கியத்தில்_வேங்கட_வேலவன்,பழமுதிர் சோலை ஓர் ஊர் இல்லை என்றால் விட்டுவிட லாம்.,8
இலக்கியத்தில்_வேங்கட_வேலவன்,"மற்றும் திருச்செந்தூர், தென்பாண்டி நாட்டில் அதாவது மதுரை மாவட்டத்தை அடுத்த நெல்லை மாவட்டத்தில் உள்ளது.",11
