work_title,sentence,sentence_length
கல்கி_முதல்_அகிலன்_வரை_நாவலாசிரியர்கள்,கல்கி முதல் அகிலன் வரை நாவலாசிரியர்கள் பூவை.,6
கல்கி_முதல்_அகிலன்_வரை_நாவலாசிரியர்கள்,﻿கல்கி முதல் அகிலன் வரை நாவலாசிரியர்கள் பூவை எஸ்.,7
கல்கி_முதல்_அகிலன்_வரை_நாவலாசிரியர்கள்,என்பது அடுத்த கேள்வி.,3
கல்கி_முதல்_அகிலன்_வரை_நாவலாசிரியர்கள்,இப்படி எத்துணையோ கேள்விகட்கு இடையில் ஒரு நாவலாசிரியர் பிற நாவலாசிரியர்களைப் பற்றி விமரிசனம் செய்வது என்பது பொருத்தமானதே.,13
கல்கி_முதல்_அகிலன்_வரை_நாவலாசிரியர்கள்,ஓர் எழுத்தாளன் பிற எழுத்தாளர்களின் தொழில் நுணுக்கங்களை எளிதில் புரிந்துகொள்ள முடியும்.,9
கல்கி_முதல்_அகிலன்_வரை_நாவலாசிரியர்கள்,இந்நூலாசிரியர் பூவை எஸ்.,3
கல்கி_முதல்_அகிலன்_வரை_நாவலாசிரியர்கள்,ஆறுமுகம் அவர்கள் இப்பணியைச் செவ்வனே செய்ய முயன்றுள்ளார்.,6
கல்கி_முதல்_அகிலன்_வரை_நாவலாசிரியர்கள்,இவர் சிறந்த சிறுகதை எழுத்தாளர்.,4
கல்கி_முதல்_அகிலன்_வரை_நாவலாசிரியர்கள்,அறுநூற்றுக்கு மேற்பட்ட சிறுகதைகள் எழுதியுள்ளார்.,4
கல்கி_முதல்_அகிலன்_வரை_நாவலாசிரியர்கள்,"பல பேட்டிக் கட்டுரைகளும், ஒன்றிரண்டு நாவல்களும் எழுதியுள்ளார்.",6
கல்கி_முதல்_அகிலன்_வரை_நாவலாசிரியர்கள்,இத்துணிவைப் பெரிதும் பாராட்டுகிறோம் வரவேற்கிறோம்.,4
கல்கி_முதல்_அகிலன்_வரை_நாவலாசிரியர்கள்,இவ்வரிசையில் இன்னும் சில நூல்கள் வெளிப்படுத்த வேண்டும் என்பது எங்கள் அவா.,9
கல்கி_முதல்_அகிலன்_வரை_நாவலாசிரியர்கள்,"தொல்காப்பியர் நூலகத்தார் ﻿இலக்கியம் செழிப்புற சில எழுத்தாளர்களின் செருக்குணர்ச்சியும், மிதமிஞ்சிய ஆணவமும் விமர்சனம் என்ற பெயரால் தலைகாட்டிக் கொண்டிருந்தன.",14
கல்கி_முதல்_அகிலன்_வரை_நாவலாசிரியர்கள்,இன்றும் அப்படித் தான் !,3
கல்கி_முதல்_அகிலன்_வரை_நாவலாசிரியர்கள்,அதன் விளைவாகவே இலக்கியத் திறனாய்வுத் தொடரை உமா இதழில் தொடங்கினேன்.,8
கல்கி_முதல்_அகிலன்_வரை_நாவலாசிரியர்கள்,இந்த இலக்கியத் திறனாய்வுத் தொடரைப் பலர் ஆதரித்துப் பாராட்டினர்.,7
கல்கி_முதல்_அகிலன்_வரை_நாவலாசிரியர்கள்,பலர் அலட்சியப் பார்வையால் தங்கள் ஆத்திரங்களைக் கொட்டித் தீர்த்தனர்.,7
கல்கி_முதல்_அகிலன்_வரை_நாவலாசிரியர்கள்,பாவை விளக்கு பற்றிய திறனாய்வுக் கட்டுரை உமாவில் வெளிவந்தபோது திருவாளர் அகிலன் படப்பிடிப்பு காரணமாக ஆக்ராவில் இருந்தார்.,13
கல்கி_முதல்_அகிலன்_வரை_நாவலாசிரியர்கள்,என்னுடைய முயற்சியைக் கண்டுகளித்துத் தமிழில் இத்தொடர் ரொம்பவும் புதுமையானது அவசியம் தேவை.,9
கல்கி_முதல்_அகிலன்_வரை_நாவலாசிரியர்கள்,உங்கள் புதிய பார்வையைப் பாராட்டுகிறேன் என்று அஞ்சல் அனுப்பினார்.,7
கல்கி_முதல்_அகிலன்_வரை_நாவலாசிரியர்கள்,"﻿ இந்நிலையிலே பலர் வெளிப்படையாகவும் தொலைபேசி வாயிலாகவும் நேரிடையாகவும், என்னைப் போற்றியது போலவே வேறுபலர் என்னைத் தூற்றவும் தவறவில்லை.",14
