work_title,sentence,sentence_length
இன்பம்,﻿இன்பம் □ அறிஞர் அண்ணா நடத்திய திராவிடநாடு இதழில் வெளிவந்த இன்பம் குறித்த ஒன்பது அறிஞர்களின் கட்டுரைத் தொகுப்பு.,14
இன்பம்,தொகுப்பு முல்லை பிஎல்.,3
இன்பம்,முத்தையா ﻿நூல் பற்றிய குறிப்புகள் நூற்பெயர் இன்பம் தொகுப்பாசிரியர் முல்லை பிஎல்.,9
இன்பம்,முத்தையா உரிமை பதிப்பகத்தாருக்கு முதற்பதிப்பு ஜனவரி தாள் கி.,7
இன்பம்,"கிராம் நூலின் ஆளவு செ.மீ, செ.மீ.",7
இன்பம்,"பக்கங்கள் அறுபத்தெட்டு வெளியிடுவோர் தேன் மழைப் பதிப்பகம் முப்பத்து நான்கு, கொத்தவால் தெரு, ஆலந்தூர், சென்னை பதினாறு .",13
இன்பம்,"பொருள் கட்டுரைகள் அச்சிட்டோர் ஸ்ரீ வெங்கடேஸ்வரா அச்சகம் ஏழு நாற்பத்தொன்பது, கிழக்குச் செட்டித் தெரு, பரங்கிமலை, சென்னை பதினாறு .",14
இன்பம்,விலை ரூ. பதினைந்து  பூஜ்ஜியம் ﻿இன்பம் என்றால் என்ன?,7
இன்பம்,"இன்பம், இன்பம் என்று பலர் கூறக் கேட்டிருக்கிறோம், நாமும் கூறுகிறோம்.",8
இன்பம்,இன்பம் என்றால் என்ன?,3
இன்பம்,இன்பம் எப்படி இருக்க வேண்டும்?,4
இன்பம்,முத்தையா உள்ளே... பக்கம்,3
இன்பம்,புரட்சிக் கவிஞர் பாரதிதாசன்...,3
இன்பம்,"சொக்கலிங்கம்... ﻿இன்பம் நாவலர் சோமசுந்தர பாரதியார் இன்பம், இன்பம், என்று பலர் கூறக் கேட்டிருக்கிறோம், நாமும் கூறுகிறோம்.",13
இன்பம்,"இவை பற்றி நாவலர், எஸ்.",4
இன்பம்,எஸ் பாரதியாரின் கருத்து இங்கு தரப்படுகிறது.,5
இன்பம்,மக்கள் மனமலர்ச்சியை இன்பம் என்பது தமிழ் மரபு.,6
இன்பம்,அது புறத்திருந்து ஊட்டல் வேண்டாது உள்ளத்தாறும் உணர்வின் மலராம்.,7
இன்பம்,"களியும், மகிழ் வும் வெளிப் பொருட்தொடர்பால் விளையும் உணர்ச்சிகள்.",7
இன்பம்,﻿ உள்ளத்துணர்வைக் கொள்ளை கொண்டு ஆழ்த்தும் கள்ளும் காமமும் விளைக்குங் களி யை எள்ளி விலக்குவர் தெள்ளறிவுடையோர்.,13
