work_title,sentence,sentence_length
விடுதலைப்போரில்_சேதுபதி_மன்னர்,விடுதலைப்போரில் சேதுபதி மன்னர் எஸ்.,4
விடுதலைப்போரில்_சேதுபதி_மன்னர்,﻿இந்திய விடுதலைப் பொன்விழா ஆண்டு வெளியீடு விடுதலைப் போரில் சேதுபதி மன்னர் டாக்டர் எஸ்.,11
விடுதலைப்போரில்_சேதுபதி_மன்னர்,மன்னர் முத்துராமலிங்க சேதுபதியின் திருவுருவம்.,4
விடுதலைப்போரில்_சேதுபதி_மன்னர்,"அச்சிட்டோர் உதயபிரியா அச்சகம், மதுரை பத்து.",5
விடுதலைப்போரில்_சேதுபதி_மன்னர்,நாகேந்திர குமரன் சேதுபதி அவர்கள் ﻿தமிழ்நாடு அரசு தொல்பொருள் ஆய்வுத்துறை டாக்டர் இரா.,10
விடுதலைப்போரில்_சேதுபதி_மன்னர்,"டி., அவர்களின் அணிந்துரை விடுதலைப் போரில் சேதுபதி மன்னர் என்ற டாக்டர் எஸ்.",10
விடுதலைப்போரில்_சேதுபதி_மன்னர்,கமால் எழுதிய இந்த நூல் ஒரு அருமையான வரலாற்று நூல்.,8
விடுதலைப்போரில்_சேதுபதி_மன்னர்,சேதுபதி மன்னரை கும்பினியார் வஞ்சகமாய் கைதாக்கி திருச்சிக்கு அனுப்பியபோது அன்றிருந்த மறவர்களின் மனக்குமுறல்களை ஆசிரியர் இந்நூலில் கொட்டியிருக்கிறார்.,13
விடுதலைப்போரில்_சேதுபதி_மன்னர்,"அதைப் படிக்கும்போது நாம் வீறு ﻿கொண்டு எழுகிறோம், உள்ளம் துடிக்கிறது.",8
விடுதலைப்போரில்_சேதுபதி_மன்னர்,சேதுபதி மன்னரின் உடைமையை கும்பினிப் பரங்கியர் எப்படி எல்லாம் சூறையாடினார்கள் என வடித்துள்ள பகுதி குறிக்கத்தக்கது.,12
விடுதலைப்போரில்_சேதுபதி_மன்னர்,அண்மையில் ஆராய்ச்சித் தமிழில் வெளிவந்துள்ள வரலாற்று நூல்களில் இதைத்தலைச் சிறந்த நூல் எனக் கருதுகிறேன்.,11
விடுதலைப்போரில்_சேதுபதி_மன்னர்,ஆசிரியர் இதுபோன்று பல நூல்களைப் படைப்பின் தமிழ் வரலாறு சிறப்புறும் என்பதில் ஐயமில்லை.,10
விடுதலைப்போரில்_சேதுபதி_மன்னர்,இந்நூலை வெளிக் கொணரும் நியூ செஞ்சுரி புத்தக நிலையத்தாருக்கு எனது மனமார்ந்த பாராட்டுக்கள்.,10
விடுதலைப்போரில்_சேதுபதி_மன்னர்,இப்பொழுது அந்தக் குறையினை டாக்டர் எஸ்.,5
விடுதலைப்போரில்_சேதுபதி_மன்னர்,கமால் விடுதலைப் போரில் சேதுபதி மன்னர் எனும் இந்நூலைப் படைத்ததன் மூலம் நிறைவு செய்துள்ளார்.,11
விடுதலைப்போரில்_சேதுபதி_மன்னர்,அரசு ஆவணக் காப்பகத்திலிருந்து சேதுபதி மன்னரைப் பற்றிய பல அரிய உண்மைகளைச் சேகரித்து இந்நூலில் தந்துள்ளார்.,12
விடுதலைப்போரில்_சேதுபதி_மன்னர்,இந்நூலுக்கு தமிழ்நாடு அரசு தொல்பொருள் ஆய்வுத் துறை இயக்குநர் டாக்டர் இரா.,9
விடுதலைப்போரில்_சேதுபதி_மன்னர்,"ஏ., பிஎச்.டி., அவர்கள் அணிந்துரை வழங்கியுள்ளார்கள்.",6
விடுதலைப்போரில்_சேதுபதி_மன்னர்,அன்னாருக்கு எமது நன்றி உரியது.,4
விடுதலைப்போரில்_சேதுபதி_மன்னர்,"தமிழக வரலாற்று ஆய்வாளர்களும், மாணவர்களும், பொதுமக்களும் இதனை வரவேற்பார்கள் என்னும் நம்பிக்கையுடன் இந்நூலை வெளியிட்டுள்ளோம்.",11
விடுதலைப்போரில்_சேதுபதி_மன்னர்,இந்த ஏகாதிபத்திய வெறிநாய்களை விரட்டியடிக்க முன்வந்தவர்கள் மறவர் சீமை மன்னர்கள் மட்டுமே.,9
விடுதலைப்போரில்_சேதுபதி_மன்னர்,ஓர் ஆயிரத்து எழுநூற்று அறுபது ஓர் ஆயிரத்து எண்ணூற்று ஒன்பது.,8
விடுதலைப்போரில்_சேதுபதி_மன்னர்,"பத்தாண்டுச் சிறைவாசம் முடித்து ஆட்சிக்கு வந்த சேதுபதி மன்னர், ஆற்காட்டு நவாப்பையும் அவரது அடிவருடியான கும்பெனியாரையும் அஞ்சாது எதிரித்தார்.",14
விடுதலைப்போரில்_சேதுபதி_மன்னர்,அவர்களது ஆணைகளைப் புறக்கணித்தார்.,3
விடுதலைப்போரில்_சேதுபதி_மன்னர்,"அவர்களது வெடிமருந்து ஆயுதங் ﻿களை முறியடிக்க ஆயுதச்சாலை நிறுவி, இறுதி மோதுதலுக்கு ஆயத்தமானார்.",10
விடுதலைப்போரில்_சேதுபதி_மன்னர்,ஆனால் சூழ்ச்சியால் அரண்மனையைச் சூழ்ந்து மன்னரை மீண்டும் சிறைப்படுத்தினர்.,7
விடுதலைப்போரில்_சேதுபதி_மன்னர்,"மறவர் சீமையில் மக்கள் கிளர்ச்சி, ஆயுதப் போராட்டம்.",6
விடுதலைப்போரில்_சேதுபதி_மன்னர்,மன்னருக்கு ஆதரவாக எழுந்த இந்தக் கிளர்ச்சிகளும் துரோகத்தினால் முறியடிக்கப்பட்டன.,7
விடுதலைப்போரில்_சேதுபதி_மன்னர்,மன்னர் திருச்சிக் கோட்டையிலிருந்து குண்டு துளைக்காத சென்னைக் கோட்டை அறையில் அடைக்கப்பட்டார்.,9
விடுதலைப்போரில்_சேதுபதி_மன்னர்,இந்தச் சிறைவாசத்தையும் சேர்த்து மொத்தம் இருபத்துநான்கு ஆண்டுகள் சிறைவாழ்க்கையில் அவரது வாழ்க்கை முடிந்தது.,10
விடுதலைப்போரில்_சேதுபதி_மன்னர்,கமால் அவர்களையே சாரும்.,3
விடுதலைப்போரில்_சேதுபதி_மன்னர்,"பொது நூலகத் துறையைச் சார்ந்த பொது நூலகங்களுக்கு, இந்த நூலின் ஐநூறு படிகளை வாங்கி வழங்கியது.",12
விடுதலைப்போரில்_சேதுபதி_மன்னர்,"அந்த இயக்கத்தின் பல பகுப்புகளை, மோதல்களை, போராட்டங்களை விவரமாக அறியத்தக்க வாய்ப்பு இல்லை.",10
விடுதலைப்போரில்_சேதுபதி_மன்னர்,அவைகளைத் தொடர்ந்து தலைமை தாங்கிய தீரர்களை வீரர்களை.,6
விடுதலைப்போரில்_சேதுபதி_மன்னர்,"தியாகிகளைப் பற்றிய விவரங்களை வரலாற்று ஆவணங்களின் அடிப்படையில், முறையாகத் தொகுத்து வழங்கும் பணி மேற்கொள்ளப்படாததுதான் அதற்குக் காரணமாகும்.",13
விடுதலைப்போரில்_சேதுபதி_மன்னர்,இந்த வீர மறவரைப் பற்றிய செய்தியை முதன் முதலில் கி.பி.,9
விடுதலைப்போரில்_சேதுபதி_மன்னர்,ஓர் ஆயிரத்து எழுநூற்று தொன்னூற்றிரண்டு ல் ஆங்கில அரசுக்கு எதிராகப் புரட்சி செய்யும் போக்கினைக் கொண்டு இருந்தார்.,13
விடுதலைப்போரில்_சேதுபதி_மன்னர்,ஓர் ஆயிரத்து எண்ணூற்று ஒன்று ல் காலமானார் என்று கும்பெனியாரது சேவையில் இருந்த திரு.,11
விடுதலைப்போரில்_சேதுபதி_மன்னர்,ராஜாராம்ராவ் என்பவர் வெள்ளை அரசுக்குப் பயந்த முறையில் வரைந்துள்ளார்.,7
விடுதலைப்போரில்_சேதுபதி_மன்னர்,பதினெட்டாம் நூற்றாண்டின் மறவர்களைப் பற்றி விரிவான ஆய்வை மேற்கொண்ட பேராசிரியர் டாக்டர் எஸ்.,10
விடுதலைப்போரில்_சேதுபதி_மன்னர்,தன்னரசு நிலையை எய்துவதற்கு முயன்றார்.,4
விடுதலைப்போரில்_சேதுபதி_மன்னர்,பிப்ரவரி ஓர் ஆயிரத்து எழுநூற்று தொன்னூற்றைந்து ல் கும்பெனிப் படைகள் மேஜர் ஸ்டீவென்ஸன் தலைமையில் இராமநாதபுரத்திற்குள் நுழைந்தன.,13
விடுதலைப்போரில்_சேதுபதி_மன்னர்,சேதுபதி மன்னர் இதனை எதிர்பார்க்கவில்லை.,4
விடுதலைப்போரில்_சேதுபதி_மன்னர்,"அவரைப் பதவியில் இருந்து நீக்கி, திருச்சிக்கு அனுப்பிவிட்டு, கும்பெனியாரது ஆட்சியை அங்கு நிறுவினர்.",10
விடுதலைப்போரில்_சேதுபதி_மன்னர்,இதனையே பேராசிரியர் டாக்டர் கே.,4
விடுதலைப்போரில்_சேதுபதி_மன்னர்,இந்தக் குறிப்புகளைத் தவிர இந்த மன்னரது புரட்சிப் போக்கைத் தெரிவிக்கும் நூல் எதுவும் இதுவரை வெளியிடப்படவில்லை.,12
விடுதலைப்போரில்_சேதுபதி_மன்னர்,"குறிப்பாக அவரது எண்ணத்தில் இழையோடிய சுதந்திரப் போராட்ட சிந்தனைகள் அந்நிய ஆதிக்க எதிர்ப்புணர்வுகள், அவைகளைப் பிரதிபலிக்கும் நடவடிக்கைகள்.",13
விடுதலைப்போரில்_சேதுபதி_மன்னர்,சுந்தரம் அவர்கட்கும் எனது நன்றிப் பெருக்கினைத் தெரிவித்துக் கொள்கிறேன்.,7
விடுதலைப்போரில்_சேதுபதி_மன்னர்,"கமால் ஆகஸ்ட், ஓர் ஆயிரத்து தொள்ளாயிரத்து எண்பத்தாறு.",6
விடுதலைப்போரில்_சேதுபதி_மன்னர்,﻿பொருளடக்கம் பக்கம் ஒன்று.,3
விடுதலைப்போரில்_சேதுபதி_மன்னர்,மறவர் சீமை... ஒன்று இரண்டு.,4
விடுதலைப்போரில்_சேதுபதி_மன்னர்,இராமநாதபுரம் கோட்டை... பத்து மூன்று.,4
விடுதலைப்போரில்_சேதுபதி_மன்னர்,சேதுபதி இல்லாத சீமையிலே... இருபத்திரண்டு நான்கு.,5
விடுதலைப்போரில்_சேதுபதி_மன்னர்,பன்னிரு வருட ஆட்சியில்... முப்பத்திரண்டு ஐந்து.,5
விடுதலைப்போரில்_சேதுபதி_மன்னர்,கும்பெனியாரும் சேதுபதியும்... நாற்பத்து மூன்று ஆறு.,5
விடுதலைப்போரில்_சேதுபதி_மன்னர்,சிவகங்கையும் சேதுபதியும்... நாற்பத்தொன்பது ஏழு.,4
விடுதலைப்போரில்_சேதுபதி_மன்னர்,எரிமலை புகைந்தது... அறுபத்து மூன்று எட்டு.,5
விடுதலைப்போரில்_சேதுபதி_மன்னர்,வஞ்சகத் தாக்குதல்... எண்பத்திரண்டு ஒன்பது.,4
விடுதலைப்போரில்_சேதுபதி_மன்னர்,திருச்சியில் மீண்டும் சிறை... எண்பத்தொன்பது பத்து.,5
விடுதலைப்போரில்_சேதுபதி_மன்னர்,புரட்சிப் பாதையில்... நூற்றி பத்து பதினொன்று .,5
விடுதலைப்போரில்_சேதுபதி_மன்னர்,கிளர்ச்சியின் தொடர்ச்சி... நூற்றி இருபத்தொன்பது பனிரண்டு .,5
