work_title,sentence,sentence_length
தான்பிரீன்_தொடரும்_பயணம்,தான்பிரீன் தொடரும் பயணம் தியாகி ப.,5
தான்பிரீன்_தொடரும்_பயணம்,﻿தான்பிரீன் தொடரும் பயணம் ப.,4
தான்பிரீன்_தொடரும்_பயணம்,ஆஷ்டவுன் போராட்டம் இரண்டு.,3
தான்பிரீன்_தொடரும்_பயணம்,தொண்டர் படை மூன்று.,3
தான்பிரீன்_தொடரும்_பயணம்,முதல் வெடிமருந்துச்சாலை நான்கு.,3
தான்பிரீன்_தொடரும்_பயணம்,தேர்தல் வெற்றி ஐந்து.,3
தான்பிரீன்_தொடரும்_பயணம்,பதினாயிரம் பவுண்டு பரிசு ஏழு.,4
தான்பிரீன்_தொடரும்_பயணம்,சிப்பாய்களின் சிறந்த உதவி எட்டு.,4
தான்பிரீன்_தொடரும்_பயணம்,தாயின் தரிசனம் ஒன்பது.,3
தான்பிரீன்_தொடரும்_பயணம்,போலிஸாரிடம் பிடிபட்ட தொண்டன் பத்து.,4
தான்பிரீன்_தொடரும்_பயணம்,ரயில் நிலையத்தில் ரகளை பதினொன்று .,4
தான்பிரீன்_தொடரும்_பயணம்,பின் நிகழ்ச்சிகள் பனிரண்டு .,3
தான்பிரீன்_தொடரும்_பயணம்,பாதிரி வேஷம் பதிமூன்று .,3
தான்பிரீன்_தொடரும்_பயணம்,வைசிராயைக் குறிபார்த்தல் பதினான்கு .,3
தான்பிரீன்_தொடரும்_பயணம்,ஆஷ்டவுனுக்குப் பின்னால் பதினைந்து .,3
தான்பிரீன்_தொடரும்_பயணம்,மீண்டும் திப்பெரரி பதினாறு .,3
தான்பிரீன்_தொடரும்_பயணம்,புதிய போர்முறை பதினேழு .,3
தான்பிரீன்_தொடரும்_பயணம்,ஜெனரல் லூகாஸ் பதினெட்டு .,3
தான்பிரீன்_தொடரும்_பயணம்,கொலைக்கூட்டத்தின் முயற்சிகள் பத்தொன்பது .,3
தான்பிரீன்_தொடரும்_பயணம்,டிராம்கொண்டரா சண்டை இருபது.,3
தான்பிரீன்_தொடரும்_பயணம்,பிரிவும் பிரிவாற்றாமையும் இருபத்தொன்று.,3
தான்பிரீன்_தொடரும்_பயணம்,சமாதானம் இருபத்து மூன்று.,3
தான்பிரீன்_தொடரும்_பயணம்,உணர்ச்சியற்றுக் கிடக்கும் உயிர்ப்பிண்டங்களை உருவாக்கி உயிரூட்டக்கூடிய ஆசிரியர்களும் பத்திரிகைகளும் நூல்களும் வேண்டும்.,9
தான்பிரீன்_தொடரும்_பயணம்,மலைபெயர்ந்தாலும் நிலை பெயராத தீரர்கள் வேண்டும்.,5
தான்பிரீன்_தொடரும்_பயணம்,அயர்லாந்து அதையும் பெற்றிருந்தது.,3
தான்பிரீன்_தொடரும்_பயணம்,ஐரிஷ் மொழியைப் புதுப்பித்து அரியாசனத்தில் அமர்த்துவதற்குத் திறமையுள்ள புலவர்கள் சிலர் முன்வந்தனர்.,9
தான்பிரீன்_தொடரும்_பயணம்,"தொழிலாளிகளையும் குடியானவரையும் பிரபுகளையும் ஒன்று சேர்த்து வெறியூட்டி ஆட்டுவிப்பதற்கு ஆர்தர் கிரிபித், பார்ணல், மைக்கேல் காலின்ஸ், சமன்டி வெலா.",14
தான்பிரீன்_தொடரும்_பயணம்,"தான்பீரின், டெரன்ஸ் முதலிய ராஜதந்திரிகளும் அறிஞர்களும் வீரர்களும் முன்வந்து உழைத்தனர்.",8
தான்பிரீன்_தொடரும்_பயணம்,"இவர்களுடைய உழைப்பாலும் மக்களின் ஒத்துழைப்பாலும் முன்னூறு  ஆண்டு அடிமைத் தளை உடைந்து, சிதறிப் பொடிப் பொடியாகப் பறந்து போயின.",14
தான்பிரீன்_தொடரும்_பயணம்,அயர்லாந்து புரிந்த அரும் போரின் அடிப்படைத் தத்துவங்களைப் பற்றிக் தலைவர் டிவெலரா பலமுறையாக எடுத்துக் கூறியிருக்கிறார்.,12
தான்பிரீன்_தொடரும்_பயணம்,அவருடைய வாக்கியங்களில் சிலவற்றைக் கவனித்தாலே உண்மை எளிதில் புலப்படும்.,7
தான்பிரீன்_தொடரும்_பயணம்,﻿ நாமும் ஆங்கிலேயரும் பக்கத்து வீட்டுக்காரர்.,5
தான்பிரீன்_தொடரும்_பயணம்,இந்த மூன்றில் முந்தியவை இரண்டும் முன்பே வெளிவந்து விட்டன.,7
தான்பிரீன்_தொடரும்_பயணம்,ஓர் ஆயிரத்து தொள்ளாயிரத்து நாற்பத்தேழு வரை நம்நாடு அடிமைப்பட்டிருந்ததால் தான்பிரீன் சரித்திரத்தை வெளியிட இயலவில்லை.,11
தான்பிரீன்_தொடரும்_பயணம்,ஏனெனில் இதற்கு ஆதாரமான மூலநூல் இந்திய நாட்டில் வழங்கக் கூடாதென்று கடற் சங்கம் தடை செய்திருந்தது.,12
தான்பிரீன்_தொடரும்_பயணம்,பலர் அதனைப் பிரதி எடுத்து வைத்துக் கொண்டார்கள்.,6
தான்பிரீன்_தொடரும்_பயணம்,"காகிதம், பேனா, மை எதுவும் கிடையாது.",5
தான்பிரீன்_தொடரும்_பயணம்,எங்களைப் போலவே இந்தப் பொருள்களும் சட்டத்தை மீறி ஜெயிலுக்குள் வந்தன.,8
தான்பிரீன்_தொடரும்_பயணம்,தான்பிரீன் தானே ஒரு நூல் எழுதியிருந்தான்.,5
தான்பிரீன்_தொடரும்_பயணம்,அயர்லாந்தின் விடுதலைக்காக எனது போர் என்பது அதன் பெயர்.,7
தான்பிரீன்_தொடரும்_பயணம்,அதை ஆதாரமாக வைத்துக்கொண்டே இந்த நூலை எழுதினேன்.,6
தான்பிரீன்_தொடரும்_பயணம்,நான் எழுதின தாள்களையெல்லாம் ஒன்று சேர்த்து என் உயிர் நண்பர் திரு.,9
தான்பிரீன்_தொடரும்_பயணம்,"சிவராமன் என்ற சைவப்பிள்ளை, முத்துப் போன்ற தம் கையெழுத்தில் ஒரு நல்ல பிரதி எடுத்திருந்தார்.",11
தான்பிரீன்_தொடரும்_பயணம்,அதைப்போல் வேறு சில நூல்களிற்கும் அவர் பிரதி எடுத்திருந்தார்.,7
தான்பிரீன்_தொடரும்_பயணம்,சட்டவிரோதமான இந்தச் சரக்குகள் எல்லாம் சிறையில் நான் அடைபட்டிருந்த சிறு அறைக்குள் இருந்தன.,10
தான்பிரீன்_தொடரும்_பயணம்,சிறைக்காவலர்களோ அதிகாரிகளோ கண்டால் அவைகள் யாவும் கூண்டோடு கைலாசம் போய்விடும் !,8
