work_title,sentence,sentence_length
கல்வி_எனும்_கண்,கல்வி எனும் கண் அ.,4
கல்வி_எனும்_கண்,"மு. பரமசிவானந்தம்‎ அக்டோபர், அன்று விக்கிமூலத்தில் இருந்து பதிவிறக்கப்பட்டது கல்வி எனும் கண் பேராசிரியர் அ.மு.",13
கல்வி_எனும்_கண்,﻿கல்வி எனும் கண் பேராசிரியர் அ.மு.,6
கல்வி_எனும்_கண்,"அச்சிட்டோர் மாருதி பிரஸ், நூற்றி எழுபத்து மூன்று, பீட்டர்ஸ் ரோடு, சென்னை அறுநூறு  பதினான்கு .",11
கல்வி_எனும்_கண்,கல்வி எனும் கண் ஒன்பது இரண்டு.,5
கல்வி_எனும்_கண்,அ.மு.ப.,3
கல்வி_எனும்_கண்,இதற்கு விளக்கம் தந்த பரிமேலழகர் இதனால் கற்கப்படும் நூல்களும் கற்குமாறும் கற்றதனால் பயனும் கூறப்பட்டன என்கிறார்.,12
கல்வி_எனும்_கண்,நாட்டில் நாம் கற்கிறோம்.,3
கல்வி_எனும்_கண்,ஆனால் கற்பவற்றை கற்க வேண்டியவற்றைக் கற்கிறோமா?,5
கல்வி_எனும்_கண்,இன்றைய கல்வி மக்கள் வாழ்க்கைக்கு சமுதாய வளர்ச்சிக்கு ஏற்றதாக உள்ளதா?,8
கல்வி_எனும்_கண்,ஆம் என்று யாராவது கூறமுடியுமா?,4
கல்வி_எனும்_கண்,"சரி, அவ்வாறு கற்பனவற்றைக் கசடுஅற பிழையறா மாசுஅற குற்றமறக் கற்கிறோமா?",8
கல்வி_எனும்_கண்,ஆனால் அந்த நிலை இல்லையே !,4
கல்வி_எனும்_கண்,"அடுத்து, கற்றபடியாவது நிற்கிறோமா?",3
கல்வி_எனும்_கண்,பெற்று இன்பமாக வாழும் நாடாகத்தானே இது இருக்கும்.,6
கல்வி_எனும்_கண்,ஆனால் அந்த இன்பம் எங்கே இருக்கிறது?,5
கல்வி_எனும்_கண்,எனவே நாட்டில் தேவையான சமுதாய வாழ்வை வளம் படுத்தும் கல்வி இல்லை என்பது கண் கூடு.,12
கல்வி_எனும்_கண்,இதை ஒருவாறு விளக்கும் வகையிலே ஒவ்வொரு பகுதியும் இந்நூலில் எழுதப்பெற்றுள்ளது.,8
கல்வி_எனும்_கண்,அக்குறைகளை நீக்க வழிகளும் ஓரளவு சுட்டப் பெறுகின்றன.,6
கல்வி_எனும்_கண்,"திருக்குறளில் பொருட்பாலில் அரசியல், தொடக்கத்தே முதல் அதிகாரமான இறைமாட்சிக்கு அடுத்த அதிகாரமாகவே கல்வி அமைகின்றது எதைக் காட்டுகிறது?",13
கல்வி_எனும்_கண்,கல்வியை தேவையான கல்வியைத் தம் மக்களுக்கு அளித்தலே அரசின் முதற் கடமை என்பதைத் தானே இது விளக்குகிறது.,13
கல்வி_எனும்_கண்,"நாட்டிலே கல்வி நலம் பெறவில்லையானால், வேறு எதுவும் நல்லமுறையில் அமையாது என அன்றுதொட்டு இன்று வரை எல்லாரும் கூறிவருகின்றனர்.",14
கல்வி_எனும்_கண்,அந்த மாநாட்டில் கூடி இருந்த அத்தனை பேரும் இன்றுவரையில் கல்வியில் நலம்பெறு மாற்றங்கள் என்ன கண்டார்கள்?,12
கல்வி_எனும்_கண்,எண்ணிப்பார்க்க இந்நூல் சுடர் விளக்காயினும் நன்றாய் விளக்கிடும் தூண்டுகோலாக அமைகின்றது.,8
கல்வி_எனும்_கண்,பண்டிதர் நேரு அவர்கள் கூறியதில் ஒரு பகுதியை இங்கே தருகிறேன்.,8
கல்வி_எனும்_கண்,"இன்று, அன்று இல்லாத வகையில் எத்தனையோ வேறுபாடுகள் முளைத்துத் தலை விரித்தாடுகின்றனவே.",9
கல்வி_எனும்_கண்,இப்போதும் இத்தகைய பல்லோர் கலந்த நலம் காணும் கூட்டங்களை இன்றைய பிரதமரும் நடத்துகிறார்.,10
கல்வி_எனும்_கண்,எல்லாவற்றினும் நல்லனவும் உண்டு அல்லனவும் உண்டு.,5
கல்வி_எனும்_கண்,பல நல்லன மாறியுள்ளன.,3
கல்வி_எனும்_கண்,அவற்றை எண்ணிப் பார்க்கவும் வேண்டியுள்ளேன்.,4
