work_title,sentence,sentence_length
சொன்னால்_நம்பமாட்டீர்கள்,﻿சொன்னால் நம்பமாட்டீர்கள் தேசியச்செல்வர் சின்ன அண்ணாமலை குமரன் பதிப்பகம் மூன்று.,8
சொன்னால்_நம்பமாட்டீர்கள்,"முத்து கிருஷ்ணன் தெரு, இரண்டு, பாண்டிபஜார், சென்னை பதினேழு .",7
சொன்னால்_நம்பமாட்டீர்கள்,"கணேசனாக உயர்ந்து, கம்பன் புகழ்பாடும் செயல்களால் கம்பனடிப்பொடி சா.கணேசனாக வாழ்ந்து முடித்தவர் தேசபக்தர் சா.கணேசன்.",13
சொன்னால்_நம்பமாட்டீர்கள்,இதை மாற்றிக் காட்டிய பெருமை சிலருக்கு மட்டும் உண்டு.,7
சொன்னால்_நம்பமாட்டீர்கள்,அந்தச் சிலரில் சின்ன அண்ணாமலைக்கு சிறந்த தனித்த இடமுண்டு.,7
சொன்னால்_நம்பமாட்டீர்கள்,இன்று தேவகோட்டை பகுதியைச்சார்ந்த பலரும் பதிப்புத் துறையில் ஈடுபட்டு வருகின்றனர்.,8
சொன்னால்_நம்பமாட்டீர்கள்,இதற்கு அடித்தளமிட்டவர் சின்ன அண்ணாமலைதான்.,4
சொன்னால்_நம்பமாட்டீர்கள்,இவரிடம் தொழில் பயின்றவர்கள் இன்றும் வாழ்கின்றனர்.,5
சொன்னால்_நம்பமாட்டீர்கள்,"ராஜாஜி, ம.பெ.சி.",4
சொன்னால்_நம்பமாட்டீர்கள்,காலம் செல்லச் செல்ல சிலர் காணாமல் போவர் சிலர் காலம் செல்ல செல்ல கவனிக்கப்படுவர்.,11
சொன்னால்_நம்பமாட்டீர்கள்,இரண்டாவது வகையைச் சார்ந்தவர் சின்ன அண்ணாமலை என்பதற்கு இந்த நூல் மிகச் சிறந்த சான்று.,11
சொன்னால்_நம்பமாட்டீர்கள்,தமிழ் மக்கள் இந்த நூலை பெரிதும் வரவேற்பர் வரவேற்க வேண்டும்.,8
சொன்னால்_நம்பமாட்டீர்கள்,அந்த இளைஞர் பெயர் ஸ்ரீ சின்ன அண்ணாமலை என்று ராஜாஜி சொன்னார்.,9
சொன்னால்_நம்பமாட்டீர்கள்,அதன் பின் சின்ன அண்ணாமலையைப் பற்றிப் பல விஷயங்களைத் தெரிந்து கொண்டேன்.,9
சொன்னால்_நம்பமாட்டீர்கள்,இப்படிப்பட்ட இளைஞர்களை நினைத்துப் பெருமை அடைகிறேன்.,5
சொன்னால்_நம்பமாட்டீர்கள்,ராஜாஜி சாதாரணமாக யாரையும் சிபாரிசு செய்யமாட்டார்.,5
சொன்னால்_நம்பமாட்டீர்கள்,ஸ்ரீ சின்ன அண்ணாமலையைச் சிபாரிசு செய்திருப்பது ஒன்றே அவர் ரொம்ப பொருத்தமானவர் என்பதில் சந்தேகமில்லை.,11
சொன்னால்_நம்பமாட்டீர்கள்,கே. காந்தி ஹரிஜன் பத்திரிகையில் வெளிவந்த கட்டுரை ﻿ராஜாஜியின் ஆசி எனக்கு மிகவும் பிடித்தமானவர்களின் சின்ன அண்ணாமலை முக்கியமானவர்.,14
சொன்னால்_நம்பமாட்டீர்கள்,"தெய்வபக்தியும், தேசபக்தியும் தமிழ்ப் பக்தியும் நிறைந்தவர்.",5
சொன்னால்_நம்பமாட்டீர்கள்,இவருடைய வாழ்க்கை வீரம் நிறைந்தது.,4
சொன்னால்_நம்பமாட்டீர்கள்,காந்தீய வழியில் தொண்டு செய்யும் உள்ளம் கொண்டவர்.,6
சொன்னால்_நம்பமாட்டீர்கள்,பெரிய விஷயங்களை எளிய முறையில் நகைச் சுவையாகச் சொல்லும் திறன் படைத்தவர்.,9
சொன்னால்_நம்பமாட்டீர்கள்,சிறைச்சாலையில் கூட இவர் இருக்கும் இடம் கலகலப்பாக இருக்கும்.,7
சொன்னால்_நம்பமாட்டீர்கள்,சுதந்திரப் போராட்ட காலத்தில் இவர் மிகவும் ஆவேசமாகப் பேசுவார் செயல்படுவார்.,8
சொன்னால்_நம்பமாட்டீர்கள்,அதனால் இவரை நான் உற்சாக எரிமலை என்று பாராட்டிப் பேசியிருக்கிறேன்.,8
சொன்னால்_நம்பமாட்டீர்கள்,இவருடைய குணம் விசேஷ மானது.,4
சொன்னால்_நம்பமாட்டீர்கள்,இவர் மற்றவர்களுக்காகவே உழைப்பவர்.,3
சொன்னால்_நம்பமாட்டீர்கள்,தனக்கென்று எதுவும் செய்து கொள்ளமாட்டார்.,4
சொன்னால்_நம்பமாட்டீர்கள்,இதுவரையில் என்னிடம் இவர் தனக்கென்று எதையும் கேட்டது கிடையாது.,7
சொன்னால்_நம்பமாட்டீர்கள்,தமிழுக்கு நிறையத் தொண்டு செய்திருக்கிறார்.,4
சொன்னால்_நம்பமாட்டீர்கள்,தமிழ்ப் பண்ணை என்ற புத்தகப் பிரசுரம் மூலம் பல நல்ல நூல்களை வெளியிட்டிருக்கிறார்.,10
சொன்னால்_நம்பமாட்டீர்கள்,மிக அழகாக அதிகச் செலவில் லாபம் கருதாமல் வெளியிட்டிருக்கிறார்.,7
சொன்னால்_நம்பமாட்டீர்கள்,என்னுடைய நூல்களை வெளியிட்டு அதற்கு ஒரு மகத்துவம் ஏற்படுத்தி யிருக்கிறார்.,8
சொன்னால்_நம்பமாட்டீர்கள்,எனது பிரியமுள்ள சின்ன அண்ணாமலை அவர்களுக்கு எனது ஆசி.,7
சொன்னால்_நம்பமாட்டீர்கள்,ராஜாஜி அவர்களின் திருவாக்கினால் சின்ன அண்ணாமலை என்ற சிறப்புப் பெயரை அடைந்தவர்.,9
சொன்னால்_நம்பமாட்டீர்கள்,அவரை என் சிறந்த நண்பராகக் கருதி வருகிறேன்.,6
சொன்னால்_நம்பமாட்டீர்கள்,பல இடங்களுக்கு அவருடன் பிரயாணம் செய்திருக்கிறேன்.,5
சொன்னால்_நம்பமாட்டீர்கள்,அவரது தேச சேவை மகத்தானது.,4
சொன்னால்_நம்பமாட்டீர்கள்,அதை எழுதினால் ஒரு வீரசரித்திரமாக இருக்கும்.,5
சொன்னால்_நம்பமாட்டீர்கள்,ஸ்ரீ சின்ன அண்ணாமலை அபூர்வமான பல ஆற்றல்கள் படைத்தவர்.,7
சொன்னால்_நம்பமாட்டீர்கள்,பதினாயிரம் இருபதினாயிரம் ஜனங்கள் அடங்கிய சபையில் மணிக்கணக்கில் பிரசங்க மாரி பொழியக் கூடியவர்.,10
சொன்னால்_நம்பமாட்டீர்கள்,ஆவேசமாகப் பேசுவார் அழவைக்கும்படி பேசுவார் சிரித்து வயிறு புண்ணாகும்படியும் பேசுவார்.,8
சொன்னால்_நம்பமாட்டீர்கள்,"பேசும் ஆற்றலைப்போல் எழுதும் ஆற்றல் படைத்தவர் ஸ்ரீ சின்ன அண்ணாமலை, அழகிய சிறு கதைகள் எழுதியிருக்கிறார்.",12
சொன்னால்_நம்பமாட்டீர்கள்,சிறந்த நாவல்கள் எழுதியிருக்கிறார்.,3
சொன்னால்_நம்பமாட்டீர்கள்,ரஸமான பிரயாணக் கட்டுரைகள் எழுதியிருக்கிறார்.,4
சொன்னால்_நம்பமாட்டீர்கள்,எல்லாவற்றிற்கும் மேலாக இவருடைய செயல்திறன் வியக்கத்தக்கது.,5
சொன்னால்_நம்பமாட்டீர்கள்,எடுத்த காரியத்தை சிறப்பாக முடிக்கும் செயல் வீரர் இவர்.,7
சொன்னால்_நம்பமாட்டீர்கள்,ராஜாஜி அவர்களுக்கு இவரை ரொம்பப் பிடிக்கும்.,5
சொன்னால்_நம்பமாட்டீர்கள்,﻿ ராஜாஜியின் நெருங்கிய நண்பர்கள் இவரை சின்ன திருவடி என்று செல்லமாக அழைப்பார்கள்.,10
சொன்னால்_நம்பமாட்டீர்கள்,ராஜாஜியின் நூல்களை இவர் தமிழ்ப் பண்ணையின் மூலம் பிரசுரித்த விதமே ஒரு பக்தியானது.,10
சொன்னால்_நம்பமாட்டீர்கள்,அவருடைய நண்பர் என்று சொல்லிக் கொள்வதில் நான் பெருமை அடைகிறேன்.,8
சொன்னால்_நம்பமாட்டீர்கள்,சின்ன அண்ணாமலை எழுதிய காணக் கண்கோடி வேண்டும் என்ற நூலின் முன்னுரையில் கல்கி ரா.,11
சொன்னால்_நம்பமாட்டீர்கள்,﻿காமராசரின் ஆசி நாட்டுக்கு நமது சின்ன அண்ணாமலை செய்திருக்கும் சேவை மகத்தானது.,9
