work_title,sentence,sentence_length
நபிகள்_நாயகம்-கி._ஆ._பெ._விசுவநாதம்,நபிகள் நாயகம் கி.,3
நபிகள்_நாயகம்-கி._ஆ._பெ._விசுவநாதம்,"﻿ நபிகள் நாயகம் முத்தமிழ்க் காவலர், கலைமாமணி, டாக்டர் கி.",8
நபிகள்_நாயகம்-கி._ஆ._பெ._விசுவநாதம்,"﻿விலை ரூ. கவின்கலை அச்சகம், து தெரு, கந்தசாமி நகர், பாலவாக்கம் சென்னை தொலைபேசி",11
நபிகள்_நாயகம்-கி._ஆ._பெ._விசுவநாதம்,"இப்பேச்சை இஸ்லாமியப் பெருமக்கள் பலரும், இஸ்லாமியப் பத்திரிகைகளின் ஆசிரியர்கள் சிலரும் பாராட்டியிருந்தனர்.",9
நபிகள்_நாயகம்-கி._ஆ._பெ._விசுவநாதம்,இதை நூல் வடிவில் வெளியிட வேண்டுமெனப் பல அன்பர்கள் வற்புறுத்தி எழுதியிருந்தனர்.,9
நபிகள்_நாயகம்-கி._ஆ._பெ._விசுவநாதம்,"இன்னும் சிறிது விரிவுபடுத்தி, ஒரு பெரிய நூலாக வெளியிட எண்ணியும், என்னால் முடியவில்லை.",10
நபிகள்_நாயகம்-கி._ஆ._பெ._விசுவநாதம்,இந்த அளவுக்கேனும் வெளியிட முடிந்தமை குறித்து மகிழ்ச்சியடைகிறேன்.,6
நபிகள்_நாயகம்-கி._ஆ._பெ._விசுவநாதம்,நயினார் முகம்மது எம்.,3
நபிகள்_நாயகம்-கி._ஆ._பெ._விசுவநாதம்,"ஆவி ஜனாப் மெளல்வி முன்ஷி பாசில் சையத் அப்துல் கனி அவர்களுக்கும் என் நன்றியறிதலையும், வணக்கத்தையும் தெரிவித்துக் கொள்ளுகிறேன்.",14
நபிகள்_நாயகம்-கி._ஆ._பெ._விசுவநாதம்,செல்லப்பன் அவர்களுக்கும் என் நன்றி.,4
நபிகள்_நாயகம்-கி._ஆ._பெ._விசுவநாதம்,"இதை இஸ்லாமியப் பெருமக்கள் மட்டுமின்றி, எல்லாச் சமய மக்களும் படித்து, வாழ்க்கைக்குப் பயன்படுத்திப் பலனடைவது நல்லது.",12
நபிகள்_நாயகம்-கி._ஆ._பெ._விசுவநாதம்,இஸ்மாயில் அவர்கள் மதிப்புரை திரு கி.,5
நபிகள்_நாயகம்-கி._ஆ._பெ._விசுவநாதம்,"விசுவநாதம் அவர்கள் சாதி, சமய பேதமின்றி தமிழர்கள் அனைவருடைய அன்புக்கும், மதிப்புக்கும், மரியாதைக்கும் பாத்திரமானவர்கள்.",11
நபிகள்_நாயகம்-கி._ஆ._பெ._விசுவநாதம்,"அவர்களுடைய பகுத்தறிவுப் பற்று இஸ்லாத்திடத்திலும், அதன் திருத்தூதரான முஹம்மது நபி அவர்களிடத்திலும் உண்மையான ஈடுபாட்டை உண்டாக்கிற்று.",12
நபிகள்_நாயகம்-கி._ஆ._பெ._விசுவநாதம்,"இத்தகைய நல்லெண்ணத்திற்காகவும், முஸ்லிம்கள் திரு கி.",5
நபிகள்_நாயகம்-கி._ஆ._பெ._விசுவநாதம்,விசுவநாதம் அவர்களுக்கு என்றும் நன்றியுள்ளவர்களாக இருப்பார்கள்.,5
நபிகள்_நாயகம்-கி._ஆ._பெ._விசுவநாதம்,"இந்நூலில் சரித்திர ஆதாரமில்லாமல் கர்ண பரம்பரையாக வழங்கி வருகின்ற நிகழ்ச்சிகள் சிலவும், சில தவறுகளும் இடம் பெற்றிருக்கின்றன.",13
நபிகள்_நாயகம்-கி._ஆ._பெ._விசுவநாதம்,சில அச்சுப் பிழைகளும் காணப்படுகின்றன.,4
நபிகள்_நாயகம்-கி._ஆ._பெ._விசுவநாதம்,இவை அடுத்த பதிப்பில் தவிர்க்கப்படவேண்டும் என்பது என் நோக்கம்.,7
நபிகள்_நாயகம்-கி._ஆ._பெ._விசுவநாதம்,"ஆசிரியர் அவர்களுடைய இந்த முயற்சியும், பணியும் எல்லோருடைய போற்றுதலுக்கும், பாராட்டுதலுக்கும் உரியன.",9
நபிகள்_நாயகம்-கி._ஆ._பெ._விசுவநாதம்,இத்தகைய கருத்துகளை அகமார்ந்த ஆர்வத்தோடு வெளியிட்டிருக்கும் திரு கி.,7
நபிகள்_நாயகம்-கி._ஆ._பெ._விசுவநாதம்,"விசுவநாதம் அவர்களுக்கு என்னுடைய பாராட்டுதலையும், நன்றியையும், மரியாதையையும் தெரிவித்துக்கொள்கிறேன்.",7
நபிகள்_நாயகம்-கி._ஆ._பெ._விசுவநாதம்,விசுவநாதம் அவர்களுக்கு அறிமுகம் தேவையில்லை.,4
நபிகள்_நாயகம்-கி._ஆ._பெ._விசுவநாதம்,வாதத்திறமை பெரிதும் உடையவர்.,3
நபிகள்_நாயகம்-கி._ஆ._பெ._விசுவநாதம்,முதுமைப் பருவம் எய்திய மூதறிஞர்.,4
நபிகள்_நாயகம்-கி._ஆ._பெ._விசுவநாதம்,எழுபத்தைந்து ஆண்டுகளை எட்டிப் பிடித்த பெரியவர்.,5
நபிகள்_நாயகம்-கி._ஆ._பெ._விசுவநாதம்,பற்பல சமயங்களைத் தர்க்க முறையில் ஆராய்ந்து அறிந்தவர்.,6
நபிகள்_நாயகம்-கி._ஆ._பெ._விசுவநாதம்,"தமிழகம் முழுவதுமிருந்து வருகின்ற முஸ்லீம் மக்களுடன், அவர் நீண்ட காலமாக நெருக்கமான தொடர்பு கொண்டவர்.",11
நபிகள்_நாயகம்-கி._ஆ._பெ._விசுவநாதம்,"இஸ்லாமிய சமூகத்தில் அவருக்கு மிகுந்த செல்வாக்கும், நல்ல மதிப்பும் உண்டு.",8
நபிகள்_நாயகம்-கி._ஆ._பெ._விசுவநாதம்,"இஸ்லாமிய இலக்கியங்களையும், சமய உண்மைகளையும் நன்கறிந்தவர்.",5
நபிகள்_நாயகம்-கி._ஆ._பெ._விசுவநாதம்,இன்றைய இஸ்லாமியத் தலைமுறையினரில் சிலர் கூட அவர் மூலம் இஸ்லாத்தைப் பற்றித் தெரிந்துகொண்டார்கள் என்பது மிகையாகாது.,12
நபிகள்_நாயகம்-கி._ஆ._பெ._விசுவநாதம்,"இன்று அது நூல் வடிவில் வெளிவருகிறது, இது அருமையும் பெருமையும் வாய்ந்ததாகும்.",9
நபிகள்_நாயகம்-கி._ஆ._பெ._விசுவநாதம்,இந்நூலை நான் பார்வையிட்டு மகிழ்ந்தேன்.,4
நபிகள்_நாயகம்-கி._ஆ._பெ._விசுவநாதம்,"கருத்துகள் சுவையும், நயமும் கலந்து மிளிர்கின்றன.",5
நபிகள்_நாயகம்-கி._ஆ._பெ._விசுவநாதம்,செய்திகள் ஆதாரத்தோடு விளக்கம் பெற்றிருக்கின்றன.,4
நபிகள்_நாயகம்-கி._ஆ._பெ._விசுவநாதம்,நாயகம் அவர்களைப் பற்றி நாவலர் விசுவநாதம் அவர்கள் எவ்வளவு ஆராய்ந்திருக்கிறார்கள் என்பதற்கு இந்நூலே ஒரு சான்று.,12
நபிகள்_நாயகம்-கி._ஆ._பெ._விசுவநாதம்,தங்களன்புள்ள சையத் அப்துல் கனி திருச்சிராப்பள்ளி உள்ளுறை ⁠ நபிகள் நாயகம்...,9
நபிகள்_நாயகம்-கி._ஆ._பெ._விசுவநாதம்,திருக் குர் ஆன்...,3
நபிகள்_நாயகம்-கி._ஆ._பெ._விசுவநாதம்,நாயகம் அவர்களின் போதனை﻿﻿﻿﻿...,3
நபிகள்_நாயகம்-கி._ஆ._பெ._விசுவநாதம்,முடிவுரை... ﻿ நபிகள் நாயகம் அவைத்தலைவர் அவர்களே !,6
நபிகள்_நாயகம்-கி._ஆ._பெ._விசுவநாதம்,உங்கள் அனைவருக்கும் இந்த மாலைப் பொழுதில் என்னுடைய தாழ்மையான வணக்கம்.,8
