work_title,sentence,sentence_length
பாரதியின்_இலக்கியப்_பார்வை,கலைக்குடில் வெளியீடு நாகப்பட்டினம் கவிஞர்கோ கோவை.,5
பாரதியின்_இலக்கியப்_பார்வை,"நான்கு பூஜ்ஜியம் அச்சேற்றம் குருகுலம் அச்சகம், திருமறைக்காடு.",6
பாரதியின்_இலக்கியப்_பார்வை,"விற்பனை கலைக்குடில் வெளியீட்டகம், ஆறு, நடுவர் கோவில் தெரு, நாகப்பட்டினம் அறுநூற்று பதினொன்று  ஒன்று.",11
பாரதியின்_இலக்கியப்_பார்வை,﻿நாகரீகக் கண்ணாடி﻿ தமிழ் நாட்டின் நாகரீகம் மிகப் புராதனமானது.,7
பாரதியின்_இலக்கியப்_பார்வை,அப்பார்வை இலக்கியத்திலும் பாய்ந்தது.,3
பாரதியின்_இலக்கியப்_பார்வை,என் பார்வை அதிற் பதிந்தது.,4
பாரதியின்_இலக்கியப்_பார்வை,இச்சிறு நூல் பிறந்தது இஃது ஒரு சொற்பொழிவின் முற்பகுதி.,7
பாரதியின்_இலக்கியப்_பார்வை,"நாகைத் தமிழ்ச் சங்கச் சிலப்பதிகார வகுப்புத் தொடக்கமாகவும், சிங்கப்பூர் வானொவிலும் பொழியப் பெற்றது.",10
பாரதியின்_இலக்கியப்_பார்வை,இது பதிப்பில் இரண்டு.,3
பாரதியின்_இலக்கியப்_பார்வை,முதற்பதிப்பு ஒரு முத்திரை கொண்டது.,4
பாரதியின்_இலக்கியப்_பார்வை,இப்பதிப்பில் பொறுக்குவேலை இல்லை.,3
பாரதியின்_இலக்கியப்_பார்வை,இலக்கியப் பேழைக்குப் பாரதியும் ஒரு திறவு கோல்.,6
பாரதியின்_இலக்கியப்_பார்வை,அவர்க்கு இந்நூல் ஒரு திறவுகோல்.,4
பாரதியின்_இலக்கியப்_பார்வை,"இது பாரதி நூற்றாண்டு, அவர் பிறவி நாளன்று திறவுகோலைப் படைக்கிறேன்.",8
பாரதியின்_இலக்கியப்_பார்வை,"அன்பன், ⁠ கோவை.",3
பாரதியின்_இலக்கியப்_பார்வை,﻿பாரதியின் இலக்கியப் பார்வை இலக்கியத் திறவுகோல்.,5
பாரதியின்_இலக்கியப்_பார்வை,"நிலவின் ஒளியில் நித்திலத்தைப் பிசைந்து, முல்லை இதழின் மென்மையைக் குழைத்து உருவாக்கிய குழந்தை எனலாம்.",11
பாரதியின்_இலக்கியப்_பார்வை,அத்தகைய ஒரு குழந்தையைத் தன் மருங்குலில் தாங்கி நின்றாள் ஒரு சிறுமி.,9
பாரதியின்_இலக்கியப்_பார்வை,இடைக்கு மேல் அவளது மெல்லுடல் ஒசிந்திருந்தது.,5
பாரதியின்_இலக்கியப்_பார்வை,எல்லா வகையாலும் அவள் அந்தக் குழந்தையின் அக்கையே எனலாம்.,7
பாரதியின்_இலக்கியப்_பார்வை,குழந்தையினது தலை அக்கையின் தோளை நோக்கிச் சாய்ந்த வண்ணமிருந்தது.,7
பாரதியின்_இலக்கியப்_பார்வை,பிஞ்சுக்கழுத்தின் நெளிவில் பொன்னிற வாழைக் குருத்தின் புன்னகை ஒளிர்ந்தது.,7
பாரதியின்_இலக்கியப்_பார்வை,முகத்தின் மலர்ச்சி குவியத் தொடங்கித் தூக்கத்திற்குப் பாயிரம் பாடியது.,7
பாரதியின்_இலக்கியப்_பார்வை,கண்களில் தூக்கத்தின் நிழலாடியது.,3
பாரதியின்_இலக்கியப்_பார்வை,அதில் கவர்ச்சியின் இழை யோட்டம் ஆட்சி செய்தது.,6
பாரதியின்_இலக்கியப்_பார்வை,அப்பக்கம் வந்த ஒரு தாய் நின்று கண்டாள் தன்னை மறந்து ஒரு தாலாட்டுப் பாடினாள்.,11
பாரதியின்_இலக்கியப்_பார்வை,தந்தையுடன் வந்த ஒரு குழந்தை தந்தை மேல் சாய்ந்து தூக்கத்தின் குறியைக்காட்டியது.,9
பாரதியின்_இலக்கியப்_பார்வை,மறைந்து வந்த கீழ்மகன் ஒருவன் அக்குழந்தையின் தூக்கம் கலையக் கூடாதே என்ற புதுஉணர்வுடன் ஒதுங்கி மெல்ல நடந்தான்.,13
