work_title,sentence,sentence_length
என்_பார்வையில்_கலைஞர்,என் பார்வையில் கலைஞர் சு.,4
என்_பார்வையில்_கலைஞர்,"சமுத்திரம் ஏகலைவன் பதிப்பகம் ஒன்பது, இரண்டாவது குறுக்குத் தெரு, டாக்டர்.",8
என்_பார்வையில்_கலைஞர்,"கடந்த சில வாரங்களுக்கு முன்பு, நான் ஒரு தண்ணீர் தேசத்திற்கு போயிருந்தேன்.",9
என்_பார்வையில்_கலைஞர்,கவியரசு வைரமுத்துவின் தண்ணீர் தேசம்.,4
என்_பார்வையில்_கலைஞர்,அதுவும் சமுத்திரத்திலே நடைபெற்ற கதை.,4
என்_பார்வையில்_கலைஞர்,சமுத்திரம் கதைக்கும் இன்றைக்கு வந்திருக்கிறேன்.,4
என்_பார்வையில்_கலைஞர்,சமுத்திரமே உன் பக்கம் இருக்கிறது என்ற அளவில் இந்த நிகழ்ச்சி இன்றைக்கு நடைபெற்றுக் கொண்டு இருக்கிறது.,12
என்_பார்வையில்_கலைஞர்,எனக்கு பசுமையான நினைவுகள்.,3
என்_பார்வையில்_கலைஞர்,அப்போது அவர் என்னிடத்திலே அந்த சிறுகதையைப் பெற்று திருச்சி வானொலியிலே வெளியிட்டது.,9
என்_பார்வையில்_கலைஞர்,நான் அண்ணா தலைமையில் பொதுப் பணித் துறை அமைச்சராக பொறுப்பேற்றிருந்த காலக்கட்டத்தில்.,9
என்_பார்வையில்_கலைஞர்,"ஒரு வாரம் கழித்து, திரும்ப, அது என் கைக்கு கிடைத்து விட்டது.",9
என்_பார்வையில்_கலைஞர்,"எழுத்தாளர்களை அவர்கள் இருக்கின்ற அந்தஸ்தை வைத்து, அவர்களுக்குள்ள பதவியை வைத்து தயவு செய்து யாரும் கணக்கிடாதீர்கள்.",12
என்_பார்வையில்_கலைஞர்,"எழுத்தை வைத்து கணக்கிடுங்கள் என்பதுதான் எனக்குள்ள கவலையும், அந்த கவலை சார்ந்த வேண்டுகோளும் ஆகும்.",11
என்_பார்வையில்_கலைஞர்,"இருந்தாலும் பிடிவாதத்தின் காரணமாக, பிறகு, நான் ஏற்றுக் கொண்டேன்.",7
என்_பார்வையில்_கலைஞர்,"அப்பொழுது குடியரசுத் துணைத்தலைவராக இருந்த சங்கர் தயாள் சர்மா அந்த விழாவிற்கு வந்து, அந்த விருதை வழங்கினார்.",13
என்_பார்வையில்_கலைஞர்,அத்துடன் பல்கலைக்கழகம் சார்பாக ஒரு லட்சம் ரூபாய் பொற்கிழியும் வழங்கப்பட்டது.,8
என்_பார்வையில்_கலைஞர்,அது தொடர்ந்து நடைபெற்று வருகிறது.,4
என்_பார்வையில்_கலைஞர்,சமுத்திரத்தைச் சோதிக்க ஆசை... இங்கே சமுத்திரம் சொன்னார்.,6
என்_பார்வையில்_கலைஞர்,இந்த ஆசை சில பேருக்கு ஆறுதலைக் கூட தரும்.,7
என்_பார்வையில்_கலைஞர்,அப்பாடா என்று பெருமூச்சுக் கூட எழும்.,5
என்_பார்வையில்_கலைஞர்,கொள்கைக்காகவே இளம்பிராயம் முதல் வாழ்பவன் நான்.,5
என்_பார்வையில்_கலைஞர்,அதனால்தான் ஒரே இடத்தில் நிலைத்து நிற்கிறேன்.,5
என்_பார்வையில்_கலைஞர்,"கனமான கணங்கள்... ஆனால், இப்போது எவ்வளவு கனமான பணிகள் !",7
என்_பார்வையில்_கலைஞர்,கணம் என்றால் மாண்புமிகு என்ற பொருளில் சொல்லவில்லை.,6
என்_பார்வையில்_கலைஞர்,எவ்வளவு அதிகமான பணிகள் என்னை அழுத்திக் கொண்டு இருக்கின்றன என்பது உங்களுக்குத் தெரியும்.,10
என்_பார்வையில்_கலைஞர்,சமுத்திரம் நூல் வெளியிட இந்த நாளை குறித்துக் கேட்டபோது நான் சொன்னேன்.,9
என்_பார்வையில்_கலைஞர்,மறுநாள் நிகழ்ச்சியை வைத்துக் கொள்ளலாம் என்று சொன்னது உண்மைதான்.,7
என்_பார்வையில்_கலைஞர்,எழுத்தாளன் சொல்... சமுத்திரம் இங்கே குறிப்பிட்டதைப் போல எனக்கும் அவருக்கும் நீண்ட காலமாக ஒரு நெருக்கம் உண்டு.,13
என்_பார்வையில்_கலைஞர்,பராசக்தி படம் பார்த்ததிலிருந்தே கலைஞரின் தாக்கம் எனக்கு உண்டு என்று சொன்னார்.,9
என்_பார்வையில்_கலைஞர்,கலைஞரின் தாக்கமும் உண்டு.,3
என்_பார்வையில்_கலைஞர்,கலைஞரை சில நேரங்களிலே தாக்குவதும் உண்டு.,5
என்_பார்வையில்_கலைஞர்,அந்த தாக்கம் எனக்கு ஊக்கத்தை அளித்தது.,5
என்_பார்வையில்_கலைஞர்,தாக்குவது என்னை நிமிர்ந்து பார்க்கச் செய்தது.,5
என்_பார்வையில்_கலைஞர்,தாக்குவது என்னை சிந்திக்கச் செய்தது.,4
என்_பார்வையில்_கலைஞர்,ஏதோ குறை நம்மில் இருக்கிறது என எண்ணிப் பார்க்கச் செய்தது.,8
என்_பார்வையில்_கலைஞர்,எழுத்தாளன் சொல்வது என்றைக்காது ஒருநாள் பலிக்கும்.,5
என்_பார்வையில்_கலைஞர்,"அவர் நல்லா கேட்ட, ஒரு கேள்வி என்ற தலைப்பில் இந்தக் கதைக்கான கரு உருவான செய்தியை சொல்லியிருக்கிறார்.",13
என்_பார்வையில்_கலைஞர்,அதில் சில பகுதிகளை நான் படித்துக் காட்டுகிறேன்.,6
என்_பார்வையில்_கலைஞர்,அறுபது ம் ஆண்டு முற்பகுதியில் சென்னையில் கல்லூரியில் படித்து வந்தேன்.,8
என்_பார்வையில்_கலைஞர்,நான் இருந்த வீடு சேரிப் பகுதி காம்பவுண்டு வீடு.,7
என்_பார்வையில்_கலைஞர்,சுமார் அய்ம்பது பேரைக் கொண்ட மனித சமூகம் என்னைப் பெரிதும் வசீகரித்தது.,9
என்_பார்வையில்_கலைஞர்,அய்ம்பது பேருக்கு ஓரே ஒரு கழிவறை.,5
என்_பார்வையில்_கலைஞர்,அதுவும் கதவு இல்லாதது.,3
என்_பார்வையில்_கலைஞர்,யார் உள்ளே என்று கேட்டுக் கொண்டே மற்றவர் செல்ல வேண்டும்.,8
என்_பார்வையில்_கலைஞர்,குளிப்பதோ குழாயடிப் பக்கம் நான் குழாயில் இறங்கி தவலையில் தண்ணீர் பிடித்து டிரம்மை நிரப்பி குளிக்கவேண்டும்.,12
என்_பார்வையில்_கலைஞர்,"சட்டியோடோ, துண்டோடோ அத்தனை பேருக்கும் முன்னிலையில் ஐந்தரையடி உடம்பை முக்கால் நிர்வாணத்தோடு காட்டிக் கொண்டிருக்க வெட்கமாக இருந்தது.",13
