work_title,sentence,sentence_length
செயலும்_செயல்திறனும்,செயலே உயிர்வாழ்க்கை இரண்டு.,3
செயலும்_செயல்திறனும்,"பெருமைக்கும், சிறுமைக்கும் செயல்களே அடிப்படை மூன்று.",5
செயலும்_செயல்திறனும்,நல்லவன் வறுமையும் பாராட்டுப் பெறும் நான்கு.,5
செயலும்_செயல்திறனும்,தீயவன் பெருமை இகழப் பெறும் ஐந்து.,5
செயலும்_செயல்திறனும்,அறம் என்பது உயர்வான குறிக்கோளே ஆறு.,5
செயலும்_செயல்திறனும்,அறம் என்றும் அழிவதில்லை ஏழு.,4
செயலும்_செயல்திறனும்,செயலில் ஈடுபடாமல் வாழக்கூடாது எட்டு.,4
செயலும்_செயல்திறனும்,உயிர் வாழ்க்கை என்பது என்ன?,4
செயலும்_செயல்திறனும்,செயலும் செயல் திறனும் பத்து.,4
செயலும்_செயல்திறனும்,இக்கால் உள்ள நாட்டு நிலை பதினொன்று .,5
செயலும்_செயல்திறனும்,நம் கடமை இரண்டு.,3
செயலும்_செயல்திறனும்,எண்ணும் திறன் இரண்டு.,3
செயலும்_செயல்திறனும்,எண்ணித் தொடங்குதல் மூன்று.,3
செயலும்_செயல்திறனும்,இன்பம் விரும்பாமை மூன்று.,3
செயலும்_செயல்திறனும்,அறிந்து செய்தல் மூன்று.,3
செயலும்_செயல்திறனும்,தெளிவு பெறுதல் நான்கு.,3
செயலும்_செயல்திறனும்,வினையால் வரும் பயன் தேர்தல் முப்பத்திரண்டு ஒன்று.,6
செயலும்_செயல்திறனும்,செயல் நமக்கும் பிறர்க்கும் இரண்டு.,4
செயலும்_செயல்திறனும்,பொதுவுடைமையும் பொதுமையும் ஆறு.,3
செயலும்_செயல்திறனும்,நம் தகுதிக்குத் தாழ்வான செயல்களைத் தவிர்த்தல் முப்பத்தைந்து ஒன்று.,7
செயலும்_செயல்திறனும்,"தொடக்கம், முடிவு பயன் இரண்டு.",4
செயலும்_செயல்திறனும்,புகழ்ந்தவை போற்றிச் செய்தல் மூன்று.,4
செயலும்_செயல்திறனும்,பழியான செயல்களைச் செய்யாமை நான்கு.,4
செயலும்_செயல்திறனும்,ஏமாற்றுதல் கூடாது ஐந்து.,3
செயலும்_செயல்திறனும்,செய்யத் தக்கனவும் செய்யத்தகாதனவும் ஆறு.,4
செயலும்_செயல்திறனும்,செய்யத் தகாதவற்றைத் தவிர்த்தல் ஏழு.,4
செயலும்_செயல்திறனும்,ஆழந்தெரியாமல் காலை விடாதே !,3
செயலும்_செயல்திறனும்,வினை வலிமை மூன்று.,3
செயலும்_செயல்திறனும்,"பொருள், கருவி, காலம் எட்டு.",4
செயலும்_செயல்திறனும்,தன் வலிமை அறிதல் நாற்பத்திரண்டு ஒன்று.,5
செயலும்_செயல்திறனும்,தன்னை அறிதல் மூன்று.,3
