work_title,sentence,sentence_length
அங்கும்_இங்கும்,அங்கும் இங்கும் டாக்டர் நெ.,4
அங்கும்_இங்கும்,"சுந்தரவடிவேலு, எம்.ஏ., எல்.டி.",5
அங்கும்_இங்கும்,"முன்னாள் துணைவேந்தர், சென்னைப் பல்கலைக் கழகம் நியூ செஞ்சுரி புக் ஹவுஸ் பிரைவேட் லிமிடெட்.",11
அங்கும்_இங்கும்,"சிட்கோ இண்டஸ்டிரியல் எஸ்டேட், சென்னை அறுநூறு  தொன்னூற்றெட்டு.",6
அங்கும்_இங்கும்,"﻿ முன்னுரை வெளிநாட்டுப் பயணம், அரிய நல்வாய்ப்பு.",6
அங்கும்_இங்கும்,அது எனக்குக் கிட்டிற்று.,3
அங்கும்_இங்கும்,சோவியத் ஒன்றியத்துக்கு இரு முறையும்.,4
அங்கும்_இங்கும்,"பிரிட்டனுக்கு இரு முறையும், அமெரிக்காவிற்கு ஒரு முறையும் சென்று வரும் வாய்ப்பினைப் பெற்றேன்.",10
அங்கும்_இங்கும்,அந்நாடுகளில் என்னைக் கவர்ந்தவை பல.,4
அங்கும்_இங்கும்,அங்கும் இங்கும் என்ற தலைப்பில் அவற்றை அவர் சத்திய கங்கை யில் வெளியிட்டார்.,10
அங்கும்_இங்கும்,ஆகவே அவருக்கு என் முதல் நன்றி.,5
அங்கும்_இங்கும்,இக்கட்டுரைத் தொகுப்பை நூல் வடிவில் வெளியிட முன்வந்த நியூ செஞ்சுசி நூலகத்தாருக்கு என் உளமார்ந்த நன்றி.,12
அங்கும்_இங்கும்,இந்நூலை வெளியிட அனுமதி தந்த இந்திய ஆட்சிக்கும் நன்றியுடையேன்.,7
அங்கும்_இங்கும்,இதில் வரும் கருத்துக்கள் என்னுடையவை.,4
அங்கும்_இங்கும்,அவற்றிற்கு நானே பொறுப்பு.,3
அங்கும்_இங்கும்,அவை எவ்விதத்திலும் இந்திய ஆட்சியைச் சாரா.,5
அங்கும்_இங்கும்,சுந்தரவடிவேலு ﻿பதிப்புரை திரு.,3
அங்கும்_இங்கும்,"சிறந்த கல்வி அதிகாரியான அன்னார், சோவியத்து ஒன்றியத்தின் முன்னேற்றங்களையும்.",7
அங்கும்_இங்கும்,அம்மக்களின் வாழ்க்கை முறைகளையும் வியந்து பாராட்டுகின்றார்.,5
அங்கும்_இங்கும்,"தமிழில், பயண நூல் வரிசையோடு இடம் பெறக் கூடிய இந்நூலை வெளியிட அனுமதியளித்த ஆசிரியர்க்கு எமது நன்றி உரியது.",14
அங்கும்_இங்கும்,﻿﻿பொருளடக்கம் பக்கம் ஒன்று.,3
அங்கும்_இங்கும்,விஞ்ஞான விவசாயம் ….,3
அங்கும்_இங்கும்,சமுதாய ஒருமைப்பாடு ….,3
அங்கும்_இங்கும்,ஒரு படிப்பினை ….,3
அங்கும்_இங்கும்,லெனின் நூலகம் ….,3
அங்கும்_இங்கும்,லெனினும் காந்தியும் ….,3
அங்கும்_இங்கும்,பேச்சுரிமையில் பெருமிதம் ….,3
அங்கும்_இங்கும்,லெனின் கிராடில் ….,3
அங்கும்_இங்கும்,மெய்யான செல்வம் ….,3
அங்கும்_இங்கும்,ஊக்கும் கல்வி ….,3
அங்கும்_இங்கும்,முதிய இளைஞர் இருவர் ….,4
அங்கும்_இங்கும்,புதுயுகத் தலைவர் ….,3
அங்கும்_இங்கும்,"படி, படி, படி.",3
அங்கும்_இங்கும்,ஒளி பரப்ப வாரீர் ….,4
அங்கும்_இங்கும்,கலையின் விளக்கம் ….,3
அங்கும்_இங்கும்,ஈர உள்ளம் ….,3
அங்கும்_இங்கும்,விஞ்ஞான விவசாயம் நான் மாணவனாக இருந்த போது பாரதியாரின் புதிய ருஷியா என்னும் கவிதை என்னைக் கவர்ந்தது.,13
அங்கும்_இங்கும்,ஓர் ஆயிரத்து தொள்ளாயிரத்து அறுபத்தொன்று ஆம் ஆண்டு செப்டம்பர் திங்களில் சோவியத் ஒன்றியம் செல்லும் பேறு பெற்றேன்.,13
