work_title,sentence,sentence_length
ஆப்பரேஷனுக்கு_அஞ்சவேண்டாம்,ஆப்பரேஷனுக்கு அஞ்சவேண்டாம் பொ.,3
ஆப்பரேஷனுக்கு_அஞ்சவேண்டாம்,﻿ ஆப்பரேஷனுக்கு அஞ்சவேண்டாம் ஆசிரியர் பொ.,5
ஆப்பரேஷனுக்கு_அஞ்சவேண்டாம்,"திருகூ.ட சுந்தரம் எம்.ஏ., பி.ல்.",7
ஆப்பரேஷனுக்கு_அஞ்சவேண்டாம்,முகவுரை கனம் எம்.,3
ஆப்பரேஷனுக்கு_அஞ்சவேண்டாம்,எம்.ஏ. இல் பல்கலைக் கழகத் தங்கப்பதக்கம் பெற்ற பேரறிஞர்.,8
ஆப்பரேஷனுக்கு_அஞ்சவேண்டாம்,ஓர் ஆயிரத்து தொள்ளாயிரத்து இருபத்து நான்கு ல் வக்கீல் தொழிலைப் புறக்கணித்து காங்கிரஸில் சேர்ந்து ஒத்துழையாமை இயக்கத்தில் ஈடுபட்டார்.,14
ஆப்பரேஷனுக்கு_அஞ்சவேண்டாம்,காந்தியடிகளின் தத்துவங்களை முதன்முதலில் மொழிபெயர்த்து தமிழர்க்கு உதவினார்.,6
ஆப்பரேஷனுக்கு_அஞ்சவேண்டாம்,தீண்டாமை விலக்குக்குத் தீவிரமாக உழைத்து வந்தார்.,5
ஆப்பரேஷனுக்கு_அஞ்சவேண்டாம்,கள்ளுக்கடை மறியல் நடத்தி சிறை சென்றார்.,5
ஆப்பரேஷனுக்கு_அஞ்சவேண்டாம்,தமிழ் ஹரிஜன் பத்திரிகைக்கு ஆசிரியராக இருந்தார்.,5
ஆப்பரேஷனுக்கு_அஞ்சவேண்டாம்,"ஆங்கிலத்திலும், தமிழிலும் பாண்டித்தியமுடையவர்.",3
ஆப்பரேஷனுக்கு_அஞ்சவேண்டாம்,சென்னை செனட் சபையில் அங்கம் வகித்தார்.,5
ஆப்பரேஷனுக்கு_அஞ்சவேண்டாம்,தேச முன்னேற்றத்திற்கும் மக்கள் வாழ்வு நலம் பெறவும் சிறுவர் அறிவு பெறவும் பல அரிய நூல்களை எழுதியுள்ளார்.,13
ஆப்பரேஷனுக்கு_அஞ்சவேண்டாம்,பல நூல்களுக்கு அரசாங்கம் பரிசுகள் வழங்கி ஆசிரியரைப் பெருமைப்படுத்தியுள்ளது.,7
ஆப்பரேஷனுக்கு_அஞ்சவேண்டாம்,கலைக்களஞ்சியக் கூட்டாசிரியராக இருந்தார்.,3
ஆப்பரேஷனுக்கு_அஞ்சவேண்டாம்,தற்போது ஓய்வு பெற்று வருகிறார்.,4
ஆப்பரேஷனுக்கு_அஞ்சவேண்டாம்,சென்னை மாநில முதலமைச்சர் கனம் எம்.,5
ஆப்பரேஷனுக்கு_அஞ்சவேண்டாம்,திருகூடசுந்தரம் அவர்கள் இச்சிறு நூலை எழுதியிருக்கிறார்.,5
ஆப்பரேஷனுக்கு_அஞ்சவேண்டாம்,ஆப்பரேஷன் பற்றி அறிந்து கொள்ள விரும்பும் அனைவருக்கும் இது மிகவும் பயன்படத்தக்க பிரசுரம்.,10
ஆப்பரேஷனுக்கு_அஞ்சவேண்டாம்,தமிழ் மக்கள் இதைஏற்ற முறையில் பயன்படுத்திக் கொள்வார்கள் என்று நம்புகிறேன்.,8
ஆப்பரேஷனுக்கு_அஞ்சவேண்டாம்,இவ்வெளியீட்டு உரிமையாளருக்கு என் நல் வாழ்த்துக்கள்.,5
ஆப்பரேஷனுக்கு_அஞ்சவேண்டாம்,"பெற்றோர்களின் ஆரோக்கியமும், குழந்தைகளின் நல்வாழ்வும் குடும்பத்தின் சுபீட்சமும் அத்திட்டத்தின் முக்கிய லட்சியங்களாகும்.",9
ஆப்பரேஷனுக்கு_அஞ்சவேண்டாம்,அத்திட்டத்தின் அவசியத்தைப்பற்றி மக்கள் படிப்படியாக உணர்ந்து ஆதரித்து வருகிறார்கள்.,7
ஆப்பரேஷனுக்கு_அஞ்சவேண்டாம்,"வெகுகாலமாக இவர் இத்திட்டத்தைப் பற்றி கட்டுரைகள், நாடகங்கள் எழுதியும், கூட்டங்களில் பேசியும் விளக்கி வருகிறார்.",11
ஆப்பரேஷனுக்கு_அஞ்சவேண்டாம்,சில இயற்கையான வழிகளையும் இதில் விளக்கியிருக்கிறார்.,5
ஆப்பரேஷனுக்கு_அஞ்சவேண்டாம்,ஒவ்வொருவரும் படித்துப் பயன் பெறக்கூடிய இந்த நூலை எழுதிய ஆசிரியருக்கு என் பாராட்டுக்கள்.,10
ஆப்பரேஷனுக்கு_அஞ்சவேண்டாம்,அரசாங்க ரீதியில் நாடு முழுவதும் கையாள வகை செய்தார்கள்.,7
ஆப்பரேஷனுக்கு_அஞ்சவேண்டாம்,வாசகர்கள் இந்த நூலால் அடையும் பயன் ஒன்றே அவர்கள் கூறும் நல்லாசி.,9
ஆப்பரேஷனுக்கு_அஞ்சவேண்டாம்,பாபுஜி பதிப்பகம் உ.,3
ஆப்பரேஷனுக்கு_அஞ்சவேண்டாம்,"தங்கப்பா பதிப்பக உரிமையாளர், ﻿ஆப்பரேஷனுக்கு அஞ்ச வேண்டாம் மனிதன் எந்தச் சிறு காரியமானாலும் திட்டமிட்டே செய்வான்.",12
ஆப்பரேஷனுக்கு_அஞ்சவேண்டாம்,திட்டமிடாமல் செய்யும் காரியம் எதுவும் திருப்தியாய் முடிவதில்லை.,6
