work_title,sentence,sentence_length
சோழர்_கால_அரசியல்_தலைவர்கள்,சோழர் கால அரசியல் தலைவர்கள் பேரா.,5
சோழர்_கால_அரசியல்_தலைவர்கள்,அருணிதி கலியன்... ஒன்று இரண்டு.,4
சோழர்_கால_அரசியல்_தலைவர்கள்,அம்பலவன் பழுவூர் நக்கன்... பனிரண்டு  மூன்று.,5
சோழர்_கால_அரசியல்_தலைவர்கள்,சிற்றிங்கணுடையான்... பத்தொன்பது  நான்கு.,3
சோழர்_கால_அரசியல்_தலைவர்கள்,பார்த்திவேந்திராதிபன்மன்... இருபத்தொன்பது ஐந்து.,3
சோழர்_கால_அரசியல்_தலைவர்கள்,மதுராந்தகன் கண்டராதித்தன்... ஐம்பத்து மூன்று ஆறு.,5
சோழர்_கால_அரசியல்_தலைவர்கள்,பொய்கைநாடு கிழவன்... ஐம்பத்தொன்பது ஏழு.,4
சோழர்_கால_அரசியல்_தலைவர்கள்,ஜெயங்கொண்ட சோழப் பிரம்மாதிராசன்... எழுபத்து நான்கு எட்டு.,6
சோழர்_கால_அரசியல்_தலைவர்கள்,கருணாகரத் தொண்டைமான்... எண்பத்தொன்று ஒன்பது.,4
சோழர்_கால_அரசியல்_தலைவர்கள்,நெற்குன்றங்கிழார்... தொன்னூற்றைந்து பத்து.,3
சோழர்_கால_அரசியல்_தலைவர்கள்,மணவில் கூத்தன்... நூற்றி இரண்டு பதினொன்று .,5
சோழர்_கால_அரசியல்_தலைவர்கள்,சேக்கிழார்... நூற்றி பதினேழு  பனிரண்டு .,4
சோழர்_கால_அரசியல்_தலைவர்கள்,அமராபரணன் சீயகங்கன்... நூற்றி முப்பத்து மூன்று பதிமூன்று .,6
சோழர்_கால_அரசியல்_தலைவர்கள்,பெருமான் நம்பிப் பல்லவராயன்... நூற்றி முப்பத்தெட்டு பதினான்கு .,6
சோழர்_கால_அரசியல்_தலைவர்கள்,தந்திவர்மனது திருவல்லிக்கேணிக் கல்லெழுத்தில் கி.,4
சோழர்_கால_அரசியல்_தலைவர்கள்,இங்ஙனம் நாயன்மார் பெயர்களை நினைவூட்டும் பல பெயர்கள் கல்லெழுத்துக்களிற் பயிலுதல் நன்கு தெரியவரும்.,10
