work_title,sentence,sentence_length
அந்த_நாய்க்குட்டி_எங்கே,அந்த நாய்க்குட்டி எங்கே பூவை.,4
அந்த_நாய்க்குட்டி_எங்கே,﻿அந்த நாய்க்குட்டி எங்கே?,3
அந்த_நாய்க்குட்டி_எங்கே,ஆறுமுகம் பதிப்பாசிரியர் லேனா தமிழ்வாணன் எம்.,5
அந்த_நாய்க்குட்டி_எங்கே,............................................................................................................................................................................................................................................................................................................ ஐந்து மாஸ்டர் உமைபாலன்............................................................................................................................................................................................................................................................................................................ நாற்பத்தெட்டு இளவரசி வாழ்க !,6
அந்த_நாய்க்குட்டி_எங்கே,"அச்சிட்டோர் ஜோதி ஆப்செட், நூற்றி ஐம்பத்தொன்பது ஒன்று, வி.எம்.",8
அந்த_நாய்க்குட்டி_எங்கே,இன்று புதிதாய் பிறந்திருக்கின்றேன்.,3
அந்த_நாய்க்குட்டி_எங்கே,"– ஆமாம், உண்மை இது !",4
அந்த_நாய்க்குட்டி_எங்கே,"ஆகவேதான், உடலும் உள்ளமும் புத்துயிர் பெற்றிருக்கின்றன !",5
அந்த_நாய்க்குட்டி_எங்கே,– இடைப்பட்ட சோதனைப் பொழுதுகள் பொய்யாகட்டும் !,5
அந்த_நாய்க்குட்டி_எங்கே,"என்னிடம் மெய்யான பாசமும் அன்பும் பாராட்டு நண்பர்கள், பூவை என்றால், சோதனை என்று பொருள் என்பார்கள்.",12
அந்த_நாய்க்குட்டி_எங்கே,அந்நாட்களிலே அமரர் டாக்டர் ஜி.,4
அந்த_நாய்க்குட்டி_எங்கே,தமிழ்ப் படைப்பு இலக்கியத்தின் பெரும்பாலான துறைகளையும் என்னுடைய எழுத்துகள் தொட்டுப் பாத்திருக்கின்றன !,9
அந்த_நாய்க்குட்டி_எங்கே,"இவ்வகையில், இதுவரை வெளிப்படுத்தப்பபட்ட நூல்களின் எண்ணிக்கை நூற்று எழுபத்தொன்பதைத் தாண்டி விட்டன !",9
அந்த_நாய்க்குட்டி_எங்கே,"எண்ணிப்பார்த்தால், என் மெய் சிலிர்க்கிறது !",4
அந்த_நாய்க்குட்டி_எங்கே,"இடைவெளியைக் கடந்து, இப்பொழுது என்னுடைய புதிய கதைத் தொகுதி ஒன்றை அண்மையில் மணிமேகலைப் பிரசுரம் வெளியிட்டுள்ளது.",12
அந்த_நாய்க்குட்டி_எங்கே,அமரர் தமிழ்வாணன் என்பால் கொண்டிருந்த உண்மையான அன்பிற்கும் பாசத்திற்கும் ஓர் அடையாளச் சின்னமாகவே இந்நூல் திகழும்.,12
அந்த_நாய்க்குட்டி_எங்கே,கதைக்கொத்தின் பெயர் மகாத்மா காந்திக்கு ஜே ! – நவரசங்கள் சிந்துபாடும் அருமையான சிறு கதைகள்.,11
அந்த_நாய்க்குட்டி_எங்கே,கதைகளை வெளியிட்ட இதழாசிரியர்கள் என் அன்பிற்கு உரியவர்கள் அல்லவா?,7
அந்த_நாய்க்குட்டி_எங்கே,"இப்போது, அடுத்ததாக, இந்தச் சிறுவர் சிறுமியர் நூலும் வெளிவருகிறது.",7
அந்த_நாய்க்குட்டி_எங்கே,மணிமேகலைப் பிரசுரத்தின் உடைமையாளச் சகோதரர்கள் திருவாளர்கள் லேனா தமிழ்வாணன் அவர்களுக்கும் ரவி தமிழ்வாணன் அவர்களுக்கும் நான் நிரம்பவும் கடமைப்பட்டவன் !,14
அந்த_நாய்க்குட்டி_எங்கே,"என்னுடைய எழுபத்தோராவது பிறந்த நாளை நினைவுகூரச் செய்யும் வகையில், என்னுடைய இவ்விரு நூல்களும் வெளிப்படுத்தப்பட்டிருக்கின்றன !",11
அந்த_நாய்க்குட்டி_எங்கே,– நான் பாக்கியவான்தான் !,3
அந்த_நாய்க்குட்டி_எங்கே,சண்முகசுந்தரம் அவர்களை நான் நாளும் பொழுதும் நன்றியுடன் நினைப்பேன்.,7
அந்த_நாய்க்குட்டி_எங்கே,ஆறுமுகம் அந்த நாய்க்குட்டி எங்கே?,4
அந்த_நாய்க்குட்டி_எங்கே,ஒன்று ஹாலிவுட் நட்சத்திரம் ஜிப்பி தமிழ்நாட்டின் தலைநகரான சென்னைக்கு வருகை தந்திருந்ததல்லவா?,9
அந்த_நாய்க்குட்டி_எங்கே,அவனுக்கு வாயெல்லாம் பல்லாகிவிட்டது.,3
அந்த_நாய்க்குட்டி_எங்கே,"அப்பொழுது அவனுடைய சிறுகுடலைப் பெருங்குடல் கவ்வியது, ஓடினான்.",6
அந்த_நாய்க்குட்டி_எங்கே,"மாம்பலம், ஜானகிராமப் பிள்ளைத் தெரு வீட்டு எண் இரண்டு.",7
அந்த_நாய்க்குட்டி_எங்கே,"அம்மா, பசிக்குதே, அம்மா ஏம்மா இப்படிப் பசிக்குது? என்று கேட்டான் பூபாலன்.",9
அந்த_நாய்க்குட்டி_எங்கே,உனக்கு பசிக்குதுன்னா அரை நாழிப் பொழுதிலே சோறு சமைச்சுப் போடுறேன்.,8
அந்த_நாய்க்குட்டி_எங்கே,ஏன் பசிக்குதுங்கறதுக்கு உன் வயிற்றைக் கேட்டுத்தான் பதில் தெரிஞ்சுக் கோணும்.,8
அந்த_நாய்க்குட்டி_எங்கே,நாம்ப ஏழைங்க பாரு நமக்கும் பசிக்கும் மட்டும்தான் ரொம்பச் சொந்தம் என்றாள் பூபாலனின் தாய் அஞ்சலை.,12
அந்த_நாய்க்குட்டி_எங்கே,இன்னிக்கு நான் ஸ்கூலுக்குப் போகலேம்மா ஏண்டா? ஏண்டாவா?,6
அந்த_நாய்க்குட்டி_எங்கே,அம்மாவுக்குக் கோபத்தைப் பாரு கோபத்தை.. !,4
அந்த_நாய்க்குட்டி_எங்கே,அந்தக் காலத்திலே எல்லாப் பெரிய மனிதர்களும் சின்ன வயசிலே அடிக்கடி பள்ளிக்கூடத்துக்கு டிமிக்கி அடிச்சவங்கதானாம்.,11
அந்த_நாய்க்குட்டி_எங்கே,"அதுபோல நான் இப்போ ஸ்கூலுக்கு மட்டம் போட்டா, அப்பாலே பெரிய மனிதனாகிப் போயிடுவேனாக்கும் என்றான் சிறுவன், சிரித்தபடி.",13
அந்த_நாய்க்குட்டி_எங்கே,"போடா, மண்டு ! என்று கடிந்தாள் தாய்.",5
அந்த_நாய்க்குட்டி_எங்கே,பூபாலனின் வயிற்றுக்குள் சோற்று உருண்டைகள் இருபது போனதும்தான் தெம்பு வந்தது.,8
அந்த_நாய்க்குட்டி_எங்கே,"அப்பொழுது அவன் தந்தை முருகேசன் வந்தான், அப்பா, என்னை அம்மா மண்டுங்கறாங்களே?",9
அந்த_நாய்க்குட்டி_எங்கே,நான் முட்டாளாயிருந்தா வருஷத்துக்கு வருஷம் இப்படி பாஸாவேனா?...,6
அந்த_நாய்க்குட்டி_எங்கே,என் சுயகெளரவத்தை யார் குறைச்சலா மதிச்சாலும் எனக்கு நெஞ்சு பொறுக்காது என்றான்.,9
அந்த_நாய்க்குட்டி_எங்கே,முதலிலே நீ ஒழுங்காகப் பள்ளிக் கூடத்துக்கு போ.,6
அந்த_நாய்க்குட்டி_எங்கே,அப்புறம் பெரிய மனிதனாக ஆகலாம்.,4
அந்த_நாய்க்குட்டி_எங்கே,எனக்கு உடம்புக்கு முடியலே.,3
அந்த_நாய்க்குட்டி_எங்கே,அதாலே எங்க கண்ணாடித் தொழிற்சாலையிலே லீவு சொல்லி வந்திட்டேன். என்று சொன்னான் முருகேசன்.,10
அந்த_நாய்க்குட்டி_எங்கே,புத்தகப் பையுடன் பூபாலன் ஸ்கூலுக்குப் புறப்பட்டான்.,5
அந்த_நாய்க்குட்டி_எங்கே,"சுவரில் பதித்திருந்த உடைந்த கண்ணாடியில் தன்னைப் பார்த்துக் கொண்டு, கையால் தலையைக் கோதி விட்டுக் கொண்டான்.",12
அந்த_நாய்க்குட்டி_எங்கே,பூபாலன் ராஜாவுக்கு பராக் !... பராக் !,4
அந்த_நாய்க்குட்டி_எங்கே,கோடம்பாக்கம் பெரியசாலையில் திரும்பினான் பூபாலன்.,4
அந்த_நாய்க்குட்டி_எங்கே,அங்கே வ.உ.சி யின் சிலை காணப்பட்டது.,7
அந்த_நாய்க்குட்டி_எங்கே,கப்பல் ஒட்டிய தமிழனுக்குச் சிரம் வணங்கிக் கரங்கூப்பி வணக்கம் தெரிவித்தான்.,8
அந்த_நாய்க்குட்டி_எங்கே,அவன் தலையை நிமிர்த்தியபோது கா.கூ.,5
அந்த_நாய்க்குட்டி_எங்கே,க்கூ என்று பயங்கரமான தீனக் குரல் கேட்டது.,6
அந்த_நாய்க்குட்டி_எங்கே,நாற்புறமும் திரும்பிப் பார்த்தான்.,3
அந்த_நாய்க்குட்டி_எங்கே,பூங்காவின் வடக்குக் கோடியில் காரின் அடியில் நசுக்கப்பட்டு உயிர் விட்ட ஒரு நாயைக் கண்டான்.,11
அந்த_நாய்க்குட்டி_எங்கே,அவனுக்கு அழுகை பீறிட்டது.,3
அந்த_நாய்க்குட்டி_எங்கே,அப்பொழுது அங்கு ஓர் அதிசயத்தைக் கண்டான்.,5
அந்த_நாய்க்குட்டி_எங்கே,அழகானதொரு நாய்க்குட்டி அந்த நாயின் அருகில் கிடந்தது.,6
அந்த_நாய்க்குட்டி_எங்கே,விழிகளை நிமிர்த்திக் கூட்டத்தை நோட்டம் விட்டான்.,5
அந்த_நாய்க்குட்டி_எங்கே,"அவ்வளவுதான், பூபாலன் அந்த நாய்க் குட்டியைக் எடுத்துத் தன் பையில் திணித்துக் கொண்டு பிடித்துவிட்டான் ஒட்டம் !",12
அந்த_நாய்க்குட்டி_எங்கே,அம்மா என்று அலறிக் கொண்டு ஓடி வந்தான் பூபாலன்.,7
