work_title,sentence,sentence_length
திருவிளையாடற்_புராணம்,திருவிளையாடற் புராணம் பேரா.,3
திருவிளையாடற்_புராணம்,திருவிளையாடற் புராணம் பேராசிரியர் டாக்டர் ரா.,5
திருவிளையாடற்_புராணம்,"அச்சகம் மைக்ரோ பிரிண்ட்ஸ் லிட்., சென்னை அறுநூறு  இருபத்தொன்பது.",7
திருவிளையாடற்_புராணம்,தருமிக்கு இறைவன் தந்த செய்யுள் உள்ளடக்கம் முன்னுரை ஒன்று.,7
திருவிளையாடற்_புராணம்,இந்திரன் பழி தீர்த்த படலம் இரண்டு.,5
திருவிளையாடற்_புராணம்,வெள்ளை யானை சாபம் தீர்த்த படலம் மூன்று.,6
திருவிளையாடற்_புராணம்,திருநகரம் கண்ட படலம் நான்கு.,4
திருவிளையாடற்_புராணம்,தடாதகைப் பிராட்டி திருவவதாரப் படலம் ஐந்து.,5
திருவிளையாடற்_புராணம்,திருமணப்படலம் உலகம் ஆறு.,3
திருவிளையாடற்_புராணம்,வெள்ளியம்பலத் திருக்கூத்தாடிய படலம் ஏழு.,4
திருவிளையாடற்_புராணம்,குண்டோதரனுக்கு அன்னமிட்ட படலம் எட்டு.,4
திருவிளையாடற்_புராணம்,அன்னக் குழியும் வைகையும் அழைத்த படலம்.,5
திருவிளையாடற்_புராணம்,எழுகடல் அழைத்த படலம் பத்து.,4
திருவிளையாடற்_புராணம்,மலையத்துவசனை அழைத்த படலம் பதினொன்று .,4
திருவிளையாடற்_புராணம்,உக்கிரகுமாரன் திரு அவதாரப்படலம் பனிரண்டு .,4
திருவிளையாடற்_புராணம்,உக்கிரகுமாரனுக்கு வேல் வளை செண்டு கொடுத்த படலம் பதிமூன்று .,7
திருவிளையாடற்_புராணம்,கடல் சுவற வேல் விட்ட படலம்.,5
திருவிளையாடற்_புராணம்,இந்திரன் முடிமேல் வளை எறிந்த படலம் பதினைந்து .,6
திருவிளையாடற்_புராணம்,மேருவைச் செண்டால் அடித்த படலம் பதினாறு .,5
திருவிளையாடற்_புராணம்,வேதத்துக்குப் பொருள் அருளிச் செய்த படலம் பதினேழு .,6
திருவிளையாடற்_புராணம்,மாணிக்கம் விற்ற படலம் பதினெட்டு .,4
திருவிளையாடற்_புராணம்,வருணன் விட்ட கடலை வற்றச் செய்த படலம் பத்தொன்பது .,7
திருவிளையாடற்_புராணம்,நான் மாடக் கூடல் ஆன படலம் இருபது.,6
