work_title,sentence,sentence_length
இங்கிலாந்தில்_சில_மாதங்கள்,இங்கிலாந்தில் சில மாதங்கள் பேரா.,4
இங்கிலாந்தில்_சில_மாதங்கள்,வளர்ந்தவர்கள் அதை பிக்னிக் என்று எடுத்துச் சொல்கின்றனர்.,6
இங்கிலாந்தில்_சில_மாதங்கள்,வசதி மிக்கவர்கள் உல்லாசப் பயணம் என்று பெருமைப்படுத்துகின்றனர்.,6
இங்கிலாந்தில்_சில_மாதங்கள்,வயதானவர்கள் யாத்திரை போகின்றனர்.,3
இங்கிலாந்தில்_சில_மாதங்கள்,இப்படி ஏதோ சில பெயர்களால் மற்றை நாடுகளுக்கும் இடங்களுக்கும் போய்வந்த பிறகு அவர்கள் விசாரணைக்கு உள்ளாகின்றனர்.,12
இங்கிலாந்தில்_சில_மாதங்கள்,எப்படி இருந்தது பயணம்? கேட்கப்படும் வினா.,5
இங்கிலாந்தில்_சில_மாதங்கள்,அந்த வினாக்கள் ஒன்று சேர்ந்து என்னை எழுதத் தூண்டின.,7
இங்கிலாந்தில்_சில_மாதங்கள்,கேட்பவர்கள் படிக்கப்போவது இல்லை படிப்பது உறுதி இல்லை.,6
இங்கிலாந்தில்_சில_மாதங்கள்,மற்றவர்கள் படிக்கவே இது எழுதப்பட்டது.,4
இங்கிலாந்தில்_சில_மாதங்கள்,எழுத்து எனக்குப் பழக்கமான கலை அது இதனை ஒரு இலக்கிய வடிவம் ஆக்கித் தந்துள்ளது.,11
இங்கிலாந்தில்_சில_மாதங்கள்,செய்திகளைத் திரட்டி ஒரு பயண நூல் எழுதுவதாக இருத்தால் மற்றவர்களை நான் மதிக்காதவன் ஆகிவிடுவேன்.,11
இங்கிலாந்தில்_சில_மாதங்கள்,இது நியாயமான கேள்விதான்.,3
இங்கிலாந்தில்_சில_மாதங்கள்,தெரிந்ததைத்தான் பள்ளி மாணவன் பத்துப் பக்கத்தில் கட்டுரை எழுதித் தருகிறான்.,8
இங்கிலாந்தில்_சில_மாதங்கள்,அவன் என்ன எழுதுகிறான்.,3
இங்கிலாந்தில்_சில_மாதங்கள்,நான் இதைப் பார்த்தேன்.,3
இங்கிலாந்தில்_சில_மாதங்கள்,அதைப் பார்த்தேன் கட்டுச் சோறு கட்டிச் சென்றேன்.,6
இங்கிலாந்தில்_சில_மாதங்கள்,என்பதோடு என் நண்பர்கள் வந்தார்கள் என்று எழுதி முடிப்பான் அது கட்டுரை.,9
இங்கிலாந்தில்_சில_மாதங்கள்,அதையும் பின்பற்ற முடியாது.,3
இங்கிலாந்தில்_சில_மாதங்கள்,எனவே இது பயண நூல் அல்ல.,5
இங்கிலாந்தில்_சில_மாதங்கள்,பயண இலக்கியம் என்பது என் அறிமுகம்.,5
இங்கிலாந்தில்_சில_மாதங்கள்,ரா.சீனிவாசன் ﻿இங்கிலாந்தில் சில மாதங்கள் அறிமுகம் எங்கிருந்து தொடங்குவது எதை எழுதுவது எதை விடுவது என்பதுதான் பிரச்சனை.,14
இங்கிலாந்தில்_சில_மாதங்கள்,பயணக் கட்டுரை என்றால் அதற்கு ஒரு ஆரம்பம் ஒரு முடிவு அமைய வேண்டும்.,10
இங்கிலாந்தில்_சில_மாதங்கள்,நிறைய பொருள் வசதியும் உலகம் சுற்றும் இயல்பும் அறிந்தவற்றைத் தொகுத்து அதிசயிக்கத்தக்க வகையில் எழுத வேண்டும்.,12
இங்கிலாந்தில்_சில_மாதங்கள்,உலகம் சுற்றும் தமிழன் என்ற ஓர் ஆக்கப் படைப்பு முதல் முதலில் தமிழ் இலக்கியத்தில் இடம் பெற்றது.,13
இங்கிலாந்தில்_சில_மாதங்கள்,கே. செட்டியார் இந் நூலை எழுதினார்.,5
இங்கிலாந்தில்_சில_மாதங்கள்,அப்படி எழுதப்படும் நூல் அல்ல பயணத்தைப் பற்றி எழுப்பப்பட்ட விசாரணைக்குத் தரப்படும் பதிலே இது.,11
இங்கிலாந்தில்_சில_மாதங்கள்,வெள்ளையனே வெளியே போ என்ற குரல் கொடுத்த நாடு இது.,8
இங்கிலாந்தில்_சில_மாதங்கள்,அதாவது அவர்கள் நம்மை ஆண்டார்கள் அடிமையாக்கினார்கள் நம் செல்வம் கொள்ளை கொண்டு போகப்பட்டது.,10
