work_title,sentence,sentence_length
கோவூர்_கிழார்,கோவூர் கிழார் கி.,3
கோவூர்_கிழார்,﻿பொருளடக்கம் எண் பக்கம் ஒன்று.,4
கோவூர்_கிழார்,சோழன் நலங்கிள்ளி ஒன்று இரண்டு.,4
கோவூர்_கிழார்,கோவூர்கிழார் ஏழு மூன்று.,3
கோவூர்_கிழார்,சாத்தனாரின் அறிவுரைகள் பதினாறு  நான்கு.,4
கோவூர்_கிழார்,ஏழெயிற் போர் பத்தொன்பது  ஐந்து.,4
கோவூர்_கிழார்,ஆவூர் முற்றுகை முப்பத்து நான்கு ஆறு.,5
கோவூர்_கிழார்,புலவர் உயிரைமீட்டல் நாற்பத்தெட்டு ஏழு.,4
கோவூர்_கிழார்,உறையூர் முற்றுகை ஐம்பத்தொன்பது எட்டு.,4
கோவூர்_கிழார்,கவிச் செல்வம் அறுபத்தேழு ஒன்பது.,4
கோவூர்_கிழார்,உயிர் மீண்ட குழந்தைகள் எழுபது பத்து.,5
கோவூர்_கிழார்,அவன் பெற்ற புகழை யார் பெற முடியும்?,6
கோவூர்_கிழார்,இன்றும் சோழ நாடு காவிரியினால் வளம் பெற்று வாழ்கிறதற்குக் காரணம் கரிகாலன் கட்டுவித்த கரைதானே?,11
கோவூர்_கிழார்,அப்போதுதான் சோழநாட்டின் அரசனாக நலங்கிள்ளி என்பவன் அரியணை ஏறியிருந்தான்.,7
கோவூர்_கிழார்,அவன் இளம் பருவமுடையவன்.,3
கோவூர்_கிழார்,அதனைப்பற்றியே இருவரும் பேசிக் கொண்டிருந்தார்கள்.,4
கோவூர்_கிழார்,பண்டைக் காலந்தொட்டு வரும் பழமன்னர் குடிகள் தமிழ் நாட்டில் மூன்று உண்டு.,9
கோவூர்_கிழார்,சோழர் குடியும் பாண்டியர் குடியும் சேரர் குடியும் ஆகிய இந்த மூன்று குலமும் பழமைக்கும் ஆற்றலுக்கும் அடையாளமாக விளங்குகின்றன.,14
கோவூர்_கிழார்,அந்த மூன்றிலும் சோழர் குலத்தின் பெருமையே பெருமை ! ஆம் !,7
கோவூர்_கிழார்,நாம் சோழ நாட்டில் வாழ்கிறவர்கள்.,4
கோவூர்_கிழார்,அதனால் நமக்குச் சோழர் குலந்தான் உயர்வாகத் தெரியும்.,6
கோவூர்_கிழார்,பாண்டி நாட்டில் வாழ்கிறவர்களைக் கேட்டுப் பார்.,5
கோவூர்_கிழார்,அவர்களுடைய மன்னர் குடியையே சிறப்பிப்பார்கள். உண்மைதான்.,5
கோவூர்_கிழார்,ஒவ்வொரு குடிக்கும் ஒவ்வொரு சிறப்பு உண்டு.,5
கோவூர்_கிழார்,அந்தச் சிறப்பு மற்றவர்களுக்கு வராது.,4
கோவூர்_கிழார்,சோழ நாடு என்றாலே சோற்று வளம் உடையதென்பதை மற்ற நாட்டுக்காரர்களும் ஒப்புக்கொள்வார்கள்.,9
கோவூர்_கிழார்,தமிழகத்தில் உள்ள ஆறுகளுக்குள் காவிரி பெரியது.,5
கோவூர்_கிழார்,சில பேர் சில சமயங்களில் மக்களின் அன்புக்கு உரியவர்களாக இராமற் போனதுண்டு.,9
கோவூர்_கிழார்,ஆனால் பெரும்பாலும் சோழ மன்னர்கள் குடி மக்களின் நன்மையையே தம்முடைய நன்மையாக எண்ணி ஆவன செய்து வருவார்கள்.,13
கோவூர்_கிழார்,"அரசனுக்கு வழி காட்டும் அறிவும் அநுபவமும் உள்ளவர்கள் அமைச்சர்களாக இருந்தால், ஆட்சி நன்றாக நடைபெறும்.",11
கோவூர்_கிழார்,குடிமக்கள் அந்த ஆட்சியின்கீழ் நன்மையை அடைவார்கள். இவ்வாறு சோழ நாட்டில் பலருக்கு அரசனைப் பற்றிய ஐயம் இருந்து வந்தது.,14
கோவூர்_கிழார்,இளமைப் பிராயம் உடையவனாதலின் நலங்கிள்ளி பகைவருக்கு அஞ்சாமல் பெரும் படையைச் சேர்த்து மக்களுடைய மதிப்பையும் பெறும் நிலையில் இருந்தான்.,14
கோவூர்_கிழார்,நல்ல வேளையாக அந்த மன்னனுக்கு அமைச்சராகவும் அவைக்களப் புலவராகவும் வாய்த்தார் சாத்தனார் என்ற சான்றோர்.,11
கோவூர்_கிழார்,நலங்கிள்ளி தன் தந்தை இறந்தவுடன் இளமையிலே முடியைத் தாங்கவேண்டி வந்தது.,8
கோவூர்_கிழார்,அவன் தந்தை இருந்த காலத்தில் உறையூர்ச் சாத்தனாரின் புலமையையும் சதுரப் பாட்டையும் நன்கு அறிந்தவள் அவள்.,12
கோவூர்_கிழார்,ஆதலின் அப்பெரியார் தன்னுடைய மகனுக்கு அறிவுரை கூறி நல்வழிப்படுத்தும் துணையாக வாய்த்தால் நலமாக இருக்கும் என்று எண்ணினாள்.,13
கோவூர்_கிழார்,ஒரு நாள் அப் புலவர் பெருமானை வருவித்துத் தன் கருத்தைத் தெரிவித்தாள்.,9
கோவூர்_கிழார்,ஆண்டில் இளையராக இருக்கும் அரசர்களுக்கு அறிவுரை கூறும் பெரியோர்களை முதுகண் என்று சொல்வது பழைய கால வழக்கம்.,13
கோவூர்_கிழார்,நலங்கிள்ளியினுடைய அன்னையின் விருப்பப்படியே சாத்தனார் என்னும் புலவர் அவ்வரசனுக்கு முதுகண் ஆனார்.,9
கோவூர்_கிழார்,அதனால் அவரை யாவரும் உறையூர் முதுகண்ணன் சாத்தனார் என்று சிறப்பித்து வழங்கத் தலைப்பட்டனர்.,10
கோவூர்_கிழார்,நலங்கிள்ளி தன் குலத்துக்கு ஏற்றபடி ஆண்மையிற் சிறந்தவனாக இருந்தான்.,7
கோவூர்_கிழார்,மற்றவர்கள் அவனுக்கு முதுகண்ணாக இருந்தால் அவர்கள் அரசியலோடு தொடர்புடைய நுட்பங்களே மாத்திரம் அறிவுறுத்துவார்கள்.,10
கோவூர்_கிழார்,ஆனால் முதுகண்ணன் சாத்தனார் பெரும் புலவரல்லவா?,5
கோவூர்_கிழார்,தமிழ் நூல்களை அவரிடம் நலங்கிள்ளி பயின்றான்.,5
கோவூர்_கிழார்,பகைவரை வென்று பல நாடுகளை அடிப்படுத்தும் வேந்தனுடைய வீரம் சிறப்புடையதுதான்.,8
கோவூர்_கிழார்,ஆனாலும் அந்த வீரத்தைப் பலரும் தெரிந்து கொள்ளும்படி புலவர்கள் பாடினால் வேந்தனுடைய புகழ் பரவும்.,11
கோவூர்_கிழார்,புலவர் பாடும் புகழை உடைய மன்னர்களை வருங்கால மக்களுடைய பாராட்டுக்கு உரியவர்கள் என்ற உண்மையை நலங்கிள்ளி உணர்ந்தான்.,13
கோவூர்_கிழார்,தமிழ் நயம் தேரும் ஊக்கம் அவனிடம் மிகுதி ஆக ஆகப் புலவர்களிடத்தில் அவனுக்கு மதிப்பு மிகுதி ஆயிற்று.,13
கோவூர்_கிழார்,நாம் சோழர் குலத்திலே பிறந்ததனால் பெரிய புகழ் பெற்றோம்.,7
கோவூர்_கிழார்,மன்னரைக் காட்டிலும் புலவர்களைத்தான் சான்றோர்கள் சிறந்தோராக மதிப்பார்கள்.,6
கோவூர்_கிழார்,நாமும் புலவர் வரிசையில் ஒருவர் ஆகவேண்டும் என்ற விருப்பம் சோழனுக்கு உண்டாயிற்று.,9
கோவூர்_கிழார்,செந்தமிழ்ப் பெரும் புலவராகிய சாத்தனார் அருகில் இருக்கும்போது நலங்கிள்ளியின் விருப்பம் நிறைவேறுவது அருமையான செயலா?,11
கோவூர்_கிழார்,அம் மன்னனும் இனிய கவிதை இயற்றும் வன்மை உடையவனானான்.,7
கோவூர்_கிழார்,தானும் புலமை பெற்றதனால் புலவர்களுடைய தரத்தை உணரும் ஆற்றல் அவனுக்கு அதிகமாயிற்று.,9
கோவூர்_கிழார்,அவனிடம் இருந்த புலமைத் திறம் அவனிடம் பொறாமையை உண்டாக்காமல் புலமைக்கு மதிப்பளிக்கும் இயல்பையே வளர்த்தது.,11
கோவூர்_கிழார்,அதனால் தண்டமிழ்ப் புலவர் பலர் அவனிடம் வந்து பாடினர் பாடிப் பரிசில் பெற்றுச் சென்றனர்.,11
கோவூர்_கிழார்,அவர்கள் வாயிலாக நலங்கிள்ளியின் புகழ் சோழ நாடு முழுவதும் பரவியது.,8
கோவூர்_கிழார்,புலவர்கள் எந்த நாட்டில் பிறந்தாலும் தமிழ் வழங்கும் இடம் எங்கும் போய்வரும் உரிமை படைத்தவர்கள்.,11
கோவூர்_கிழார்,"ஆதலால், பாண்டி நாடு, சேர நாடு என்ற மண்டலங்களுக்குப் போகும்போது அங்கும் நலங்கிள்ளியின் புகழைப் பரப்பினர்.",12
கோவூர்_கிழார்,அவன் புலவர் பாடும் புகழுடையவன் ஆனான்.,5
கோவூர்_கிழார்,அங்குள்ள வேளாளர் குடி ஒன்றில் கோவூர் கிழார் பிறந்தார்.,7
கோவூர்_கிழார்,"சால்பும், தெய்வ பக்தியும், தமிழ்ப் புலமையும், பேரறிவும் நிரம்பிய குலத்திற் பிறந்த அவருக்கு இளமையிலே சிறந்த புலமை உண்டாயிற்று.",14
கோவூர்_கிழார்,அவருடைய தாய் தந்தையர் வழக்கப்படியே அவருக்கு ஒரு பெயர் வைத்தார்கள்.,8
கோவூர்_கிழார்,"இளமையில் புலமை நிரம்பிய அவர் வளர வளர, அறிவும் புகழும் வளர்ந்தன.",9
