work_title,sentence,sentence_length
தில்லைப்_பெருங்கோயில்_வரலாறு,தில்லைப் பெருங்கோயில் வரலாறு பேராசிரியர் க.,5
தில்லைப்_பெருங்கோயில்_வரலாறு,உ சிவமயம் திருச்சிற்றம்பலம் தில்லைப் பெருங்கோயில் வரலாறு ஆசிரியர் கலைமாமணி பேராசிரியர் திரு க.,11
தில்லைப்_பெருங்கோயில்_வரலாறு,விரைவில் வனப்புற அச்சிட்டுக் கொடுத்தோர் அண்ணாமலை நகர் சிவகாமி அச்சகத்தார்.,8
தில்லைப்_பெருங்கோயில்_வரலாறு,இவர்கள் எல்லோர்க்கும் என பாராட்டும் நன்றியும் என்றும் உரிய்வாகும்.,7
தில்லைப்_பெருங்கோயில்_வரலாறு,"காரணம், அது தலபுராணச்செய்திகளுடன் வரலாற்று உண்மைகளையும் மற்றும் இலக்கியச் செய்திகளையும் தெரிவிப்பதே.",9
தில்லைப்_பெருங்கோயில்_வரலாறு,இந்நூலை வெளியிட்டு மகிழ்ந்தார்கள்.,3
தில்லைப்_பெருங்கோயில்_வரலாறு,"இந்நூல் எழுதும் பொறுப்பை தமிழ் மூதறிஞர், பேராசிரியர் திரு க.",8
தில்லைப்_பெருங்கோயில்_வரலாறு,"வெள்ளைவாரணனார் அவர்களிடம் மன்றத் தலைவர் அவர்கள் ஒப்படைத்தார்கள், என்றும் போற்றத்தக்க வகையில் எவ்வித கைம்மாறும்.",11
தில்லைப்_பெருங்கோயில்_வரலாறு,"முதற்பதிப்பு முடியுந் தறுவாயில், அதனை மேலும் செம்மைப்படுத்தி, இரண்டாவது பதிப்புக்காக.",8
தில்லைப்_பெருங்கோயில்_வரலாறு,"அச்சுக்குக் கொடுக்கும் நிலையில், நூலாசிரியர் சிவப்பேறுபெற்றார்.",5
தில்லைப்_பெருங்கோயில்_வரலாறு,மன்றத்தலைவர் அமரர் ஜி. வாகீசம்பிள்ளை மற்றும் நூலாசிரியர் அமரர் க.,8
தில்லைப்_பெருங்கோயில்_வரலாறு,வெள்ளைவாரணனார் செய்த பணிகளைத் தொடர மன்றம் முடிவு செய்தது.,7
தில்லைப்_பெருங்கோயில்_வரலாறு,அதற்கேற்ப இரண்டாம் பதிப்பு வெளியாகிறது.,4
தில்லைப்_பெருங்கோயில்_வரலாறு,இப்பதிப்பில் தில்லைத் திருமடல்கள் என்ற புதிய பகுதி பிற்சேர்க்கையில் இணைக்கப்பட்டுள்ளது.,8
தில்லைப்_பெருங்கோயில்_வரலாறு,இந் நூலை ஆங்கிலத்தில் தொழிபெயர்ப்புச் செய்து வெளியிட வேண்டும் என்ற எண்ணம் உள்ளது.,10
தில்லைப்_பெருங்கோயில்_வரலாறு,தில்லை அம்பலவன் திருவருளால் விரைவில் செயல் கூடும்.,6
தில்லைப்_பெருங்கோயில்_வரலாறு,சுவாமிநாதன் மற்றும் திரு இரத்தின சம்பந்தம் ஆகியோருக்கு எங்கள் நன்றியை உரிமையாக்கிக் கொள்கிறோம்.,10
தில்லைப்_பெருங்கோயில்_வரலாறு,"இந்நூலைப் படித்து, பொன்னம்பலவனின் தண்ணருளை பெற வேண்டுகிறோம்.",6
தில்லைப்_பெருங்கோயில்_வரலாறு,"திருநாவுக்கரசு செயலாளர் தில்லைத்தமிழ்மன்றம், ﻿ பொருளடக்கம் ஒன்று.",6
தில்லைப்_பெருங்கோயில்_வரலாறு,தில்லைப் பெருங்கோயிவின் தொன்மை ஒன்று இரண்டு.,5
தில்லைப்_பெருங்கோயில்_வரலாறு,தில்லையில் கூத்தப்பெருமானை வழிபட்டுப் பேறுபெற்றோர் ஐம்பத்தைந்து ஆறு.,6
தில்லைப்_பெருங்கோயில்_வரலாறு,தில்லைப் பெருங்கோயிலின் நாள் வழிபாடும் திருவிழாக்களும் தொன்னூற்று மூன்று ஏழு.,8
