work_title,sentence,sentence_length
திருக்குறள்_கட்டுரைகள்,திருக்குறள் கட்டுரைகள் கி.,3
திருக்குறள்_கட்டுரைகள்,"அச்சிட்டோர் ஸ்ரீ ராஜேஸ்வரி பிரிண்டிங் ஒர்க்ஸ், கஜபதி தெரு, சென்னை ﻿பதிப்புரை முத்தமிழ்க் காவலர் கி.ஆ.பெ.",14
திருக்குறள்_கட்டுரைகள்,விசுவநாதம் அவர்களுக்கு அறுபது ஆம் ஆண்டு இன்று பிறக்கிறது.,7
திருக்குறள்_கட்டுரைகள்,தமிழரின் பாதுகாவலர் திரு விசுவநாதம் அவர்கள்.,5
திருக்குறள்_கட்டுரைகள்,"தீமை செய்வோர் எத்தனை உயர்ந்த பெரியவர்களாயினும், எத்தனை பெரிய தலைவர்களாயினும், அஞ்சாது, அவர்களின் தவறை எடுத்துக் காட்டுவார்.",13
திருக்குறள்_கட்டுரைகள்,"இந்தப் பணியை எழுத்து, பேச்சு, நாடகம் என்ற பல துறைகளிலும் அவர்கள் செய்து வருகிறார்கள்.",11
திருக்குறள்_கட்டுரைகள்,"அவர் இயற்றிய பல நாடகங்கள், நூற்றுக்கணக்கான மேடைகளில் நடிக்கப்பட்டுள்ளன.",7
திருக்குறள்_கட்டுரைகள்,இந்திய வானொலி நிலையத்தின் வாயிலாகக் கன்னடம் முதலிய பிறமொழிகளிலும் ஒலிபரப்பப்பட்டுள்ளன.,8
திருக்குறள்_கட்டுரைகள்,"டெல்லியிலிருந்து வெளிநாட்டு மக்களுக்கும் ஒலிபரப்பப்பட்டு, தமிழரின் பெருமையை உலகெங்கும் உணரச் செய்யப்பட்டுள்ளது.",9
திருக்குறள்_கட்டுரைகள்,"அவர்களுடைய பேச்சுக்கள் தமிழகத்திலும், மலேயா, இலங்கை போன்ற கடல் கடந்த நாடுகளிலும், பல ஆயிரக் கணக்கான மேடைகளில் ஒலித்துள்ளன.",14
திருக்குறள்_கட்டுரைகள்,அவர்கள் எழுதிய நூல்கள் இலட்சக் கணக்கான தமிழர் இல்லங்களில் மகிழ்வூட்டிக் கொண்டிருக்கின்றன.,9
திருக்குறள்_கட்டுரைகள்,திருக்குறள் கட்டுரைகள் பதினோராவது நூல்.,4
திருக்குறள்_கட்டுரைகள்,வள்ளுவர் உள்ளம் விரைவில் வெளிவர இருக்கிறது.,5
திருக்குறள்_கட்டுரைகள்,யின் நூல்கள் அனைத்தையும் தமிழ் மக்களுக்கு வழங்கும் வாய்ப்பைப் பாரி நிலையம் பெற்றிருக்கிறது.,10
திருக்குறள்_கட்டுரைகள்,இதை நாங்கள் பெறுதற்கரிய பெரும் பேறாகக் கருதுகிறோம்.,6
திருக்குறள்_கட்டுரைகள்,திரு விசுவநாதன் அவர்களின் குடும்பம் பெருங்குடும்பம்.,5
திருக்குறள்_கட்டுரைகள்,அங்கு திருமணங்களும் பிற விழாக்களும் அடிக்கடி நிகழ்வதுண்டு.,6
திருக்குறள்_கட்டுரைகள்,அப்போது எல்லாம் அழைப்பிதழ்கள் வரும்.,4
திருக்குறள்_கட்டுரைகள்,ஒவ்வொரு அழைப்பிதழிலும் அடியில் ஒரு குறிப்பு இருக்கும்.,6
திருக்குறள்_கட்டுரைகள்,"சீர், மொய் பரிசு பணமுடிப்பு முதலியன விலக்கப்பட்டிருக்கின்றன என்பதே அக் குறிப்பு.",9
திருக்குறள்_கட்டுரைகள்,"விசுவநாதன் அவர்கள் தமிழ்ப் பெருமக்களிடமிருந்து, பொன்பொருள் எதையும் எதிர்பார்க்கவில்லை.",7
திருக்குறள்_கட்டுரைகள்,"அவர்கள் உயிர் என மதிப்பது ஒழுக்கம், கடமை, பணியாற்றல் முதலிய சிறந்த பண்புகளை.",10
திருக்குறள்_கட்டுரைகள்,அவர்கள் உள்ளம் ஒவ்வொரு கணமும் நினைந்து எதிர்பார்ப்பது உறங்கிக் கிடக்கும் தமிழகம் விழித்தெழுகின்ற நன் நாளை.,12
திருக்குறள்_கட்டுரைகள்,அவர்களுடன் சேர்ந்து தமிழ் நாட்டின் பொற்காலம் மீண்டும் தோன்ற உழைப்போம் என்று உறுதி கொள்வோம்.,11
திருக்குறள்_கட்டுரைகள்,அவர்களின் பேச்சுக்களைக் கேட்டும் நூல்களைப் படித்தும் அவற்றின் வழி நடப்போமாக !,8
திருக்குறள்_கட்டுரைகள்,"துரை அரங்கனார் அவர்கள் எம்.ஏ., எம்.ஓ.",7
திருக்குறள்_கட்டுரைகள்,"எல்., பிஎச்.டி.",3
திருக்குறள்_கட்டுரைகள்,"சென்னைப் பல்கலைக்கழகத் தமிழ்ப் பேராசிரியர், மதுரை.",5
திருக்குறள்_கட்டுரைகள்,"முத்தமிழ்க் காவலர், ஆண்டிலும் முதியவர், பல பல குழுக்களில் தலைமையும் உறுப்பும் உடையவர், உலகறி உத்தமர்.",12
திருக்குறள்_கட்டுரைகள்,உயர்திரு கி.ஆ.பெ.,4
திருக்குறள்_கட்டுரைகள்,விசுவநாதம் அவர்கள் எழுதிய திருக்குறள் கட்டுரைகள் என்னும் சுவடிக்கு மதிப்புரை வழங்க யான் பெற்றுள்ள தகுதி என்கொலோ?,13
திருக்குறள்_கட்டுரைகள்,திருக்குறளே விசுவநாதர் வலம் வரும் கோயில் திருவள்ளுவரே அவர் வழிபடும் கடவுள்.,9
திருக்குறள்_கட்டுரைகள்,திருவள்ளுவர் வகுத்துள்ள நெறியே அவர் கடைப்பிடிக்கும் நெறி.,6
திருக்குறள்_கட்டுரைகள்,"திருக்குறட் கருத்துக்களே அவர் உண்ணும் சோறும், பருகும் நீரும்.",7
திருக்குறள்_கட்டுரைகள்,யானும் திருக்குறள் வாழ்வே வாழ அவாக் கொண்டவன்.,6
திருக்குறள்_கட்டுரைகள்,திருக்குறள் வாழ்வே வாழ்ந்து வருகின்றேன் என்று பணிவோடு கூறுகிறேன்.,7
திருக்குறள்_கட்டுரைகள்,"ஆனால், அவ்வாழ்வால் அடைந்துவரும் பயன்...?",4
திருக்குறள்_கட்டுரைகள்,திருக்குறளை உலகமறை என்பார் தமிழகத்தார்.,4
திருக்குறள்_கட்டுரைகள்,ஏனைய மொழியினரும் திருக்குறளை மொழிபெயர்த்துப் போற்றிக் கொள்கின்றனர் எனத் தமிழகத்தார் கூறிப் பெருமதிப்புப் பெற்றவர்போல் களிப்புறுவர்.,12
திருக்குறள்_கட்டுரைகள்,எம்மொழிக்குரியவரும் கைக்கூலி வாங்குதலோ கொடுத்தலோ தவறென்றே கொள்வர்.,6
திருக்குறள்_கட்டுரைகள்,"ஆனால், கைக்கூலி கொடுத்தாலன்றி ஒரு சிறு தொழிலையும் இக்காலத்தில் சாதித்தல் இயலாததாகின்றது.",9
திருக்குறள்_கட்டுரைகள்,முகநக நட்பது நட்பன்று எனத் திருக்குறள் கூறுகின்றது.,6
திருக்குறள்_கட்டுரைகள்,அத்தன்கையாராலேயே இன்னும் உலகம் அழியாமல் இருக்கின்றது என்று அறநெறி நிற்போர் அறைகுவர்.,9
திருக்குறள்_கட்டுரைகள்,வாழ்க தமிழ்க் காவலர் !,3
திருக்குறள்_கட்டுரைகள்,﻿பொருளடக்கம் பக்கம் சான்றாண்மை... கயமை... எது அறிவு !,6
திருக்குறள்_கட்டுரைகள்,... கூத்தாட்டு அவைக்குழாம்... இரந்து வாழும் வாழ்வு... குடியும் குறளும்... பீலிபெய் சாகாடு... உடையர் எனப்படுவது?,11
திருக்குறள்_கட்டுரைகள்,திருக்குறள் ஒரு வாழ்வு நூல்.,4
திருக்குறள்_கட்டுரைகள்,அது தமிழகத்தின் செல்வம்.,3
திருக்குறள்_கட்டுரைகள்,அதன் திரண்ட கருத்தெல்லாம் ஒன்றே ஒன்று.,5
திருக்குறள்_கட்டுரைகள்,அது மக்களாய்ப் பிறந்தவர்கள் அனைவரும் மக்கட் பண்போடு வாழவேண்டும் என்பது.,8
திருக்குறள்_கட்டுரைகள்,அத்தகைய பண்பு.களில் ஒன்றே சான்றாண்மை.,5
திருக்குறள்_கட்டுரைகள்,தமிழகம் சான்றோரைத் தனது நாட்டுச் செல்வமாக கொண்டிருக்கிறது.,6
திருக்குறள்_கட்டுரைகள்,"சேரநாடு வேழமுடைத்து, பாண்டி நாடு முத்துடைத்து, சோழநாடு சோறுடைத்து, தொண்டை நாடு சான்றோருடைத்து என்பது ஒளவையின் வாக்கு.",13
திருக்குறள்_கட்டுரைகள்,"சான்றாண்மை என்ற சொல் தமிழ்மொழி ஒன்றுக்கே உரியது.சான்றாண்மைத் தன்மை, தமிழ் மக்களின் கலை.",11
திருக்குறள்_கட்டுரைகள்,"சான்றாண்மைப் பண்பு, தமிழகத்தின் தனிப்பட்ட சொத்து.",5
திருக்குறள்_கட்டுரைகள்,சான்றாண்மை என்ற சொல்லைக்கூடப் பிற மொழிகளில் மொழிபெயர்க்க முடியாது.,7
திருக்குறள்_கட்டுரைகள்,மொழி பெயர்த்துக் கூறினாலும் அச்சொல்லில் தமிழ் கூறும் பொருள் இராது.,8
திருக்குறள்_கட்டுரைகள்,"ஆண்மை, ஆண் தன்மை பெண்மை, பெண் தன்மை, ஆண்மையை வீரத்திற்கும், பெண்மையை அன்பிற்கும் ஒப்புக் கூறுவது உலக வழக்கு.",14
திருக்குறள்_கட்டுரைகள்,"என்றாலும், ஆண்மை என்பது வீரத்திற்கும் வலிமைக்கும் மட்டும் வேண்டுவதன்று அஃது அன்புக்குஞ் சகிப்புத் தன்மைக்குங்கூட வேண்டப்படும் ஒன்று.",13
திருக்குறள்_கட்டுரைகள்,அப்போதுதான் அந்த ஆண்மை சான்றாண்மையாக மாறுகிறது.,5
திருக்குறள்_கட்டுரைகள்,ஆண்மை என்ற சொல்லுக்கு ஆளுந் தன்மை என்பது பொருள்.,7
திருக்குறள்_கட்டுரைகள்,வாளாண்மை வாளை ஆள்வதும்.,3
திருக்குறள்_கட்டுரைகள்,"தாளாண்மை தாளை ஆள்வது, வேளாண்மை மண்ணை ஆள்வதும், சான்றாண்மை தன்னை ஆள்வதுமாகும்.",9
திருக்குறள்_கட்டுரைகள்,ஒழுக்கத்தை உயிரினும் பெரிதாகக் கருதுவது நற்குணங்களில் ஒன்று.,6
திருக்குறள்_கட்டுரைகள்,நற்குணங்கள் பலவற்றைப் படைத்தோர் நல்லோர் !,4
திருக்குறள்_கட்டுரைகள்,அக்குணங்களை ஆள்பவர் ஆண்மையுடையோர்.,3
திருக்குறள்_கட்டுரைகள்,அக் குணங்களில் எதுவுந் தன்னை விட்டுப் பிரிந்து போய்விடாமல் அடக்கி ஆண்டு வருபவர் சான்றாண்மையுடையோர்.,11
திருக்குறள்_கட்டுரைகள்,சான்றாண்மை உள்ளவரே சான்றோர்.,3
திருக்குறள்_கட்டுரைகள்,சான்றோர் என்பவர் உயர்ந்தோர்.,3
திருக்குறள்_கட்டுரைகள்,உயர்ந்தோரையே உலகம் என்பர்.,3
திருக்குறள்_கட்டுரைகள்,உலகின் பிற நாடுகள் யாவும் மிக்க எண்ணிக்கைக்கு உயர்வு தருகின்றன.,8
திருக்குறள்_கட்டுரைகள்,தமிழகம் மட்டும் குறைந்த எண்ணிக்கைக்கு உயர்வு தருகிறது.,6
திருக்குறள்_கட்டுரைகள்,"இந்தக் கருத்து, இன்றைய ஜனநாயகக் கொள்கையுடைய நாடுகளை நடுங்க வைத்து விடும்.",9
திருக்குறள்_கட்டுரைகள்,"என்றாலும், சான்ற என்ற சொல் சிறந்த என்ற பொருள்களிலேயே கையாளப் பெற்றிருக்கின்றது.",9
திருக்குறள்_கட்டுரைகள்,"இவ்வுண்மையை தகை சான்ற சொல், உரை சான்ற நூல், வாய் சான்ற பொருள் என்ற சொற்களால் நன்கறியலாம்.",13
திருக்குறள்_கட்டுரைகள்,ஆண்டு பலவாகியும் என் தலையில் ஏன் நரையில்லை தெரியுமா?,7
திருக்குறள்_கட்டுரைகள்,நான் வாழும் ஊரில் சான்றோர் பலர் வாழ் கின்றனர் என்பது புறநானூறு காட்டும் புதுமை.,11
திருக்குறள்_கட்டுரைகள்,பெருமையில் அடங்காதவை பலசான்றாண்மையில் அடங்கியிருக்கின்றன என்பது வள்ளுவர்பெருமான்கருத்து.,6
திருக்குறள்_கட்டுரைகள்,பிற நூல்களைக் காட்டிலுந் திருக்குறளில் சான்றாண்மைக்கு உயர்ந்த இடம் கொடுக்கப் பெற்றிருக்கிறது.,9
திருக்குறள்_கட்டுரைகள்,இது வள்ளுவரது உள்ளத்தில் சான்றாண்மை பெற்றிருந்த தனி இடத்தையே நமக்கு அறிவிக்கிறது.,9
