work_title,sentence,sentence_length
கடவுள்_வழிபாட்டு_வரலாறு,கடவுள் வழிபாட்டு வரலாறு பேரா.,4
கடவுள்_வழிபாட்டு_வரலாறு,"கிடைக்கும் இடம் சுந்தர சண்முகனார் புதுவைப் பைந்தமிழ்ப் பதிப்பகம் முப்பத்தெட்டு, வேங்கட நகர், புதுச்சேரி பதினொன்று .",12
கடவுள்_வழிபாட்டு_வரலாறு,﻿கடவுள் வழிபாட்டு வரலாறு முதல் பதிப்பு ஏழு பதினொன்று  ஓர் ஆயிரத்து தொள்ளாயிரத்து எண்பத்தெட்டு உரிமை ஆசிரியருக்கே.,13
கடவுள்_வழிபாட்டு_வரலாறு,"பதினைந்து  பூஜ்ஜியம் அச்சிட்டோர் வெற்றி அச்சகம் தொன்னூற்றொன்று, டாக்டர் பெசன்ட் ரோடு, இராயப்பேட்டை சென்னை அறுநூறு  பதினான்கு .",13
கடவுள்_வழிபாட்டு_வரலாறு,"அப்படியிருந்தும், இந்நூலின் முற்பகுதியைப் படிப்பவர்கள் என்னை நாத்திகன் என்று கூறக் கூடும்.",9
கடவுள்_வழிபாட்டு_வரலாறு,நூல் முழுதும் படித்த பின் எனது கொள்கை புலனாகும்.,7
கடவுள்_வழிபாட்டு_வரலாறு,"ஆத்திகர் என்று சொல்லிக் கொள்பவர்கள் எண்ணிக் கொண்டிருக்கும் கடவுளர்களின் நிலைமையினும், யான் கும்பிடும் கடவுளர்களின் நிலைமை வேறு.",13
கடவுள்_வழிபாட்டு_வரலாறு,கடவுளர்கள் எவ்வாறு கடவுளர்களானார்கள் என் பதிலேயே ஆத்திகரும் யானும் வேறுபடுகின்றோம்.,8
கடவுள்_வழிபாட்டு_வரலாறு,"நூல் முழுதும் படித்தபின், நடுநிலைமையோடு தீர்ப்பு வழங்க வேண்டுகிறேன்.",7
கடவுள்_வழிபாட்டு_வரலாறு,இந்நூலை நன்முறையில் விரைந்து அச்சிட்டுத் தந்த வெற்றி அச்சகத்தாருக்கு என் நன்றி உரியது.,10
கடவுள்_வழிபாட்டு_வரலாறு,சுந்தர சண்முகன் ஏழு பதினொன்று  ஓர் ஆயிரத்து தொள்ளாயிரத்து எண்பத்தெட்டு ﻿பொருளடக்கம் பக்கம் ஒன்று.,11
கடவுள்_வழிபாட்டு_வரலாறு,நூல் முதல்... ஐந்து இரண்டு.,4
கடவுள்_வழிபாட்டு_வரலாறு,உலகமும் உயிர்களும்... பதிமூன்று  மூன்று.,4
கடவுள்_வழிபாட்டு_வரலாறு,படைப்புக் கொள்கை ஆய்வு... இருபது நான்கு.,5
கடவுள்_வழிபாட்டு_வரலாறு,ஊழ் வினை... இருபத்தைந்து ஐந்து.,4
கடவுள்_வழிபாட்டு_வரலாறு,கடவுள் அவதாரங்கள்... முப்பத்தேழு ஆறு.,4
கடவுள்_வழிபாட்டு_வரலாறு,கடவுள் உண்மைப் பொருளா?,3
கடவுள்_வழிபாட்டு_வரலாறு,... நாற்பத்து மூன்று ஏழு.,3
கடவுள்_வழிபாட்டு_வரலாறு,உயிர் என்பதன் விளக்கம்... அறுபத்தொன்பது எட்டு.,5
கடவுள்_வழிபாட்டு_வரலாறு,மனத்தின் தோற்றம்... எழுபத்தெட்டு ஒன்பது.,4
கடவுள்_வழிபாட்டு_வரலாறு,உலகமே உண்மைப் பொருள்... தொன்னூற்றொன்று பத்து.,5
கடவுள்_வழிபாட்டு_வரலாறு,கடவுள் பிறந்த இயற்கை வரலாறு... நூற்றி ஒன்று பதினொன்று .,7
கடவுள்_வழிபாட்டு_வரலாறு,செயற்கை முறைக் கடவுள் வரலாறு... நூற்றி இருபத்தொன்று பனிரண்டு .,7
கடவுள்_வழிபாட்டு_வரலாறு,... நூற்றி நாற்பத்தைந்து மேலட்டைப் படம் கற்புக் கடவுள் கண்ணகி ﻿கடவுள் வழிபாட்டு வரலாறு ஒன்று.,11
கடவுள்_வழிபாட்டு_வரலாறு,"நூல் முதல் நூல் முதல் என்னும் இந்தப் பகுதி, இந்த நூலின் எழுச்சிக்கு உரிய காரணத்தை விளக்கும் பகுதியாகும்.",14
