work_title,sentence,sentence_length
ஆரிய_மாயை,மேற்கோள்கள் பல தரப்பட்டுள்ளன.,3
ஆரிய_மாயை,பேச்சாளருக்குப் பேருபகாரியாக இந்நூல் இருக்கும்.,4
ஆரிய_மாயை,அண்ணாதுரை ஆரியமாயை பேராசைப் பெருந்தகையே போற்றி !,5
ஆரிய_மாயை,பேச நா இரண்டுடையாய் போற்றி !,4
ஆரிய_மாயை,தந்திர மூர்த்தி போற்றி !,3
ஆரிய_மாயை,தாசர் தம் தலைவா போற்றி !,4
ஆரிய_மாயை,வஞ்சக வேந்தே போற்றி !,3
ஆரிய_மாயை,வன்கண நாதா போற்றி !,3
ஆரிய_மாயை,கொடுமைக் குணாளா போற்றி !,3
ஆரிய_மாயை,பயங்கொள்ளிப் பரமா போற்றி !,3
ஆரிய_மாயை,சிண்டு முடிந்திடுவோய் போற்றி !,3
ஆரிய_மாயை,சிரித்திடு நரியே போற்றி !,3
ஆரிய_மாயை,ஒட்டுவித்தை கற்றோய் போற்றி !,3
ஆரிய_மாயை,உயர் அநீதி உணர்வோய் போற்றி !,4
ஆரிய_மாயை,எம் இனம் கெடுத்தோய் போற்றி !,4
ஆரிய_மாயை,ஈடில்லாக் கேடே போற்றி !,3
ஆரிய_மாயை,"இரை, இதோ போற்றி !",3
ஆரிய_மாயை,"இந்தப் போற்றித் திருப்பா, புதுமையானதாக இருக்கிறதே !",5
ஆரிய_மாயை,இதன் பொருள் விளங்கவில்லையே !,3
ஆரிய_மாயை,"பேராசையும் வஞ்சகமும், பிறவுமான கேடு பயக்கும் குணமுடையோரைப் போற்றுவது மடைமையன்றோ?",8
ஆரிய_மாயை,ஒழித்திட வேண்டியதைத் தொழுதிடுவது அறிவுடையாகுமா?,4
ஆரிய_மாயை,"தேளைத் தேவனென்றும், பாம்பைப் பரமனென்றும், நரியை நாதனே என்றும், புலியை புண்ணியவானென்றும், பித்தருங் கூறாரே !",11
ஆரிய_மாயை,"நீயோ நயவஞ்சகரை நா இரண்டுடையாரை, நாவார வாழ்த்துகிறாயே போற்றி !",7
ஆரிய_மாயை,"என்று, இது என்ன பரதா?",4
ஆரிய_மாயை,"என்று கேட்பர், அன்பர்.",3
ஆரிய_மாயை,அடியேன் அறைவதல்ல ஐயன்மீர் !,3
ஆரிய_மாயை,அவர்கள் போற்றித் தொழுதிடும் பூசுரரின் திருக்கலியாண குணங்களை அறிந்தோர் எடுத்துரைத்துள்ளனர்.,8
ஆரிய_மாயை,"நான் ஆரியரைப் போற்றவுமில்லை, போற்றிடக் கூறவுமில்லை !",5
ஆரிய_மாயை,அதுபோலவே நான் அவர்களை ஏசவும் இல்லை ஏசிடும்படி உங்களை ஏவிடவும் இல்லை.,9
ஆரிய_மாயை,பிறர் கூறிய ஏசலை எடுத்துக் கூறுகிறேன்.,5
ஆரிய_மாயை,அக்ரகாரத்தை அனுதினமும் அர்ச்சிக்கும் அன்பர்கள் ஏண்டா பரதா !,6
ஆரிய_மாயை,"உங்களுக்குக் கூறுகிறேன் தூற்றலல்ல, நான் தொகுத்திட்ட இப்பா பன்னெடு நாட்களுக்கு முன்பு படம் பிடித்தார் ஓர் பரங்கி.",13
ஆரிய_மாயை,அதனை நான் இன்று வெளியிடுகிறேன்.,4
ஆரிய_மாயை,இல்லாததை எடுத்துக் காட்டிக் கூறுவதுமல்ல !,4
ஆரிய_மாயை,மீண்டுமொரு முறை இப்போதே போற்றிப் பாசுரத்தைப் படியுங்கள்.,6
ஆரிய_மாயை,"சரி, இதோ பாருங்கள், சில ஆங்கிலச் சொற்கள் ! !",6
