work_title,sentence,sentence_length
கன்பூசியஸின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,கன்பூசியஸின் நம்மை மேம்படுத்தும் எண்ணங்கள் என்.,5
கன்பூசியஸின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,﻿கன்பூசியஸின் நம்மை மேம்படுத்தும் எண்ணங்கள் புலவர் என்.வி.,7
கன்பூசியஸின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"ஏ., சாந்தி நிலையம் புதிய எண்.",5
கன்பூசியஸின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"உஸ்மான் சாலை, தி.நகர், சென்னை",5
கன்பூசியஸின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"கலைமணி அவர்களுக்கும், மற்றும் இந்நூல் நன்கு வெளிவர உதவிய அனைவருக்கும் எங்களது நன்றி.",10
கன்பூசியஸின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,அதற்கு ஒரு தனி நூலே எழுத வேண்டிய நிலை தோன்றும்.,8
கன்பூசியஸின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"ஆனாலும், கன்பூசியஸ் என்ற சீன நாட்டு ஞானி, திருவள்ளுவர் பெருமானைப் போலவே ஓர் அறநெறியாளராக வாழ்ந்தார்.",12
கன்பூசியஸின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,அதற்கான அனுபவமும் உள்ளவராகப் பணியாற்றிக் காட்டிய முன் னோடியாகவும் திகழ்ந்தார் பேரறிஞர் பிளேட்டோ என்ற அரசியல் மகானைப் போல !,14
கன்பூசியஸின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,போதிமாதவன் புத்தர் பெருமானைப் போல !,4
கன்பூசியஸின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,நமது நாட்டுச் சங்க காலப் பாணர்களைப் போல !,6
கன்பூசியஸின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,கன்பூசியஸ் என்ற பேரறிவாளன் ஓர் அரசியல் வாதி !,6
கன்பூசியஸின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,அமைச்சராக அரும்பணி ஆற்றியவர் சேக்கிழார் பெருமானைப் போல நாட்டின் காவலராக வாழ்ந்தவர் !,9
கன்பூசியஸின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,ஒரு சமயம் ஆடுமாடுகளைக் கூட மேய்த்துக் கூலி பெற்றார் !,7
