work_title,sentence,sentence_length
அசோகர்_கதைகள்,அசோகர் கதைகள்﻿ பாவலர் நாரா.,4
அசோகர்_கதைகள்,உரிமம் ﻿ அசோகர் கதைகள் நாரா.,5
அசோகர்_கதைகள்,"நாச்சியப்பன் தமிழாலயம் இருநூற்று முப்பத்திரண்டு, பைகிராப்ட்ஸ் சாலை சென்னை அறுநூறு ஆயிரத்து பதினான்கு .",10
அசோகர்_கதைகள்,﻿பதிப்புரை ⁠மாமன்னர் அசோகர் இந்திய வரலாற்றில் பெற்றுள்ள இடம் பெரியது.,8
அசோகர்_கதைகள்,⁠மாமன்னர் அசோகர் மனமாற்றம் கொண்ட பிறகுங் கூட அவருடைய பேரரசு எவ்விதக் குறையும் குறைவும் அற்று விளங்கியது குறிப்பிடத்தக்கது.,14
அசோகர்_கதைகள்,அதற்குக் காரணம் அவருடைய மனக் கவர்ச்சியாற்றல் தான் !,6
அசோகர்_கதைகள்,⁠மாமன்னர் அசோகரின் குணப்பண்பை அடிப்படையாகக் கொண்டு திரு நாரா நாச்சியப்பன் புனைந்துள்ள இந்தக் கற்பனைக் கதைகள் சுவைமிக்கவை.,13
அசோகர்_கதைகள்,"இளஞ் சிறுவர்களுக்கு நல்ல படிப்பினைக் கதைகளாகவும், பெரியவர்களுக்குச் சிறந்த இலக்கியமாகவும், இரு பயன் நல்கும் இக்கதைகளைப் பெருமையுடன் வெளியிடுகிறோம்.",14
அசோகர்_கதைகள்,தமிழாலயம் பதிப்புரை துன்பம் போக்கும் அன்பர் ⁠மாமன்னர் அசோகர் ஆட்சி நடந்துகொண்டிருந்த காலம் அது.,11
அசோகர்_கதைகள்,அசோகர் இனிமேல் போரே நடத்துவதில்லை என்று உறுதி எடுத்துக்கொண்டிருந்தார்.,7
அசோகர்_கதைகள்,போரினால் மக்கள் அடையும் துன்பங்களை நேரில் கண்டறிந்து மனம் மாறிய பின் அவர் இவ்வாறு உறுதி செய்துகொண்டார்.,13
அசோகர்_கதைகள்,இந்தச் செய்தி பரத கண்டம் முழுவதும் பரவியது.,6
அசோகர்_கதைகள்,⁠ஒரு சிற்றுாரிலே இருந்த பெரியவர்கள் ஒருநாள் இதைப் பற்றிப் பேசிக் கொண்டிருந்தார்கள்.,9
அசோகர்_கதைகள்,⁠ துன்பம் அடைந்தவர்களைக் கண்டால் அரசர் அப்படியே கண்ணிர் விட்டுவிடுகிறாராம் !,8
அசோகர்_கதைகள்,"மற்ற உயிர்களைத் தம் உயிர்போல் மதிக்கும் மனப்பான்மை ஒருவருக்கு வந்துவிட்டால், அவர் எல்லா உயிர்களும் இன்புற்றிருக்கவே பாடுபடுவார்.",13
அசோகர்_கதைகள்,"புத்த பெருமானின் வழியில் திரும்பிய அசோக மன்னர், இரக்கம் கொண்டவராக மாறியதில் வியப்பில்லை என்றார் அவ்வூர்ப் பள்ளி ஆசிரியர்.",14
அசோகர்_கதைகள்,⁠ கவிஞர் ஒருவர் சாப்பாட்டுக்கில்லாமல் பட்டினியாய்க் கிடக்கிறார் என்று யாரோ தெருவில் பேசிக்கொண்டார்களாம்.,10
அசோகர்_கதைகள்,என்று வெளியூரிலிருந்து வந்த ஒரு வணிகர் கூறினார்.,6
அசோகர்_கதைகள்,⁠இப்படியே மாமன்னர் அசோகரைப் பற்றித் தாங்கள் கேள்விப்பட்டவற்றையும் அறிந்தவற்றையும் கூறிப் புகழ்ந்து பொழுது போக்கிக்கொண்டிருந்தார்கள் அந்த ஊர்ப் பெரியவர்கள்.,14
அசோகர்_கதைகள்,அவர்கள் பேசியவற்றையெல்லாம் ஓர் இளைஞன் கவனித்துக்கொண்டிருந்தான்.,5
அசோகர்_கதைகள்,⁠அந்த இளைஞனுடைய தந்தை ஒரு போர் வீரன்.,6
அசோகர்_கதைகள்,அந்த இளைஞனை அவனுடைய தாய் தான் வளர்த்துவந்தாள்.,6
அசோகர்_கதைகள்,அவள் எப்படியோ பாடுபட்டு அவனைக் கவலையில்லாமல் வளர்த்துவந்தாள்.,6
அசோகர்_கதைகள்,ஒரே பிள்ளையாகையால் அவள் அவனை அடக்கி வளர்க்கவில்லை.,6
அசோகர்_கதைகள்,⁠அந்த இளைஞன் சிறு வயதில் ஒழுங்காகப் பள்ளிக்குப் போகவில்லை.,7
அசோகர்_கதைகள்,வீட்டில் சாப்பிட்டுவிட்டு வெளியில் எங்காவது போய்ச் சுற்றிவிட்டு வருவான்.,7
அசோகர்_கதைகள்,⁠அவன் வளர்ந்த பிறகு அவன் தாய் சிலசமயம் அவனைக் கடிந்துகொள்ளுவாள்.,8
அசோகர்_கதைகள்,படிக்கவில்லை என்றாலும் ஏதாவது வேலை பழகிக்கொள்ளக் கூடாதா என்று கேட்பாள்.,8
அசோகர்_கதைகள்,ஆனால் அவளுடைய பேச்சையெல்லாம் அவன் உதறித் தள்ளிவிடுவான்.,6
அசோகர்_கதைகள்,தான் உழைத்துப் பெறும் கூலியில் தாய் அரிசியும் காய்கறியும் வாங்கிவந்து அவனுக்கும் சோறு சமைத்துப் போடுவாள்.,12
அசோகர்_கதைகள்,⁠கடைசியில் ஒருநாள் காய்ச்சல் என்று சொல்லிக் கொண்டு அவனுடைய தாய் படுத்துவிட்டாள்.,9
அசோகர்_கதைகள்,"அவள் நோயாகப் படுத்துவிட்டபின், வீட்டுச் செலவுக்குக் காசே கிடைக்கவில்லை.",7
அசோகர்_கதைகள்,தான் போய் வேலை பார்க்க வேண்டும் என்று அந்த இளைஞன் நினைக்கவேயில்லை.,9
அசோகர்_கதைகள்,எங்கோ சுற்றி விட்டு வந்து அம்மா எனக்குச் சோறு போடு !,8
அசோகர்_கதைகள்,"அவளோ, படுக்கையை விட்டு எழுந்திருக்க முடியாமல் கிடந்தாள்.",6
அசோகர்_கதைகள்,"⁠தன் தாய் முடியாமல் இருக்கிறாள் என்பதையே சிறிதும் கருதிப் பாராமல், அம்மா, வயிறு பசிக்கிறது.",11
அசோகர்_கதைகள்,எழுந்துவந்து சோறு போடு என்று கேட்டான்.,5
அசோகர்_கதைகள்,⁠அவள் அவனே அருகில் வரும்படி அழைத்தாள்.,5
அசோகர்_கதைகள்,"⁠ மகனே, எங்காவது போய் வேலை செய்து நாலு காசு கூலி வாங்கிக் கொண்டு வா.",12
அசோகர்_கதைகள்,நான் அரிசி வாங்கிச் சோறு சமைத்துப் போடுகிறேன் என்றாள்.,7
அசோகர்_கதைகள்,⁠ நான் வேலை செய்வதா?,4
அசோகர்_கதைகள்,எனக்கு ஒரு வேலையும் செய்யத் தெரியாதே !,5
அசோகர்_கதைகள்,என்று சொல்லிவிட்டு அந்த இளைஞன் பேசாமல் படுத்துவிட்டான்.,6
அசோகர்_கதைகள்,ஐந்தாவது நாளே அவள் இறந்து போய்விட்டாள்.,5
அசோகர்_கதைகள்,⁠அக்கம் பக்கத்தில் இருந்தவர்கள் அக்த இளைஞனைத் திட்டினர்கள்.,6
அசோகர்_கதைகள்,அவன்தான் தன் தாயைக் கொன்று விட்டான் என்று குற்றம் சாட்டினார்கள்.,8
அசோகர்_கதைகள்,அதன் பிறகும் தான் உழைத்துப் பிழைக்க வேண்டும் என்று அந்த இளைஞன் நினைக்கவேயில்லே.,10
அசோகர்_கதைகள்,உறவினர்கள் வீடுகளுக்குச் சென்று ஒவ்வொரு வீட்டிலும் ஒவ்வொரு வேளையாகச் சாப்பிட்டுவந்தான்.,8
அசோகர்_கதைகள்,"சில நாட்கள்வரை, உறவினர்கள் இரக்கப்பட்டுச் சோறு போட்டர்கள்.",6
அசோகர்_கதைகள்,"பிறகு, அவர்கள் அவனைத் தங்கள் வீட்டு வாசற்படியையே மிதிக்கக் கூடாதென்று கூறி விரட்டி யடித்து விட்டார்கள்.",12
அசோகர்_கதைகள்,⁠அதன் பிறகும் அந்தப் பையன் உழைத்துப் பொருள் பெற வேண்டுமென்று நினைக்கவில்லை.,9
அசோகர்_கதைகள்,வீடுவீடாகப் போய்ப் பிச்சை எடுத்தான்.,4
அசோகர்_கதைகள்,⁠பிச்சைக்குச் செல்லும்போது சில சமயம் ஏதாவதொரு வீட்டில் அவனுக்குச் சாப்பாடே போடுவார்கள்.,9
அசோகர்_கதைகள்,சில சமயம் ஒவ்வொரு வீட்டில் ஒரு கைப்பிடி சோறுதான் போடுவார்கள்.,8
அசோகர்_கதைகள்,பத்துப் பதினேந்து வீட்டில் பிச்சை யெடுத்த பிறகுதான் வயிற்றுக்குச் சோறு கிடைக்கும்.,9
அசோகர்_கதைகள்,சில சமயம் வீட்டுக்காரர்கள் வராதே போ !,5
அசோகர்_கதைகள்,என்று விரட்டி யடிப்பார்கள்.,3
அசோகர்_கதைகள்,⁠ஊர்ப் பெரியவர்கள் பேசிக் கொண்டிருந்ததைக் கேட்டுக் கொண்டிருந்தபோது அந்த இளைஞன் பிச்சைக்காரனாகத்தான் இருந்தான்.,10
அசோகர்_கதைகள்,அந்தப் பெரியவர்களிடம் ஏதாவது காசு பிச்சை கேட்கலாம் என்று சென்றவன்தான் அந்தப் பேச்சுக்களைக் கவனித்தான்.,11
அசோகர்_கதைகள்,"⁠அசோக மன்னர், பிறர் கவலையைப் போக்குபவர் என்று கேள்விப்பட்டவுடன் அவனுக்கு மனத்துக்குள் ஒரு திட்டம் உருவாயிற்று.",12
அசோகர்_கதைகள்,"அசோக மன்னரைப் பார்த்துத் தன் துன்பத்தை எடுத்துக் கூறினால், தனக்கு நிறையப் பணம் கொடுக்கமாட்டாரா என்று எண்ணினான்.",13
