work_title,sentence,sentence_length
ஆண்_சிங்கம்,﻿ஆண் சிங்கம் சிறுகதைகள் ﻿ஆசிரியரின் பிற நூல்கள் சிறுகதைகள் ⁠கல்யாணி ⁠நாட்டியக்காரி ⁠வல்லிக்கண்ணன் கதைகள் நாடகம் ⁠விடியுமா?,13
ஆண்_சிங்கம்,கிருஷ்ண ஸ்வாமி பனிரண்டு  பதினொன்று  ஓர் ஆயிரத்து தொள்ளாயிரத்து இருபது ல் பிறந்தார்.,10
ஆண்_சிங்கம்,திருநெல்வேலி ஜில்லாவில் உள்ள ராஜவல்லிபுரம் அவரது சொந்த ஊர்.,7
ஆண்_சிங்கம்,ஓர் ஆயிரத்து தொள்ளாயிரத்து நாற்பது முதல் அவரது எழுத்துக்கள் தமிழ்நாட்டின் எல்லாப் பத்திரிகைகளிலும் இடம் பெற்றுள்ளன.,12
ஆண்_சிங்கம்,ஓர் ஆயிரத்து தொள்ளாயிரத்து நாற்பத்து மூன்று முதல் சில வருஷ காலம் பத்திரிகை அலுவலகங்களில் பணிபுரிந்தார்.,12
ஆண்_சிங்கம்,"ஊழியன் நின்றதும், ஓர் ஆயிரத்து தொள்ளாயிரத்து நாற்பத்தேழு ல் அவர் சென்னை வந்து சேர்ந்தார்.",11
ஆண்_சிங்கம்,ஹனுமான் வாரப் பத்திரிகையில் இரண்டு வருஷங்கள் துணை ஆசிரியராகக் கடமையாற்றினார்.,8
ஆண்_சிங்கம்,"அதன் பிறகு, சுயேச்சை எழுத்தாளராகவே சென்னையில் வசிக்கிறார்.",6
ஆண்_சிங்கம்,வனா.கனா ஒரு பிரமச்சாரி.,4
ஆண்_சிங்கம்,சக்தியுள்ள தெய்வம் … ஒன்பது இரண்டு.,5
ஆண்_சிங்கம்,விரையும் சுரையும் … இருபத்திரண்டு மூன்று.,5
ஆண்_சிங்கம்,பெரிய மனுஷி … நாற்பத்தெட்டு ஆறு.,5
ஆண்_சிங்கம்,பிரமை அல்ல … அறுபத்து மூன்று ஏழு.,6
ஆண்_சிங்கம்,ஆண் சிங்கம் … நூற்றி ஆறு பனிரண்டு .,6
ஆண்_சிங்கம்,கவிதை வாழ்வு … நூற்றி பதினேழு  பதிமூன்று .,6
ஆண்_சிங்கம்,நடப்பது வெள்ளி விழா வருஷம்.,4
ஆண்_சிங்கம்,இதன் நிறைவை எப்படிக் கொண்டாடுவது என்று நான் சுவையான பல கனவுகள் கண்டது உண்டு.,11
ஆண்_சிங்கம்,எனது கதைத் தொகுதி ஒன்றை உயர்ந்த பதிப்பாக வெளியிடுவது என்பது அவற்றில் இடம் பெற்றதில்லை.,11
ஆண்_சிங்கம்,"ஆனால், நண்பர் செல்லப்பா எனது கதைகளே எழுத்து பிரசுரம் ஆக வெளியிட்டு என்னுடைய வெள்ளி விழா?",12
ஆண்_சிங்கம்,ஆண் சிங்கம் எனது நான்காவது கதைத் தொகுதி.,6
ஆண்_சிங்கம்,முதல் தொகுதி கல்யாணி முதலிய கதைகள் ஓர் ஆயிரத்து தொள்ளாயிரத்து நாற்பத்தைந்து ல் பிரசுரமாயிற்று.,11
