work_title,sentence,sentence_length
சோழர்_வரலாறு,சோழர் வரலாறு டாக்டர்.,3
சோழர்_வரலாறு,சோழர் வரலாறு மூன்று பாகங்கள் ஆசிரியர் டாக்டர்.,6
சோழர்_வரலாறு,பூரம் பதிப்பகம் புதிய எண். பழைய எண்.,6
சோழர்_வரலாறு,"ஐம்பத்தொன்பது ராஜு நாயக்கர் தெரு, மேற்கு மாம்பலம், சென்னை அறுநூறு  முப்பத்து மூன்று.",10
சோழர்_வரலாறு,﻿நூல் விவரக் குறிப்பு நூலின் தலைப்பு சோழர் வரலாறு ஆசிரியர் டாக்டர் மா.,10
சோழர்_வரலாறு,"இரண்டு, பழைய எண் ஐம்பத்தொன்பது, ராஜு நாயக்கர் தெரு, சென்னை அறுநூறு  முப்பத்து மூன்று.",11
சோழர்_வரலாறு,பதிப்பாளர் பூரம் பதிப்பகம் புதிய எண்.,5
சோழர்_வரலாறு,நானங்கு நாடுவதும் நலமே.,3
சோழர்_வரலாறு,தாங்கள் அன்போடனுப்பிய சோழர் வரலாறு மூன்று பகுதிகளும் வரப்பெற்றேன் படித்து மகிழ்வுற்றேன்.,9
சோழர்_வரலாறு,"தங்கள் குலோத் துங்கன் வரலாறும், பிற உரைகளும் சோழர் வரலாற்றுக்குச் சார்பும் துணையும் தந்து வளம் நிறை பாராட்டுக்குரியது.",14
சோழர்_வரலாறு,என்றும் தம் நட்பையும் பலனையும் விரும்பும்.,5
சோழர்_வரலாறு,தென்னிந்தியா முழுவதும் ஒரே ஆட்சிக்கு உட்பட்டுச் சுமார் முந்நூறு வருஷகாலம் ஒரே ராஜ்யமாக ஆளப்பட்டு வந்தது.,12
சோழர்_வரலாறு,நாடெங்கும் அமைதி நிலவியது.,3
சோழர்_வரலாறு,சிறியவும் பெரியவும் ஆன கற்கோயில்கள் கட்டப்பட்டன.,5
சோழர்_வரலாறு,அழகு வாய்ந்த சிற்பங்கள் அநேகம் கல்லில் செதுக்கப்பட்டன வெண்கலத்திலும் வார்க்கப்பட்டன.,8
சோழர்_வரலாறு,நல்ல ஒவியங்கள் பல வரையப்பட்டன.,4
சோழர்_வரலாறு,கைத்தொழில்களும் வியாபாரமும் செழித்து வளர்ந்தன.,4
சோழர்_வரலாறு,"ஜயங்கொண்டார், சேக்கிழார், கம்பர், ஒட்டக் கூத்தர் முதலிய பெரும் புலவர்கள் பலர் இனிய நூல்களை இயற்றித் தமிழைப் பெருக்கினார்கள்.",14
சோழர்_வரலாறு,"நல்ல ஆராய்ச்சி நூல்களை அவர்கள் நன்கனம் கற்றறிந்திருப்பதோடு, ﻿சுயமாகவும் ஆராய்ச்சித் துறையில் ஈடுபட்டவர்கள்.",10
சோழர்_வரலாறு,ஆயினும் அவர்கள் வெளியிட்டிருக்கும் அபிப்பிரா யங்கள் எல்லாவற்றையும் எல்லோரும் ஒருங்கே அங்கீ கரிப்பார்கள் என்று அவர்கள் எண்ணமாட்டார்கள்.,13
சோழர்_வரலாறு,நம் நாட்டுச் சரித்திரப் பகுதிகள் பலவற்றில் அபிப்பிராய வேறுபாடுகளுக்கு இடம் இருந்து கொண்டேதானிருக்கும்.,10
சோழர்_வரலாறு,"ஆனால் இம்மாதிரி நூல்கள், அவ்வப்போது கிடைக்கும் ஆய்ந்த தீர்மானங்களை எல்லோரும் எளிதில் அறிந்து கொள்வதற்கு வேண்டிய நல்ல கருவிகளாகும்.",14
சோழர்_வரலாறு,இந்தச் சோழர் சரித்திரத்தைப் பலர் படித்து நன்மை பெறுவார்கள் என்று நம்புகிறேன்.,9
சோழர்_வரலாறு,நீலகண்ட சாஸ்திரி உள்ளே.... முதற் பாகம்,5
சோழர்_வரலாறு,சோழர் வரலாற்றுக்குரிய மூலங்கள்.,3
சோழர்_வரலாறு,கரிகாற் பெருவளத்தான் காலம்.,3
