work_title,sentence,sentence_length
திருப்புமுனை,"﻿திருப்புமுனை ஆசிரியர் மணவை முஸ்தபா, எம்.ஏ.",6
திருப்புமுனை,விலை ரூ. செம்மல் பதிப்பகம் மணை எண் அண்ணா நகர் சென்னை,9
திருப்புமுனை,அத்தகைய பயிற்சிக் களமாக அமைந்திருப்பதே பள்ளி வாழ்க்கை.,6
திருப்புமுனை,"இனியனின் இனிய இயல்புகள் வழி தவறிய கண்ணாயிரம் போன்றவர்களைத் தடுத்து, நேர் வழிக்கு கொண்டு வரத் துணையாயமைகின்றன.",13
திருப்புமுனை,அவர்களின் வாழ்க்கையைப் பற்றிய கதையே அவர்கட்கு வாழ வழிகாட்டுகிறது.,7
திருப்புமுனை,"இதுவும் மாணவ, ஆசிரிய சமுதாயத்தின் பேராதரவைப் பெறும் என்ற நம்பிக்கை எனக்குண்டு.",9
திருப்புமுனை,அன்பன் மணவை முஸ்தபா நூலாசிரியர் உள்ளடக்கம் ஒன்று.,6
திருப்புமுனை,அறுபத்து நான்கு ﻿திருப்புமுனை ஒன்று காலம் கடந்துகொண்டே இருந்தது.,7
திருப்புமுனை,நேரம் செல்லச் செல்ல அருள் பொறுமை இழந்தான்.,6
திருப்புமுனை,இனியன் வரும் வழியை நூற்றி யொராவது முறையாக ஏறிட்டு நோக்கினான்.,8
திருப்புமுனை,யார் யாரோ வந்து போய்க்கொண்டிருந்தார்களே தவிர எதிர்பார்த்த இனியன் வருவதாகத் தெரியவில்லை.,9
திருப்புமுனை,சலிப்போடு தன்னிடம் இருந்த இனியனின் புத்தகப் பையை அப்படியும் இப்படியுமாக நகர்த்தினான்.,9
திருப்புமுனை,கொஞ்சம் கொஞ்சமாக அவன் மனம் அன்று மாலை வகுப்பில் நடந்த சம்பவத்தை அசைபோடத் தொடங்கியது.,11
திருப்புமுனை,அக்காட்சி அவன் மனத்திரையில் படமாகத் தோன்றி மறைந்து கொண்டிருந்தது.,7
திருப்புமுனை,இரண்டாம் வரிசையில் அமர்ந்திருந்த மாணிக்கம் ஒவிய வகுப்பில் படம் வரைந்து கொண்டிருந்தான்.,9
திருப்புமுனை,கண்ணாயிரம் தனக்குப் படம் வரைந்து தருமாறு மாணிக்கத்தை உதவிக்கழைத்தான்.,7
திருப்புமுனை,அதற்கு மாணிக்கம் தனது படத்தை வரைந்துவிட்டு பிறகு உதவுவதாகக் கூறினான்.,8
திருப்புமுனை,பொறுமை இல்லாத கண்ணாயிரம் அவனைப் பார்த்து மோசமான வார்த்தைகளால் திட்டினான்.,8
