work_title,sentence,sentence_length
கந்தர்_அலங்காரச்_சொற்பொழிவுகள்-1,கந்தர் அலங்காரச் சொற்பொழிவுகள் ஒன்று கி.,5
கந்தர்_அலங்காரச்_சொற்பொழிவுகள்-1,கந்தர் அலங்காரச் சொற்பொழிவுகள் பாகம் ﻿கி.வா.,6
கந்தர்_அலங்காரச்_சொற்பொழிவுகள்-1,﻿பதிப்புரை வாகீச கலாநிதி கி.வா.,5
கந்தர்_அலங்காரச்_சொற்பொழிவுகள்-1,ஜகந்நாதன் அவர்கள் எங்கள் குடும்பத்துடன் நெருங்கிப் பழகிய எழுத்தாளர்களுள் ஒருவர்.,8
கந்தர்_அலங்காரச்_சொற்பொழிவுகள்-1,"எங்கள் நிறுவனர் வி.குப்புஸ்வாமி ஐயருக்கு, மூத்த குமாரர் போல் பழகி வந்தவர்.",10
கந்தர்_அலங்காரச்_சொற்பொழிவுகள்-1,அவருடைய நூல்கள் நமது நிறுவனத்தின் மூலம் மூன்று தலைமுறையினரால் தொடர்ந்து வெளியிடப்பட்டு வருகின்றன.,10
கந்தர்_அலங்காரச்_சொற்பொழிவுகள்-1,இவர் தமிழ் இலக்கியத்தில் கரை கடந்தவர் ஆன்மிகத்தில் பரம்பொருளைக் கண்ட ஞானி.,9
கந்தர்_அலங்காரச்_சொற்பொழிவுகள்-1,"எனவே இவரை ஞானப் புலவர் என்று கூறினால், அது மிகையாகாது.",8
கந்தர்_அலங்காரச்_சொற்பொழிவுகள்-1,பரசுராமன் போன்ற பல ஞானப்புலவர்கள் இருக்கத்தான் செய்கிறார்கள்.,6
கந்தர்_அலங்காரச்_சொற்பொழிவுகள்-1,"இவர்கள் எல்லாம் சாதாரண மனித சக்தியை மீறி, இறைவன் திருவருளால், ஏராளமான சொற்பொழிவுகளையும் நூல்களையும் இயற்றிக் கொண்டிருக்கிறார்கள்.",13
