work_title,sentence,sentence_length
இலக்கியங்கண்ட_காவலர்,இலக்கியங்கண்ட காவலர் புலவர் கா.,4
இலக்கியங்கண்ட_காவலர்,﻿இலக்கியங் கண்ட காவலர் புலவர் கா.,5
இலக்கியங்கண்ட_காவலர்,"தமிழின் தொன்மை பற்றியும், சங்க இலக்கியம் பற்றியும் அனைவரும் எளிதாக உணரும் வகையில் இதில் கூறப்பட்டுள்ளது.",12
இலக்கியங்கண்ட_காவலர்,பதிப்பகத்தார் பொருளடக்கம் எண் பொருள் பக்கம் ஒன்று.,6
இலக்கியங்கண்ட_காவலர்,தமிழ் இலக்கியத்தின் தொன்மை.,3
இலக்கியங்கண்ட_காவலர்,கடலுள் மாய்ந்த இளம்பெருவழுதி.,3
இலக்கியங்கண்ட_காவலர்,நூற்றி பதினாறு  ஒன்று ﻿தமிழ் இலக்கியத்தின் தொன்மை தமிழ்மொழி இனிமை வாய்ந்தது என எல்லாரும் ஒப்பக் கூறுகின்றனர்.,13
இலக்கியங்கண்ட_காவலர்,"அது செந்தமிழ், தீந்தமிழ், தமிழ் எனும் இனிய தீஞ்சொல் என்றெல்லாம் பாராட்டப் பெறுகிறது.",10
இலக்கியங்கண்ட_காவலர்,தமிழ் எனும் சொல்லே இனிமை எனும் பொருள் தருவதாம்.,7
இலக்கியங்கண்ட_காவலர்,தேமதுரத் தமிழ் என ஒருவர் அதைப் பாராட்டியுள்ளார்.,6
இலக்கியங்கண்ட_காவலர்,தமிழ்மொழி இவ்வளவு இனிமை வாய்ந்திருப்பதற்குக் காரணம் யாது?,6
இலக்கியங்கண்ட_காவலர்,இவ்வாராய்ச்சி ஆயிரக் கணக்கான ஆண்டுகளாகத் தொடர்ந்து மேற்கொள்ளப் பட்டு வந்துள்ளது.,8
இலக்கியங்கண்ட_காவலர்,"அறிவிற் சிறந்த சான்றோர்களின் உள்ளங்களில் தோய்ந்து தோய்ந்து, தமிழ்மொழி இனிமை நிறைந்த மொழியாகிய பெருமையுற்றுள்ளது.",11
இலக்கியங்கண்ட_காவலர்,"கடைச் சங்க காலமே, இன்றைக்கு இரண்டாயிரம் ஆண்டுகளுக்கு முற்பட்டது என்பர்.",8
இலக்கியங்கண்ட_காவலர்,"அதற்கு முன்னே, ஒவ்வொரு சங்கத்திற்கும் இடையே எத்தனையோ ஆண்டுகள் கழிந்து விட்டன.",9
இலக்கியங்கண்ட_காவலர்,"அவ்வாறு நோக்கியவிடத்துத் தமிழ்மொழி, தன் இனிய பண்பை எத்தனையோ ஆயிரம் ஆண்டுகளுக்கு முன்னரே பெற்றுவிட்டது என்பது உறுதியாம்.",13
