work_title,sentence,sentence_length
தமிழ்_வளர்த்த_ஞானியாரடிகள்,﻿ பதிபாசிரியர் அ.,3
தமிழ்_வளர்த்த_ஞானியாரடிகள்,போன் இருபத்தெட்டு மில்லியன் ஐநூற்று எண்பத்தொன்பது ஆயிரத்து முன்னூற்று பதினான்கு  உரிமை பதிப்பாசிரியருக்கே விற்பனையாளர்கள் விஜயா பதிப்பகம் இருபது.,14
தமிழ்_வளர்த்த_ஞானியாரடிகள்,"ராஜவீதி, கோயமுத்தூர் போன் கெளரா ஏஜென்சீஸ் எண்.",6
தமிழ்_வளர்த்த_ஞானியாரடிகள்,"தோப்பு வெங்கடாசலம் தெரு, திருவல்லிக்கேணி, சென்னை ஐந்து.",6
தமிழ்_வளர்த்த_ஞானியாரடிகள்,போன் அட்டை பட வடிவமைப்பு எம்.ஏ.எஸ்.,7
தமிழ்_வளர்த்த_ஞானியாரடிகள்,"கம்யூனிகேஷன்ஸ் திருமலைபிள்ளை ரோடு, தி.நகர், சென்னை",6
தமிழ்_வளர்த்த_ஞானியாரடிகள்,சிவத்திரு ஞானியாரடிகள் எட்டு ⁠ ⁠வல்லிக்கண்ணன் இரண்டு.,6
தமிழ்_வளர்த்த_ஞானியாரடிகள்,சிவத்திரு ஞானியாரடிகள் பெருந்தவயோகி ⁠ ⁠டாக்டர் கே. ஏ.,7
தமிழ்_வளர்த்த_ஞானியாரடிகள்,ஞானியாரெனும் சமரசச் சமுதாயத் துறவி இருபத்தொன்பது ⁠ ⁠டாக்டர் இரத்தினசபாபதி நான்கு.,9
தமிழ்_வளர்த்த_ஞானியாரடிகள்,தமிழ் வளர்த்த ஞானியாரடிகள் முப்பத்து மூன்று ⁠ ⁠சின்னகுத்தூசி ஐந்து.,8
தமிழ்_வளர்த்த_ஞானியாரடிகள்,ஞானியாரடிகளின் வாழ்வும் பணியும் !,3
தமிழ்_வளர்த்த_ஞானியாரடிகள்,நாற்பத்து நான்கு ⁠ ⁠க.,4
தமிழ்_வளர்த்த_ஞானியாரடிகள்,ஞானியார் சுவாமிகள் ⁠ ⁠திரு மு. அருணாசலம் எம்.ஏ.,8
தமிழ்_வளர்த்த_ஞானியாரடிகள்,சமயதீபம் அறுபத்தெட்டு ⁠ ⁠ரசிகமணி டி.,5
தமிழ்_வளர்த்த_ஞானியாரடிகள்,கே. சிதம்பரநாத முதலியார்,3
தமிழ்_வளர்த்த_ஞானியாரடிகள்,ஞானியார் அடிகள் எழுபத்தைந்து ⁠ ⁠உவமைக் கவிஞர் சுரதா ஒன்பது.,8
தமிழ்_வளர்த்த_ஞானியாரடிகள்,ஞானியாரடிகள் எழுபத்தேழு ⁠ ⁠மறை.,4
தமிழ்_வளர்த்த_ஞானியாரடிகள்,சிவத்திரு ஞானியாரடிகள் வரலாறு எழுபத்தொன்பது ⁠ ⁠புலவர் க.,7
