work_title,sentence,sentence_length
ஐந்து_செல்வங்கள்,ஐந்து செல்வங்கள் கி.,3
ஐந்து_செல்வங்கள்,நண்பர் திரு கி.,3
ஐந்து_செல்வங்கள்,விசுவநாதம் அவர்களைத் தமிழுலகம் நன்கு அறியும்.,5
ஐந்து_செல்வங்கள்,"தமிழ் மேடையுலகிலும், தமிழ்த்தாள் உலகிலும் சிறப்புடன் காட்சியளித்து மக்கள் மனத்தினைக் கவர்ந்து வருகின்றார்.",10
ஐந்து_செல்வங்கள்,தமிழ் நாட்டினையும் தமிழ் மொழியினையும் பற்றி எண்ணிவரும் ஒரு சிலரில் இவர் ஒருவர்.,10
ஐந்து_செல்வங்கள்,"இவர் எழுதிய ஐந்து கட்டுரைகள், ஐந்து செல்வங்கள் என்ற அழகிய பெயரோடு வெளிவருகிறது.",10
ஐந்து_செல்வங்கள்,சிறந்த கருத்துக்களை எளிய முறையில் பசுமரத்தாணி போலப் பதிய வைப்பதில் ஆசிரியர் சிறந்து விளங்குகிறார்.,11
ஐந்து_செல்வங்கள்,நண்பர் ஒரு செல்வர் செல்வங்களைப்பற்றி எழுதுகின்றார்.,5
ஐந்து_செல்வங்கள்,அவர் உயிர்போல் போற்றுகிற தமிழில் எழுதுகிறார்.,5
ஐந்து_செல்வங்கள்,இதனைச் சிறந்த முறையில் வெளியிடுவது அறிந்து என் மனம் மகிழ்ச்சியடைகிறது.,8
ஐந்து_செல்வங்கள்,தமிழ் மக்கள் இந்நூலைப் பெரிதும் பயன்படுத்திக் கொள்வார்கள் என நம்புகிறேன்.,8
ஐந்து_செல்வங்கள்,மீனாட்சிசுந்தரனார் உள்ளுறை பக்கம் ஒன்று.,4
ஐந்து_செல்வங்கள்,தாய்ச் செல்வம் … ஐந்து இரண்டு.,5
ஐந்து_செல்வங்கள்,சிந்தனைச் செல்வம் … பதிமூன்று  மூன்று.,5
ஐந்து_செல்வங்கள்,கிழட்டுச் செல்வம் … பதினெட்டு  நான்கு.,5
ஐந்து_செல்வங்கள்,உடற் செல்வம் … இருபத்தொன்பது ஐந்து.,5
ஐந்து_செல்வங்கள்,தாய்ச் செல்வம் செல்வம் இரு வகைப்படும்.,5
ஐந்து_செல்வங்கள்,"அவை முறையே கல்விச் செல்வம், பொருட் செல்வம் எனப்படும் என அறிந்திருக்றோம்.",9
ஐந்து_செல்வங்கள்,"ஆனால், இன்று ஒரு புதிய செல்வத்தைப்பற்றி ஆராய்வோம்.",6
ஐந்து_செல்வங்கள்,பதினாறும் பெற்றுப் பெருவாழ்வு வாழவேண்டும் எனப் பெரியோர்கள் வாழ்த்தக் கேட்டிருக்கிறோம் அல்லவா?,9
ஐந்து_செல்வங்கள்,"அது பதினாறு பிள்ளைகளைப் பெறுவது என்பதல்ல என்றும், மேற்கண்ட பதினாறு செல்வங்களைப் பெறுவதே என்றும், நமக்கு நன்கு விளங்குகின்றது.",14
ஐந்து_செல்வங்கள்,அவை அனைத்தும் ஒவ்வொரு மனிதனும் பெறவேண்டிய பெரும் பேறுகளாகிய செல்வங்களேயாம்.,8
ஐந்து_செல்வங்கள்,"இச்செல்வங்களில் எது ஒன்று குறையினும், நமது வாழ்வு சிறக்காது என்று நன்கு தெரிகிறது.",10
ஐந்து_செல்வங்கள்,இப் பதினாறு செல்வங்களுள் தாயும் ஒரு செல்வமாகும் தாயைப் பலர் தெரிந்திருப்பர்.,9
ஐந்து_செல்வங்கள்,என அறிந்திருப்பவர் மிகச் சிலரே எனத் துணிந்து கூறலாம்.,7
ஐந்து_செல்வங்கள்,எல்லாச் செல்வங்களிலும் சிறந்தது தாய்ச் செல்வமாகும்.,5
