work_title,sentence,sentence_length
சிந்தனை_துளிகள்,முதல் பதிப்பு ஜூலை பக்கம் விலை ரூ. பதிப்பாசிரியர் சீனி திருநாவுக்கரசு புதிய வெளியீடு தென்கச்சி கோ.,13
சிந்தனை_துளிகள்,அதுபோல நெருக்கடியும் துன்பங்களும் இல்லாத பொழுது வேலையின் அளவும் தாமும் குறைந்தாலும் ஆபத்து வந்துவிடாது.,11
சிந்தனை_துளிகள்,நெருக்கடி நிறைந்துள்ள போழ் தில் கடுமையாக உழைத்தால் மீளமுடியும்.,7
சிந்தனை_துளிகள்,"உழைப்பு ஒன்றே ஆன்மாவை ஈடேற்றும் வழி என்பதை, இதைவிட அற்புதமாக வேறு எப்படி சொல்ல இயலும்?",12
சிந்தனை_துளிகள்,இந்துக்கள் ஒருமைப்பட வேண்டும் என்ற ஆர்வத்தில் தவறு இல்லை.,7
சிந்தனை_துளிகள்,"ஆனால், அந்த ஆர்வம் உண்மையான இந்துக்கள் ஒற்றுமையாக இருப்பதற்கு பதிலாக மீண்டும் சாதி மேலாதிக்கம் கொள்ள முயல்கின்றது.",13
சிந்தனை_துளிகள்,இந்த வைர வரிகள் இந்து சமயத்தில் சாதியத்தின் ஆதிக்கத்தை பறை சாற்றுகின்றது.,9
சிந்தனை_துளிகள்,இதற்குரிய தீர்வும் சொல்லப்படுகிறது.,3
சிந்தனை_துளிகள்,"திருவள்ளுவரையும், வள்ளலாரையும் பின்பற்றாததால்தான், நம் நிலை தாழ்ந்தது, என்று அருள்நெறித் தந்தை அருமையாகக் கூறுகின்றார்கள்.",11
சிந்தனை_துளிகள்,"அருள் நெறித் தந்தையின் பாதை, மானுடத்தை தேவநிலைக்கு உயர்த்த வழிகாட்டும் பாதை.",9
சிந்தனை_துளிகள்,"எல்லோரும் ஓர் குலம், எல்லோரும் ஓர் நிறை என்ற நிலையை இந்தியா உலகிற்கு அளிக்கும் என்ற ஆன்மீகப் பாதை.",14
சிந்தனை_துளிகள்,இந்த அமுதமொழிகளைத் தொகுத்துத் தந்த நம் ஆதீனப்புலவர் திருமிகு மரு.,8
சிந்தனை_துளிகள்,"பரமகுரு அவர்களுக்குப் பாராட்டுக்கள், நல்வாழ்த்துக்கள்.",4
சிந்தனை_துளிகள்,"குன்றக்குடி என்றும் வேண்டும் இன்ப அன்பு, பதினொன்று  ஏழு தொன்னூற்றேழு பொன்னம்பல அடிகளார்.",10
சிந்தனை_துளிகள்,அணிந்துரை வானொலி புகழ் தென்கச்சி.,4
சிந்தனை_துளிகள்,சுவாமிநாதன் அந்த ஆள் ரொம்பவும் திறமைசாலி !,5
சிந்தனை_துளிகள்,இந்த ஆள் ரொம்பவும் சாமர்த்தியசாலி ! என்றெல்லாம் சொல்லிக் கொண்டிருக்கிறோம்.,7
சிந்தனை_துளிகள்,இவர்கள் இரண்டு பேர்களுக்கும் என்ன வித்தியாசம்?,5
சிந்தனை_துளிகள்,இப்படி ஒரு கேள்வியை உங்களைப் பார்த்து யாராவது கேட்டால் என்ன பதில் சொல்வீர்கள்?,10
சிந்தனை_துளிகள்,அவசரமா கொஞ்சம் வேலையிருக்கு... அப்புறமா வ்ந்து சொல்றேன் ! என்று சொல்லிவிட்டு அந்த இடத்தைவிட்டு நழுவத்தான் தோன்றும் நம்மில் பலருக்கு !,14
சிந்தனை_துளிகள்,சிந்தனைத் துளிகள் புத்தகம் நம் கையில் இருந்தால் நழுவவேண்டிய அவசியம் ஏற்படாது.,9
சிந்தனை_துளிகள்,"சாமர்த்தியமும், திறமையும் ஒன்றல்ல என்கிறார் தவத்திரு அடிகளார்.",6
சிந்தனை_துளிகள்,"சாமர்த்தியம், எப்படியும் காரியத்தை சாதிப்பது திறமை முறைப்படி சாதிப்பது என்பது அவர் விளக்கம்.",10
சிந்தனை_துளிகள்,நம்ம எதிரியோட பழகுகிறவன் நமக்கும் எதிரி ! என்பதுதான் நம்முடைய கண்ணோட்டம் என்கிறார்.,9
சிந்தனை_துளிகள்,நல்வாழ்த்துக்கள் சென்னை நான்கு அன்புடன் ஆறு ஏழு தொன்னூற்றேழு தென்கச்சி கோ.,9
சிந்தனை_துளிகள்,"உலகம் உய்யத் தோன்றிய மகான்கள், சித்தர்கள் அருளிய அருட் சிந்தனைகள், வாழ்த்கைக்கு வளம் தருவன.",11
சிந்தனை_துளிகள்,"உயிர்க்கும், உள்ளத்திற்கும் உறுதி சேர்ப்பன.",4
சிந்தனை_துளிகள்,"இம்மை, மறுமை நலன்களை அளிப்பன.",4
சிந்தனை_துளிகள்,இச்சிறந்த சிந்தனைச் செல்வத்தை வாழ்வில் கொண்டு ஒழுகுவதே தமிழ் மாமுனிவர் அடிகளாருக்குச் செய்யும் சிறந்த கைம்மாறாகும்.,12
சிந்தனை_துளிகள்,"பரமகுரு அவர்கட்கும், மகிழ்வுரை அளித்துள்ள மனிதநேயச் செல்வர் புலவர் வீ.",8
சிந்தனை_துளிகள்,"கந்தசாமி அவர்களுக்கும், அணிந்துரை வழங்கியுள்ள மனிதநேய மாமணி தென்கச்சி கோ.",8
சிந்தனை_துளிகள்,சுவாமிநாதன் அவர்களுக்கும் என் நெஞ்சுகந்த நன்றி.,5
சிந்தனை_துளிகள்,தியாகராயநகர் என்றும் அன்புடன் சென்னை பதினேழு  சீனி.,6
சிந்தனை_துளிகள்,திருகாவுக்கரசு ﻿மகிழ்வுரை வீ.,3
சிந்தனை_துளிகள்,தமிழ் எழுத்தாளர்கள் சங்கம்.,3
சிந்தனை_துளிகள்,"அவர், காவியணிந்த பொதுவுடைமைவாதி.",3
சிந்தனை_துளிகள்,சமய வழியில் மக்களிடையே ஒப்புரவு காணமுடியும் என்று உறுதியாக நம்பியவர்.,8
சிந்தனை_துளிகள்,"மடமையையும், அறியாமையையும், மட்டுமல்ல வளர்ச்சிக்கு வகை செய்யாத பழமையையும் சாடிய சமுதாய சிற்பி.",10
சிந்தனை_துளிகள்,தவத்திரு அடிகளாரே ஒரு இயக்கம் அவர் ஒரு தனி மனிதரல்லர்.,8
சிந்தனை_துளிகள்,"அவர்கள் அருளிய கருத்து மணிகளில் பலவற்றைத் தேர்ந்து எடுத்து, நூல் வடிவில் கொண்டு வந்துள்ள நண்பர் சீனி.",13
சிந்தனை_துளிகள்,திருநாவுக்கரசு ஒரு கவிஞர்.,3
சிந்தனை_துளிகள்,சமயங்கள் மாறுபடா சமயவாதிகள் மாறுபடுவர்.,4
சிந்தனை_துளிகள்,இவை கவிஞர் சீனி திருநாவுக்கரசு அவர்கள் தேர்ந்து எடுத்து நமக்களித்துள்ள மணிகளில் சில.,10
சிந்தனை_துளிகள்,திருநாவுக்கரசு அனைவரின் பாராட்டுக்கும் உரியவர்.,4
சிந்தனை_துளிகள்,கலைவாணிப் பதிப்பகத்தின் மற்றுமோர் நல்ல முத்தான இதற்கு மக்களிடையே மாபெரும் வரவேற் பிருக்கும் என்பது திண்ணம்.,12
சிந்தனை_துளிகள்,"சென்னை.அன்பன், வீ.",3
சிந்தனை_துளிகள்,புதிய கோடியில் பழைய துணியை ஒட்டுப் போட முடியாது என்ற விவிலிய வாக்கு நினைவிற்கு வருகிறது.,12
சிந்தனை_துளிகள்,பழைய சமுதாய அமைப்பைச் சீர்திருத்தம் செய்வது என்பது நடைமுறையில் நடக்கக்கூடிய காரியமன்று.,9
சிந்தனை_துளிகள்,கடுமையான கட்டுப்பாடுகள் நிறைந்த புரட்சியை தோற்றுவித்துப் பக்குவப்படுத்திய பின்தான் மனிதனுக்கு பூரண சுதந்தரத்தை வழங்க வேண்டும்.,12
சிந்தனை_துளிகள்,இந்தச் சூழ்நிலையில்தான் மக்களாட்சி பொருளுடையதாக அமையும்.,5
சிந்தனை_துளிகள்,தன்னலம் என்பது ஒரு வெறி.,4
சிந்தனை_துளிகள்,பாம்பின் நஞ்சினும் கொடியது.,3
சிந்தனை_துளிகள்,"இந்நஞ்சின் வழிப்பட்டவர்கள் பெற்றுள்ள கல்வி, பக்தி யாவும் பயனற்றவையே.",7
சிந்தனை_துளிகள்,"பெண்ணிடம் ஆசை கொள்ளுதலும், காதலும் ஒன்றன்று.",5
சிந்தனை_துளிகள்,"இவை, தம்முள் முரண்பட்டவை.",3
சிந்தனை_துளிகள்,இன்றைய சமுதாயத்திற்குப் பணத்தின்மீது மட்டுமே ஆசை.,5
சிந்தனை_துளிகள்,பணம் கிடைக்கக்கூடிய வழிகளில் அல்ல.,4
சிந்தனை_துளிகள்,தாவர இனங்கள் மனிதனை விடச் சிறந்தவை என்று கூறுவது ஏன்?,8
சிந்தனை_துளிகள்,மானிடர் தாம் பெற்ற பகுத்தறிவால் பொருந்தாச் சூழ்நிலைகளை எதிர்த்துப் போராடித் தம்முடைய சூழ்நிலைகளை அமைத்துக் கொள்ளும் திறனுடையவர்கள்.,13
சிந்தனை_துளிகள்,"ஆனால், இன்றைய நம்முடைய தமிழ்ச்சாதி சூழ்நிலைகளை மாற்றும் ஆற்றலுற்றிருக்கிறதா?",7
சிந்தனை_துளிகள்,"இன்றைய தமிழ்ச்சாதி, சூழ்நிலைகளின் கைதிகளாக வாழ்கின்றது.",5
சிந்தனை_துளிகள்,ஒருவன் மரம் வைத்து வளர்த்தால் அது அவனுக்குப் பயன்படாது.,7
சிந்தனை_துளிகள்,அடுத்த தலைமுறைக்குப் பயன்படும் என்று சொல்லுவார்கள்.,5
சிந்தனை_துளிகள்,ஒருவன் ஒருமரம் வைத்தால் அவன் சில நாள்களி லேயே அந்த மரத்தின் பயனை அனுபவிக்கிறான்.,11
சிந்தனை_துளிகள்,"மரம், செடியாக இருக்கும்போதே சுவாசத்துக்கு அவனுக்குத் தேவையான உயிர்ப்புக் காற்றைத் தருகிறது.",9
சிந்தனை_துளிகள்,இன்றைய வேளாண்மை வளர்ச்சியின் போக்கில் கனிகளைக் கூடச் சில ஆண்டுகளில் பெற முடிகிறது.,10
சிந்தனை_துளிகள்,சுற்றுப்புறச் சூழ்நிலை மேம்பாடு என்பது பூத பெளதிகத் தூய்மை மட்டுமல்ல.,8
சிந்தனை_துளிகள்,சுற்றுப்புறத்தில் வாழும் சமுதாய மேம்பாடும் சேர்ந்ததேயாம்.,5
சிந்தனை_துளிகள்,கவனித்துப் பேணி வளர்க்காத மனித சமுதாயம் கொடுரமானதாக உருக்கொள்ளும் என்பதற்குப் பூலான்தேவி சான்று.,10
சிந்தனை_துளிகள்,மனித குலத்திற்கு உழைத்தல் என்பது இயல்பான குணமானால்தான் மண்ணை விண்ணகம் ஆக்கலாம்.,9
சிந்தனை_துளிகள்,பிரச்சனைகள் உடனுக்குடன் தீர்வு காணப் பெறாவிடில் அவை தம்போக்கில் தீர்வு காண முயன்று சமூகத் தீமைகளை வளர்க்கும்.,13
சிந்தனை_துளிகள்,மார்க்ஸ் ஒரு சிந்தனையாளர்.,3
சிந்தனை_துளிகள்,"அவர் வரலாற்றை மனித வாழ்வியலை அணுகிய முறையை சமய நெறியினர் கற்று, அம்முறையில் அணுகினால் மண்ணுலகு விண்ணுலகமாகும்.",13
சிந்தனை_துளிகள்,பயந்தாங்கொள்ளிகள் எதையும் குழப்புவார்கள்.,3
சிந்தனை_துளிகள்,"புகழ் என்றால் மகிழ்வதும், இகழ் என்றால் வருத்தப்படுவதும் வாழ்க்கைக்குத் துணை செய்யாது.",9
சிந்தனை_துளிகள்,அதுவும் தொண்டு வாழ்க்கைக்கு முற்றாகக் கூடாது.,5
சிந்தனை_துளிகள்,கூட்டுறவு சங்கம் கடன் வாங்குவதற்காக மட்டும் அல்ல.,6
சிந்தனை_துளிகள்,கூட்டுறவு இயக்கம் ஒரு பன்முனை வளர்ச்சி இயக்கம்.,6
சிந்தனை_துளிகள்,அதாவது மனித இயல் பண்புகளையும் ஆட்சித் திறனையும் வளர்த்துச் செழுமைப்படுத்தும் இயக்கம.,9
சிந்தனை_துளிகள்,கூடித் தொழில் செய்வதன் மூலம் குற்றம் குறையிலாத வகையில் தொழில் நடைபெறும் என்பது கருத்து.,11
சிந்தனை_துளிகள்,ஆனால் இன்றைய நடைமுறையில் பெறப்பட்டுள்ள உண்மை இதுவல்ல.,6
சிந்தனை_துளிகள்,"ஒரு பொருளின் மதிப்பை மேலும் கூட்டுவது எதுவோ, அதுவே உழைப்பு என்றழைக்கப்பெறும்.",9
சிந்தனை_துளிகள்,தாழ்வான கூரை உள்ள வீட்டில் எளிதில் தீப்பிடிக்கும்.,6
சிந்தனை_துளிகள்,அதுபோல தாழ்வான நோக்கங்கள் உடையவர்கள் எளிதில் பகை கொள்வர.,7
சிந்தனை_துளிகள்,நம்பிக்கை என்பது நடைமுறையில் தோன்றி வளர்வதேயாம்.,5
சிந்தனை_துளிகள்,தனி உடைமைச் சமுதாயம் இருக்கும் வரையில் அதற்கு இசைந்தாற் போல் பற்றாக்குறையும் இருக்குமானால் அழுக்காறும் அவாவும் மனிதனை ஆட்டிப்படைக்கும்.,14
சிந்தனை_துளிகள்,பொறுப்புடன் கடமைகளைச் செய்கிற பொழுது கலந்து பேச வேண்டிய வாயில்கள் இயல்பாகவே தோன்றும்.,10
சிந்தனை_துளிகள்,"இவ்வாயில்கள் ஒருவருடைய பண்பை, திறமைகளை அறிமுகம் செய்து வைத்து உறவுகளை வளர்க்கும்.",9
சிந்தனை_துளிகள்,"இதனால், நம்முடைய மொழி உணர்வு கானல் நீரைப் போன்றது என்பது உறுதிப்படுத்தப்பெறுகிறது.",9
சிந்தனை_துளிகள்,கருத்து வேற்றுமைகள் நூற்றுக்கு நூறு எப்போதும் இருக்க இயலாது.,7
சிந்தனை_துளிகள்,தெளிந்த அறிவியல் முடிவுகளும் கிடைக்கும் இந்த முறையே நமது அணுகுமுறை.,8
சிந்தனை_துளிகள்,பொது மேடைகளில் மாறுபாடுகளைத் தவிர்ப்பது தலைசிறந்த நாகரிகப் பண்பு.,7
சிந்தனை_துளிகள்,நமது வாழ்க்கையின் நோக்கங்களை நாம் நிறைவேற்றிக் கொள்ள வேண்டுமானால் ஆவேச உணர்வுடன் உழைக்க வேண்டும்.,11
சிந்தனை_துளிகள்,"ஒரு சமூகத்தை உதவிகள், சலுகைகள் மூலமே வளர்த்து விடமுடியாது.",7
சிந்தனை_துளிகள்,அந்தச் சமூகத்திற்கு வளரவேண்டும் என்ற உணர்வும் முன்னேற்றத்திற்காக உழைக்கும் மனப்பாங்கும் வேண்டும்.,9
சிந்தனை_துளிகள்,விமரிசனத்தை ஏற்றுக் கொள்ள தவறான மனப்போக்குடையவர்கள் முன்வர மாட்டார்கள்.,7
சிந்தனை_துளிகள்,என்னையா என்று ஆத்திரப்படுவார்கள்.,3
சிந்தனை_துளிகள்,நாம் என்ன சொல்லுகிறோம் எதற்காகச் சொல்லுகிறோம் என்பதல்ல முக்கியம்.,7
சிந்தனை_துளிகள்,சொல்லப்படுபவர்கள் எடுத்துக் கொள்ளும் மனப்பாங்கிலேயே விளைவுகள் அமையும் · இருபத்தெட்டு.,8
