work_title,sentence,sentence_length
மிஸ்டர்_விக்கிரமாதித்தன்_கதைகள்,இரண்டும் இல்லையென்றால் எழுதுவதைவிட எழுதாமல் இருப்பது நல்லது. அமரர் கல்கி அவர்கள் இந்நூலாசிரியருக்கு வழங்கிய அறிவுரையாம் இது.,13
மிஸ்டர்_விக்கிரமாதித்தன்_கதைகள்,இதை ஏன இங்கே குறிப்பிடுகிறோம்?,4
மிஸ்டர்_விக்கிரமாதித்தன்_கதைகள்,"அடியேன் விக்கிரமாதித்தனா, என்ன?",3
மிஸ்டர்_விக்கிரமாதித்தன்_கதைகள்,"என்னை அகோ, வாரும் பிள்ளாய் !",4
மிஸ்டர்_விக்கிரமாதித்தன்_கதைகள்,அது தெரியாதா எனக்கு?,3
மிஸ்டர்_விக்கிரமாதித்தன்_கதைகள்,பெரிய எழுத்து விக்கிரமாதித்தன் கதைகளைப் பின்பற்றி மிஸ்டர் விக்கிரமாதித்தன் கதைகள் என்று எழுதினால் எப்படியிருக்கும்?,11
மிஸ்டர்_விக்கிரமாதித்தன்_கதைகள்,"பேஷாயிருக்கும் சரி, எழுதும் !",3
மிஸ்டர்_விக்கிரமாதித்தன்_கதைகள்,என்னையா எழுதச் சொல்கிறீர்கள்?,3
மிஸ்டர்_விக்கிரமாதித்தன்_கதைகள்,எந்த எழுத்தாளரும் தமக்கு உதித்த யோசனையை இன்னொருவருக்கு இவ்வளவு தாராளமாக வழங்கி நான் பார்த்ததில்லையே?,11
மிஸ்டர்_விக்கிரமாதித்தன்_கதைகள்,"அதனால் என்ன, என்னிடம் யோசனைக்குப் பஞ்சமில்லை எழுதும் !",6
மிஸ்டர்_விக்கிரமாதித்தன்_கதைகள்,என்று நான் அவருடைய யோசனைக்கு நன்றி தெரிவித்துவிட்டு எழுத ஆரம்பித்தேன்.,8
மிஸ்டர்_விக்கிரமாதித்தன்_கதைகள்,கிட்டத்தட்ட ஒராண்டு காலம் அது கதி ரில் தொடர்ந்தது.,7
மிஸ்டர்_விக்கிரமாதித்தன்_கதைகள்,பலர் அதை விழுந்து விழுந்து படிக்கவும் செய்தார்கள் சிலர் அதற்காக என் மேல் விழுந்து விழுந்து கடிக்கவும் செய்தார்கள்.,14
