work_title,sentence,sentence_length
அண்டார்க்டிக்_பெருங்கடல்,அண்டார்க்டிக் பெருங்கடல் பேரா.,3
அண்டார்க்டிக்_பெருங்கடல்,கடல் நூல் வரிசை இரண்டு அண்டார்க்டிக் பெருங்கடல் ஆசிரியர் அ.,8
அண்டார்க்டிக்_பெருங்கடல்,"இரண்டு பூஜ்ஜியம் அச்சிட்டோர் திருவள்ளுவர் அச்சகம், தஞ்சாவூர்.",6
அண்டார்க்டிக்_பெருங்கடல்,﻿பதிப்புரை கடல் நூல் வரிசையில் இச்சிறு நூல் வெளியிடப்படு கிறது.,8
அண்டார்க்டிக்_பெருங்கடல்,அண்டார்க்டிக் பெருங்கடல் பற்றிமுதன் முதலில் முறையாக எழுதப் பட்ட நூல் இதுவே.,9
அண்டார்க்டிக்_பெருங்கடல்,"பள்ளி நூலகங்களுக்கும், பொது நூலகங்களுக்கும் தலைவாய் நூலாக இது பெரிதும் பயன்படும்.",9
அண்டார்க்டிக்_பெருங்கடல்,செய்தித் தாள்களின் ஒருமித்த பாராட்டைப்பெற்ற நூல் இது.,6
அண்டார்க்டிக்_பெருங்கடல்,பதிப்பகத்தார் ﻿பொருளடக்கம் இயல் பக்கம் ஒன்று.,5
அண்டார்க்டிக்_பெருங்கடல்,அண்டார்க்டிக் கண்டத்தில் ஓர் ஆராய்ச்சியாளர் இருபத்து நான்கு ஆறு.,7
அண்டார்க்டிக்_பெருங்கடல்,உலகின் ஆராய்ச்சிக்கூடம் முப்பத்தெட்டு ⁠ பிற்சேர்க்கை நாற்பத்தைந்து ﻿,7
அண்டார்க்டிக்_பெருங்கடல்,அமைப்பு இருப்பிடம் உலகின் தென் கோடியைத் தென் முனை என்று கூறுகிறோம்.,9
அண்டார்க்டிக்_பெருங்கடல்,இம்முனையைச் சுற்றி அமைந்துள்ள கடலே அண்டார்க்டிக் கடல் ஆகும்.,7
அண்டார்க்டிக்_பெருங்கடல்,ஐம்பெருங் கடல்களில் இது மிகக் குறைந்த ஆழமுள்ளது.,6
அண்டார்க்டிக்_பெருங்கடல்,இதற்குத் தென் கடல் என்னும் பெயரும் உண்டு.,6
அண்டார்க்டிக்_பெருங்கடல்,"பசிபிக் கடல், அட்லாண்டிக் கடல், இந்தியக் கடல் ஆகிய மூன்றின் பகுதியாக அமைந்துள்ள கடல் இது.",12
அண்டார்க்டிக்_பெருங்கடல்,இதைத் தனிக் கடல் என்று கூறுவதற்கில்லை.,5
அண்டார்க்டிக்_பெருங்கடல்,இதிலிருந்து கிளம்பும் பெரிய நீரோட்டங்களாக மேற்கூறிய கடல்களைக் கருதலாம்.,7
அண்டார்க்டிக்_பெருங்கடல்,இதற்குக் கரைகள் இல்லை.,3
அண்டார்க்டிக்_பெருங்கடல்,கண்டம் முதலியவை இதன் மையத்திலுள்ள கண்டம் அண்டார்க்டிக் கண்டம்.,7
அண்டார்க்டிக்_பெருங்கடல்,இதில் தீவுகளும் மலைத் தொடர்களும் உள்ளன.,5
அண்டார்க்டிக்_பெருங்கடல்,இதன் முக்கிய துணைக் கடல்கள் வெடல் கடலும் ராஸ் கடலும் ஆகும்.,9
அண்டார்க்டிக்_பெருங்கடல்,மற்றக் கடல்களைக் காட்டிலும் குறைவாக ஆராயப்பட்ட கடல் இது.,7
அண்டார்க்டிக்_பெருங்கடல்,இதன் பரப்பு எண்பது இலட்சம் சதுர மைல்.,6
அண்டார்க்டிக்_பெருங்கடல்,﻿ படிவுகள் ⁠இதன் அடியில் படிவுகள் படிந்துள்ளன.,6
அண்டார்க்டிக்_பெருங்கடல்,அவை முதன்மையாகச் சேறு ஆகும்.,4
அண்டார்க்டிக்_பெருங்கடல்,இச்சேறு நிலப்பகுதியிலிருந்து பனி ஆறுகளால் கொண்டு வரப்படுகிறது.,6
அண்டார்க்டிக்_பெருங்கடல்,வெப்ப நிலை ⁠ஆர்க்டிக் கடலைவிட இது மிகக் குளிர்ந்த கடல் ஆழமான கடல்.,10
அண்டார்க்டிக்_பெருங்கடல்,இதிலிருந்து பெரிய பனிப் பாறைகள் வெப்பத் துணைக் கடல்களுக் குச் செல்கின்றன.,9
அண்டார்க்டிக்_பெருங்கடல்,பனிக்கட்டி ⁠இது பெரும்பாலும் அடர்ந்த பனிக்கட்டியால் மூடப்பட்டுள்ளது.,6
அண்டார்க்டிக்_பெருங்கடல்,மாரிக் காலத்தில் முழுக் கட லும் உறைந்து ஒரே பனி வெளியாகக் காட்சி அளிக்கும்.,11
அண்டார்க்டிக்_பெருங்கடல்,பார்ப்பதற்கு எங்கும் பனிக்கட்டி தான் தென்படும்.,5
அண்டார்க்டிக்_பெருங்கடல்,கோடையில் பனிக்கட்டி உருகும் நீர் மீண்டும் தலைகாட்டும்.,6
அண்டார்க்டிக்_பெருங்கடல்,இக்கடல் அனுப்பும் பனிப்பாறைகள் ஆர்க்டிக் கடலின் பனிப்பாறைகளைக் காட்டிலும் மிகப் பெரியவை.,9
அண்டார்க்டிக்_பெருங்கடல்,"ஆகவே, அவை மிக மெதுவாக உருகும்.",5
அண்டார்க்டிக்_பெருங்கடல்,உப்பு ⁠மற்றக் கடல்களைக் காட்டிலும் இதற்கு உப் புத் தன்மை குறைவு என்றே சொல்ல வேண்டும்.,12
அண்டார்க்டிக்_பெருங்கடல்,இவ்வளிகள் கரைந்திருக்கும் அளவு அதிகமாக உள்ளது.,5
அண்டார்க்டிக்_பெருங்கடல்,அடர்த்தி ⁠இக்கடல் நீரில் குறைந்த வெப்ப நிலைகள் நிலவுகின்றன.,7
அண்டார்க்டிக்_பெருங்கடல்,"ஆகவே, நீரின் அடர்த்தி அதிக மாகும்.",5
அண்டார்க்டிக்_பெருங்கடல்,ஓட்டங்களும் அலை எழுச்சிகளும் இதில் செறிவான குளிர்ந்த நீரோட்டம் ஒடுகின்றது.,8
அண்டார்க்டிக்_பெருங்கடல்,இதற்கு அண்டார்க்டிக் மிதப்பு நீரோட் டம் என்று பெயர்.,7
அண்டார்க்டிக்_பெருங்கடல்,இது நன்னம்பிக்கை முனை யில் அகுலாஸ் நீரோட்டம் என்னும் பெயரைப் பெறுகிறது.,9
அண்டார்க்டிக்_பெருங்கடல்,"⁠இதிலிருந்து அலை எழுச்சிகள் தொடங்கி, மற்றப் பெருங்கடல்களில் தலைகாட்டுகின்றன.",7
அண்டார்க்டிக்_பெருங்கடல்,"உயிர்கள் ⁠இக்கடல் உறைந்த போதிலும், அதில் உயிர் கள் வாழ்கின்றன.",8
அண்டார்க்டிக்_பெருங்கடல்,மேற்பரப்பில் முதன்மையாக டையாட்டம் என்னும் ஓரணு உயிர்கள் உள் ளன.,8
அண்டார்க்டிக்_பெருங்கடல்,"மற்றும், கீழ்நிலைத் தாவரங்களும் காணப் படுகின்றன.",5
அண்டார்க்டிக்_பெருங்கடல்,⁠இதன் ஆழமற்ற பகுதியில் கடற் பஞ்சு போன்ற முதுகு எலும்பு இல்லாத உயிர்கள் வாழ் கின்றன.,12
அண்டார்க்டிக்_பெருங்கடல்,கடற் பூண்டுகள் அதிகம்.,3
அண்டார்க்டிக்_பெருங்கடல்,"க ட ல் நாய்கள், நீர் யானை முதலிய விலங்குகளும் உண்டு.",9
அண்டார்க்டிக்_பெருங்கடல்,⁠இக்கடலில் மீன்கள் அதிகம்.,3
அண்டார்க்டிக்_பெருங்கடல்,அவை பொருள் வளத்தை அளிக்க வல்லவை.,5
அண்டார்க்டிக்_பெருங்கடல்,⁠பலவகைத் திமிங்கிலங்களும் காணப்படு கின்றன.,4
