work_title,sentence,sentence_length
மொஹெஞ்சொ-தரோ_அல்லது_சிந்துவெளி_நாகரிகம்,மொஹெஞ்சொ தரோ அல்லது சிந்துவெளி நாகரிகம் — மொஹெஞ்சொ தரோ அல்லது சிந்துவெளி நாகரிகம் டாக்டர்.,12
மொஹெஞ்சொ-தரோ_அல்லது_சிந்துவெளி_நாகரிகம்,கடலாழங் காண்பதும் இந்திய் நாகரிக ஆழங் காண்பதும் ஒன்று.,7
மொஹெஞ்சொ-தரோ_அல்லது_சிந்துவெளி_நாகரிகம்,சில காலத்துக்குமுன் வரையில் ஆராய்ச்சியாளர் இந்திய நிலைகளைப் பற்றிப் பற்பல கருத்துடையராயிருந்தனர்.,9
மொஹெஞ்சொ-தரோ_அல்லது_சிந்துவெளி_நாகரிகம்,ஆராய்ச்சியாளர் கண்ணுக்கு வடமொழி நூல்களே இந்தியாவின் தலை நூல்கள் என்று அப்போது காணப்பட்டு வந்தமையே அதற்குக் காரணம்.,13
மொஹெஞ்சொ-தரோ_அல்லது_சிந்துவெளி_நாகரிகம்,"பின்பு, பண்டைக் காலத்தில் இயற்றப்பட்ட, தமிழ் நூல்கள் சில வெளிப்படலாயின.",8
மொஹெஞ்சொ-தரோ_அல்லது_சிந்துவெளி_நாகரிகம்,"இதற்குள் நூலாராய்ச்சியே யல்லாமல், ஞால ஆராய்ச்சி, கல்வெட்டு ஆராய்ச்சி, அகப்பொரு ளாராய்ச்சி முதலான பலவகை ஆராய்ச்சிகள் வளர்ச்சிபெறலாயின.",13
மொஹெஞ்சொ-தரோ_அல்லது_சிந்துவெளி_நாகரிகம்,"ஆழ்ந்து வடக்கே இமயமலை எழுந்தபோது, அக் கண்டத்திலிருந்த மக்கள் வடக்கே வந்து உலகெங்கும் பரவினர்.",11
மொஹெஞ்சொ-தரோ_அல்லது_சிந்துவெளி_நாகரிகம்,ஒரு கருத்தைத் துணிவதற்கு இங்ஙனம் மூவகையளவைகளும் முதன்மையானவை.,6
மொஹெஞ்சொ-தரோ_அல்லது_சிந்துவெளி_நாகரிகம்,திராவிடர் இப்போது எந்நிலையி லிருக்கின்றனர்.,4
மொஹெஞ்சொ-தரோ_அல்லது_சிந்துவெளி_நாகரிகம்,திராவிடர் தம் தொன்மையையும் வன்மையையும் உலகறிய வைத்து வாழவன்றோ முற்படுவர் !,8
மொஹெஞ்சொ-தரோ_அல்லது_சிந்துவெளி_நாகரிகம்,இவ் வுணர்ச்சியும் முயற்சியும் உண்டாகும் பொருட்டே இம் மொஹஞ்சொ தரோ ஆராய்ச்சிகளை விளக்கமாகத் தமிழ்மொழியில் எழுதுவித்து வெளியிடுகின்றோம்.,13
மொஹெஞ்சொ-தரோ_அல்லது_சிந்துவெளி_நாகரிகம்,இவ் வெளியீடு அக் கருத்தைச் செவ்வனம் நிறைவேற்றுமென்று நம்புகிறோம்.,7
மொஹெஞ்சொ-தரோ_அல்லது_சிந்துவெளி_நாகரிகம்,"அச்சிடுங் காலத்தில், இந்நூலை நன்கு பார்வையிட்டுதவியவர் தருமையாதீன வித்துவான், திருவாளர்.",8
மொஹெஞ்சொ-தரோ_அல்லது_சிந்துவெளி_நாகரிகம்,இவ்வறிஞரிருவர்க்கும் எங்கள் நன்றியை அன்புடன் தெரிவித்துக் கொள்ளுகிறோம்.,6
மொஹெஞ்சொ-தரோ_அல்லது_சிந்துவெளி_நாகரிகம்,சைவசித்தாந்த நூற்பதிப்புக் கழகத்தார்.,3
மொஹெஞ்சொ-தரோ_அல்லது_சிந்துவெளி_நாகரிகம்,புதைபொருள் ஆராய்ச்சி பக்கம் ஒன்று பதினேழு  புதை பொருள் ஆராய்ச்சி ஆராய்ச்சி அவா உண்டாவதேன்?,11
மொஹெஞ்சொ-தரோ_அல்லது_சிந்துவெளி_நாகரிகம்,கோட்லா நிஹாங் கான் நூற்றுக்கு மேற்பட்ட மண்மேடுகள்.,6
மொஹெஞ்சொ-தரோ_அல்லது_சிந்துவெளி_நாகரிகம்,பண்டைத் தமிழ் நகரங்கள் சங்கு சான்று பகரும்.,6
மொஹெஞ்சொ-தரோ_அல்லது_சிந்துவெளி_நாகரிகம்,மேனாட்டார் முயற்சி நம்மவர் கடமை.,4
மொஹெஞ்சொ-தரோ_அல்லது_சிந்துவெளி_நாகரிகம்,தையலார்க்குத் தனி அறைகள் நீராடும் அறைகள் சமையல் அறைகள் அங்காடியோ?,8
மொஹெஞ்சொ-தரோ_அல்லது_சிந்துவெளி_நாகரிகம்,வீட்டுவாயில்கள் தூண்கள் ஹரப்பாவில் கட்டிட அமைப்பு இருவகை இல்லங்கள் பெருங் ﻿களஞ்சியம் தொழிலாளர் இல்லங்கள் வீட்டிற்கு உரிய வீடுகளே.,14
மொஹெஞ்சொ-தரோ_அல்லது_சிந்துவெளி_நாகரிகம்,உருளைகள் காளவாய் மெருகிடும் கருவிகள் பல நிறப் பாண்டங்கள் நிறங்களைப் பூசுவானேன்?,9
மொஹெஞ்சொ-தரோ_அல்லது_சிந்துவெளி_நாகரிகம்,எருமைகள் ஒட்டகம் முயல்கள் ஆமை முதலியன பறவைகள் நாகங்கள்.,7
மொஹெஞ்சொ-தரோ_அல்லது_சிந்துவெளி_நாகரிகம்,சமய நிலை நூற்றி எண்பத்தெட்டு இருநூற்று ஐந்து சான்றுகள் தரைப் பெண் வணக்கம் கவின்பெறு கற்பனை நரபலி உண்டா?,14
மொஹெஞ்சொ-தரோ_அல்லது_சிந்துவெளி_நாகரிகம்,தலையில் விசிறிப் பாகை சிவ வணக்கம் லிங்க வழிபாடு புத்தர் பெருமானா?,9
மொஹெஞ்சொ-தரோ_அல்லது_சிந்துவெளி_நாகரிகம்,கொம்புள்ள தெய்வங்கள் நான்கு கைத் தெய்வங்கள் சமண சமயமும் பண்டையதோ?,8
மொஹெஞ்சொ-தரோ_அல்லது_சிந்துவெளி_நாகரிகம்,﻿பறவைமுக மனித உருவங்கள் தாழிகளுட் பல பொருள்கள் உடன் இறக்கும் வழக்கம் முடிவு.,10
மொஹெஞ்சொ-தரோ_அல்லது_சிந்துவெளி_நாகரிகம்,எழுத்துகள் எழுத்துகள் முடிவுரை.,3
மொஹெஞ்சொ-தரோ_அல்லது_சிந்துவெளி_நாகரிகம்,சிந்துவெளி மக்கள் யாவர்?,3
மொஹெஞ்சொ-தரோ_அல்லது_சிந்துவெளி_நாகரிகம்,இருநூற்று இருபத்தாறு இருநூற்று அறுபத்தொன்று பண்டை இந்திய மக்கள் நீக்ரோவர்.,8
மொஹெஞ்சொ-தரோ_அல்லது_சிந்துவெளி_நாகரிகம்,ஆஸ்ட்ரேலியர் மெலனேவியர் மத்தியதரைக் கடலினர்.,4
மொஹெஞ்சொ-தரோ_அல்லது_சிந்துவெளி_நாகரிகம்,மொழி ஆராய்ச்சி கூறும் உண்மை பிற சான்றுகள் இந்திய மக்கள் பற்றிய அறிக்கை நெடுங்காலம் வாழ்ந்த மக்கள் முடிவுரை.,14
மொஹெஞ்சொ-தரோ_அல்லது_சிந்துவெளி_நாகரிகம்,இதன்கண் எடுத்தாளப் பெற்ற மேற்கோள் நூல்கள் இருநூற்று அறுபத்திரண்டு ﻿மொஹெஞ்சொ தரோ அல்லது சிந்து வெளி நாகரிகம் ஒன்று.,14
