work_title,sentence,sentence_length
ஒரு_பூர்வ_பௌத்தனின்_சாட்சியம்,ஒரு பூர்வ பௌத்தனின் சாட்சியம் பண்டிதர் க.,6
ஒரு_பூர்வ_பௌத்தனின்_சாட்சியம்,அயோத்திதாசர் தொடர்பான ஆய்வுகளை பல்வேறு அறிவியல் புலங்களுக்குள் அறிமுகம் செய்யும் முயற்சி இது.,10
ஒரு_பூர்வ_பௌத்தனின்_சாட்சியம்,"☀ நூலாசிரியர் ப. மருதநாயகம் தமிழிலக்கியத்திலும், ஆங்கில இலக்கியத்திலும் முனைவர் பட்டம் பெற்றவர்.",10
ஒரு_பூர்வ_பௌத்தனின்_சாட்சியம்,பாண்டிச்சேரி மொழியியல் பண்பாட்டு ஆய்வு நிறுவனத்தின் இயக்குநராக பணியாற்றியவர்.,7
ஒரு_பூர்வ_பௌத்தனின்_சாட்சியம்,"☀பாளையங்கோட்டையில் செயல்படும் கல்லாத்தி என்ற பண்பாட்டு மையம், ஒட்டு மொத்த மானுட விடுதலையை நேசிக்கும் அனைவருக்குமான நிழல்.",13
ஒரு_பூர்வ_பௌத்தனின்_சாட்சியம்,மாற்றுக் கதையாடல்களை உற்சாகப்படுத்தி வவளியிடும் பணியினை செய்து வருகின்றது.,7
ஒரு_பூர்வ_பௌத்தனின்_சாட்சியம்,நூறு ﻿பொருளடக்கம் ⁠ முன்னுரை ⁠ ஒன்று.,6
ஒரு_பூர்வ_பௌத்தனின்_சாட்சியம்,"தொன்மப் படைப்பு, குலைப்பு, மீட்டுருவாக்கம் ஏழு இரண்டு.",6
ஒரு_பூர்வ_பௌத்தனின்_சாட்சியம்,வேத உபநிடதங்கள் மெய்யும் பொய்யும் முப்பத்தைந்து மூன்று.,6
ஒரு_பூர்வ_பௌத்தனின்_சாட்சியம்,மனுவும் கீதையும் ஒரு குலத்துக்கு ஒரு நீதி ஐம்பத்து மூன்று நான்கு.,9
ஒரு_பூர்வ_பௌத்தனின்_சாட்சியம்,குறள் காட்டும் வாழ்வு தொன்னூற்று மூன்று ஆறு.,6
ஒரு_பூர்வ_பௌத்தனின்_சாட்சியம்,"தமிழில் பெளத்தம், பெளத்தத்தில் தமிழ் நூற்றி பதினேழு  ஏழு.",7
