work_title,sentence,sentence_length
சேதுபதி_மன்னர்_வரலாறு,சேதுபதி மன்னர் வரலாறு எஸ்.,4
சேதுபதி_மன்னர்_வரலாறு,﻿ சர்மிளா பதிப்பகம் இராமநாதபுரம் ﻿முனைவர் கோ.,6
சேதுபதி_மன்னர்_வரலாறு,தமிழகச் சிற்றரசர் மரபினர்களில் இவர்கள் மிகவும் குறிப்பிடத்தக்கவர்கள்.,6
சேதுபதி_மன்னர்_வரலாறு,"வேளிர், மலையமான்கள், அதியமான்கள், தொண்டைமான்கள், முத்தரையர், இருக்குவேளிர், வானாதிராயர்கள் எனத் தமிழகம் பல சிற்றரசு மரபினர்களைக் கண்டுள்ளது.",13
சேதுபதி_மன்னர்_வரலாறு,இந்திய வரலாற்றில் போர்வழியிலன்றி ஆன்மிக நெறியில் நின்று இந்தியா முழுவதிலும் புகழ்படைத்த மரபினர் சேதுபதி மரபினர்.,12
சேதுபதி_மன்னர்_வரலாறு,இந்தப் பணிபற்றியும் இவர்கள் காலத்தே தமிழ்ப் பண்பாட்டில் நிகழ்ந்த வடநெறியாக்கம் மேலைமரபாக்கம் பெருந்தாக்கங்கள் பற்றியும் விரிவாக எழுத இடமுண்டு.,14
சேதுபதி_மன்னர்_வரலாறு,இத்தகைய சூழலில் இம்மரபினரின் தொடர்ச்சியான வரலாற்றினையேனும் எழுதவேண்டும் என்ற முனைப்பில் எனது அருமை நண்பர் டாக்டர் எஸ்.எம்.,14
சேதுபதி_மன்னர்_வரலாறு,கமால் அவர்கள் இச்சிறுநூலைப் படைத்துள்ளார்கள்.,4
சேதுபதி_மன்னர்_வரலாறு,சான்றுகளைக் காட்டி எழுதும் உத்தியினை ஆங்காங்கே ஒல்லுமிடமெல்லாம் பின்பற்றியுள்ளார்.,7
சேதுபதி_மன்னர்_வரலாறு,"தமக்குக் கிடைத்த சான்றுகள், ஆவணங்கள், முதலானவற்றைப் பட்டியலிட்டு நூலின் பின்னிணைப்புகளாகத் தமது நூலை முழுமைப்படுத்தியுள்ளார்.",11
சேதுபதி_மன்னர்_வரலாறு,"கண்பார்வை மங்கிய நிலை, உடல் நலக்குறைவு முதலான தடைகள் இருந்தபோதும் தளராது அரிதின் முயன்று இந்நூலைப் படைத்துள்ளார்.",13
சேதுபதி_மன்னர்_வரலாறு,இவரது வாழ்வும் பணியும் இன்றைய இளைஞர்கட்கு வழிகாட்டிகளாக விளங்குவனவாகும்.,7
சேதுபதி_மன்னர்_வரலாறு,நூல் அளவிற் சிறிதாயினும் கிடைத்தவற்றைக் கொண்டு சரளமான நடையில் சொல்லப்பட்டிருக்கும் விதத்தால் நம் பாராட்டுதலுக்குரியதாகிறது.,11
சேதுபதி_மன்னர்_வரலாறு,சேதுநாட்டு வரலாற்றை அறியத் துணைபுரியும் நல்ல தொடக்க நூல் இது.,8
சேதுபதி_மன்னர்_வரலாறு,தமிழ் மக்கள் இந்நூலை வாங்கிப் படித்துப் பயன் கொள்வார்களாக.,7
சேதுபதி_மன்னர்_வரலாறு,ஆசிரியர் நீடு வாழ்ந்து மேலும் பல நல்ல நூல்களைப் படைக்க என் மனமார்ந்த வாழ்த்துக்கள்.,11
சேதுபதி_மன்னர்_வரலாறு,தமிழக வரலாற்றைச் சரியாக அறிந்து கொள்வதற்கு இவர்களைப் பற்றிய வரலாற்று நூல்கள் இன்றியமையாதவை.,10
சேதுபதி_மன்னர்_வரலாறு,"மேலும் இந்த வரலாற்றுத் தொகுப்பினை வரைவதற்கு சேதுபதி மன்னர்களது கல்வெட்டுக்கள், செப்பேடுகள்.",9
சேதுபதி_மன்னர்_வரலாறு,"ஒலை முறிகள், ஆவணங்கள் ஆகிய வற்றைத் தந்து உதவிய அன்பர்கள் பலருக்கும் எனது இதயங்கனிந்த நன்றியினைப் புலப்படுத்திக் கொள்கிறேன்.",14
சேதுபதி_மன்னர்_வரலாறு,விமலானந்தம் அவர்களுக்கு எனது ஆழிய நன்றி.,5
சேதுபதி_மன்னர்_வரலாறு,அப்துல்சலாம் அவர்களுக்கும் எனது ஆழிய நன்றி.,5
சேதுபதி_மன்னர்_வரலாறு,கமால் நூலாசிரியர் ﻿இந்த நூல் எழுதுவதற்குத் துணையாக அமைந்த நூல்களும் ஆவணங்களும் ஒன்று.,10
சேதுபதி_மன்னர்_வரலாறு,இராமநாதபுரம் நிலமான்ய ஓலைக் கணக்கு பதினொன்று .,5
சேதுபதி_மன்னர்_வரலாறு,சேதுபதி மன்னர் செப்பேடுகள்.,3
சேதுபதி_மன்னர்_வரலாறு,இராமநாதபுரம் சமஸ்தான கோயில்கள் பதிவேடு.,4
சேதுபதி_மன்னர்_வரலாறு,இராமநாதபுரம் சமஸ்தான ஆவணங்கள் பதினான்கு .,4
சேதுபதி_மன்னர்_வரலாறு,திருப்புல்லாணித் தல புராணம் பதினைந்து .,4
சேதுபதி_மன்னர்_வரலாறு,இராமப் பையன் அம்மானை சரசுவதி மஹால் பதிப்பு இருபத்திரண்டு.,7
சேதுபதி_மன்னர்_வரலாறு,கந்தசாமி சேதுபதிகளின் தமிழ்ப்பணி இருபத்தாறு.,4
சேதுபதி_மன்னர்_வரலாறு,தளவாய் இரண்டாம் சடைக்கன் சேதுபதி இருபத்தெட்டு முப்பது மூன்று.,7
சேதுபதி_மன்னர்_வரலாறு,சண்முக ராஜேஸ்வர நாகநாத சேதுபதி நூற்றி ஐந்து நூற்றி ஆறு பத்து.,9
சேதுபதி_மன்னர்_வரலாறு,"இந்தப் பெரு நிலப்பரப்பைச் சங்ககாலந்தொட்டு முடியுடை மூவேந்தர்களான சேர, சோழ, பாண்டியர் ஆட்சி செலுத்தி வந்தனர் என்பது வரலாறு.",14
