work_title,sentence,sentence_length
இராணி_மங்கம்மாள்,இராணி மங்கம்மாள் நா.,3
இராணி_மங்கம்மாள்,ராணி மங்கம்மாள் சரித்திர நாவல் நா.,5
இராணி_மங்கம்மாள்,"எழுபது பூஜ்ஜியம் ஒளிஅச்சு அடையாறு மாணவர் நகலகம், நூற்பணிப்பிரிவு, தேனாம்பேட்டை, சென்னை அறுநூறு  பதினெட்டு .",11
இராணி_மங்கம்மாள்,"அச்சிட்டோர் மாணவர் மறுதோன்றி அச்சகம், சென்னை அறுநூறு  ஒன்று.",7
இராணி_மங்கம்மாள்,உள்ளடக்கம் முன்னுரை ஒன்று.,3
இராணி_மங்கம்மாள்,சித்திரா பெளர்ணமியன்று கிடைத்த செய்தி இரண்டு.,5
இராணி_மங்கம்மாள்,சின்னமுத்தம்மாளுக்குப் பெரிய முத்துமாலை மூன்று.,4
இராணி_மங்கம்மாள்,பாதுஷாவின் பழைய செருப்பு நான்கு.,4
இராணி_மங்கம்மாள்,இராயசம் அச்சையாவும் ரகுநாத சேதுபதியும் ஐந்து.,5
இராணி_மங்கம்மாள்,பக்கத்து வீட்டுப் பகைமை ஆறு.,4
இராணி_மங்கம்மாள்,கிழவன் சேதுபதியின் கீர்த்தி ஏழு.,4
இராணி_மங்கம்மாள்,வஞ்சப் புகழ்ச்சி வலை எட்டு.,4
இராணி_மங்கம்மாள்,பாதிரியார் வந்தார் ஒன்பது.,3
இராணி_மங்கம்மாள்,சகலருக்கும் சமநீதி பத்து.,3
இராணி_மங்கம்மாள்,ராஜதந்திரச் சிக்கல் பதினொன்று .,3
இராணி_மங்கம்மாள்,உதயத்தில் நேர்ந்த அஸ்தமனம் பனிரண்டு .,4
இராணி_மங்கம்மாள்,பேரன் பிறந்தான் பதிமூன்று .,3
இராணி_மங்கம்மாள்,கண்கலங்கி நின்றாள் பதினான்கு .,3
இராணி_மங்கம்மாள்,இடமாற்ற எண்ணம் பதினைந்து .,3
இராணி_மங்கம்மாள்,சாதுரியமும் சாகஸமும் பதினாறு .,3
இராணி_மங்கம்மாள்,ஒரு மாலை வேளையில்... பதினேழு .,4
இராணி_மங்கம்மாள்,கெட்ட சொப்பனமும் குழப்பமும் பதினெட்டு .,4
இராணி_மங்கம்மாள்,சேதுபதியின் சந்திப்பு பத்தொன்பது .,3
இராணி_மங்கம்மாள்,நம்பிக்கைத் துரோகம் இருபது.,3
இராணி_மங்கம்மாள்,அபவாதமும் ஆக்கிரமிப்பும் இருபத்தொன்று.,3
இராணி_மங்கம்மாள்,இஸ்லாமியருக்கு உதவி இருபத்திரண்டு.,3
இராணி_மங்கம்மாள்,சேதுபதியின் மூலபலம் இருபத்து நான்கு.,4
இராணி_மங்கம்மாள்,பிரிட்டோ பாதிரியார் கொலையும் பின் விளைவுகளும் இருபத்தைந்து.,6
இராணி_மங்கம்மாள்,பாவமும் பரிகாரங்களும் இருபத்தாறு.,3
இராணி_மங்கம்மாள்,பேரனின் ஆத்திரம் இருபத்தேழு.,3
இராணி_மங்கம்மாள்,விஜயரங்கன் தப்பி விட்டான் இருபத்தெட்டு.,4
இராணி_மங்கம்மாள்,மங்கம்மாள் சிறைப்பட்டாள் இருபத்தொன்பது.,3
இராணி_மங்கம்மாள்,"இருள் சூழ்ந்தது முடிவுரை ﻿முன்னுரை ராணி மங்கம்மாளின் கதை தென்னாட்டு வாழ்க்கையோடு இரண்டறக் கலந்திருப்பது, சுவையானது.",12
இராணி_மங்கம்மாள்,கிழவன் சேதுபதி போன்ற தீவிர உணர்வாளர்களும் அதே காலகட்டத்தில் வாழ்ந்திருக்கிறார்கள் என்பதையும் மறப்பதற்கில்லை.,10
இராணி_மங்கம்மாள்,கதிரில் தொடர்ந்து முப்பத்தொரு வாரம் வெளிவந்த இந்நாவல் இப்போது நூல் வடிவில் வெளிவருகிறது.,10
இராணி_மங்கம்மாள்,தமிழ்ப் புத்தகாலயத்தார் வெளியிடுகிறார்கள்.,3
இராணி_மங்கம்மாள்,﻿கதையில் ராணி மங்கம்மாளுக்கு அடுத்தபடி நம்மைக் கவருகிற கதாபாத்திரம் கிழவன் சேதுபதிதான்.,9
இராணி_மங்கம்மாள்,மடங்கா வீரமும் பிறருக்கு அடங்கா ஆற்றலும் கொண்ட அந்தக் கிழச்சிங்கம் நம் கவனத்தைக் கவர்வதில் வியப்பேதும் இருக்கமுடியாது.,13
இராணி_மங்கம்மாள்,"நாயக்கர்கள் காலத்து மதுரை, இராமநாதபுரம், திரிசிரபுரம் பிரதேசங்களின் நிலையையும் இந்நாவலின் மூலம் காணமுடிகிறது.",10
இராணி_மங்கம்மாள்,இப்புத்தகத்தின் வாசகர்களுக்கு என் அன்பையும் வாழ்த்துக் களையும் கூறி விடைபெறுகிறேன்.,8
இராணி_மங்கம்மாள்,பார்த்தசாரதி ﻿ராணி மங்கம்மாள் ஒன்று.,4
இராணி_மங்கம்மாள்,சித்திரா பெளர்ணமியன்று கிடைத்த செய்தி மதுரை மாநகரம் கோலாகலமாக விழாக் கோலம் பூண்டிருந்தது.,10
இராணி_மங்கம்மாள்,"பார்க்கும் இடமெல்லாம் புதுமையும், பொலிவும், திருவிழாக் கலகலப்பும் தென்பட்டன.",7
இராணி_மங்கம்மாள்,அது தான் அவளுடைய வேனிற் காலத்து விழாக்கோலம்.,6
இராணி_மங்கம்மாள்,"அவளது பொன்னிற மணல் மேனியில் பந்தல்களும், தோரணங்களும் தென்பட்டன.",7
இராணி_மங்கம்மாள்,மீனாட்சி கல்யாணம் முடிந்து தேர் நிலைக்கு வந்து மகிழ்ச்சி நிறைவடையு முன்னே ஆற்றில் அழகர் வந்து இறங்குகிறார்.,13
இராணி_மங்கம்மாள்,சித்திரா பெளர்ணமி நகரையே சிங்கார புரியாக்கியிருந்தது.,5
