work_title,sentence,sentence_length
அன்னிபெசண்ட்_அம்மையாரின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,அன்னிபெசண்ட் அம்மையாரின் நம்மை மேம்படுத்தும் எண்ணங்கள் என்.,6
அன்னிபெசண்ட்_அம்மையாரின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,அன்னி பெசண்ட் அம்மையாரின் நம்மை மேம்படுத்தும் எண்ணங்கள் புலவர் சன்.,8
அன்னிபெசண்ட்_அம்மையாரின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"ஏ., பாரதி பதிப்பகம் நூற்றி எட்டு, உஸ்மான் சாலை, தியாகராய நகர், சென்னை அறுநூறு ஆயிரத்து பதினேழு .",13
அன்னிபெசண்ட்_அம்மையாரின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,த.பெ.எண்.,3
அன்னிபெசண்ட்_அம்மையாரின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,இது போன்ற ஒரு நூல் இதுவரை வெளிவந்ததில்லை.,6
அன்னிபெசண்ட்_அம்மையாரின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,இந்த புத்தகத்தில் அந்த அம்மைாார் தமிழ்த்தென்றல் திரு.வி.க.,8
அன்னிபெசண்ட்_அம்மையாரின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"அவர்களுடனும், மற்றும் இந்தியத் தலைவர்களுடனும் சேர்ந்து இந்திய சுதந்திரத்திற்காக எவ்வாறெல்லாம் போராடினார் என்ற முழு விவரத்தையும் படிக்கலாம்.",13
அன்னிபெசண்ட்_அம்மையாரின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,அன்னி பெசண்ட் ஆம்மையார் வாழ்க்கை வரலாறும் இத்துடன் இணைந்துள்ளது.,7
அன்னிபெசண்ட்_அம்மையாரின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,அந்த வீரர் குல மாதரசி நம்மை எவ்வாறு அவரது செயற்கரிய செயல்களால் மேம்படுத்துகிறார் என்பதைப் படித்துப் பாருங்கள்.,13
அன்னிபெசண்ட்_அம்மையாரின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,பதிப்பகத்தார் பொருளடக்கம் பக்க எண் ஒன்று.,5
அன்னிபெசண்ட்_அம்மையாரின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,திரு.வி.க.,3
அன்னிபெசண்ட்_அம்மையாரின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,பாராட்டிய தியாகவல்லி ஒன்று இரண்டு.,4
அன்னிபெசண்ட்_அம்மையாரின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,ஆய கலைகளைக் கற்ற அன்னி எட்டு மூன்று.,6
அன்னிபெசண்ட்_அம்மையாரின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,கணவன் மனைவி இரு துருவங்கள் பதினாறு  நான்கு.,6
அன்னிபெசண்ட்_அம்மையாரின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,அன்னி பெசண்ட் நாவன்மைக்குப் பெர்னாட்ஷா பிராட்லா பாராட்டு !,6
அன்னிபெசண்ட்_அம்மையாரின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,மானத் தலைவியின் பெண்ணுரிமைப் போர்கள் !,4
அன்னிபெசண்ட்_அம்மையாரின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,ஞானத் தாமரை வானத்தில் பூத்தது !,4
அன்னிபெசண்ட்_அம்மையாரின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,எழுபத்திரண்டு அன்னி பெசண்ட் அம்மையாரின் நம்மை மேம்படுத்தும் எண்ணங்கன் ஒன்று.,8
அன்னிபெசண்ட்_அம்மையாரின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,அதே காலத்தில் இந்தியாவிலும் அரசியல் உரிமைப் போர் மூண்டது.,7
அன்னிபெசண்ட்_அம்மையாரின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,இப்போரை மூட்டியவர் யார்?,3
அன்னிபெசண்ட்_அம்மையாரின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,திலகர் பெருமான் உள்ளிட்ட தேசபக்தர் பலர் சிறைக் கோட்டம் சென்ற பின்னர் காங்கிரஸ் மிதவாதத்தில் அழுந்தியது.,12
அன்னிபெசண்ட்_அம்மையாரின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,அதன் ஆடியில் இரண்டு கொள்கைகள் சிறப்பாக நிலவின.,6
அன்னிபெசண்ட்_அம்மையாரின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,ஒன்று பிரிட்டிஷ் தொடர்புடன் சுயஆட்சிபெறல் வேண்டுமென்பது மற்றொன்று கிளர்ச்சி நியாய வரம்புக்கு உட்பட்டதாயிருத்தல் வேண்டுமென்பது.,11
அன்னிபெசண்ட்_அம்மையாரின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,அவர் காவலில் வைக்கப்பட்ட நாள் இந்தியா முழுவதும் ஒவ்வொரு மாதமும் கொண்டாடப்பட்டது.,9
அன்னிபெசண்ட்_அம்மையாரின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,ஆயிரக்கணக்கில் கூட்டங்கள் கூடும் கூட்டங்கள் அமைதியாக மிக அமைதியாக நடைபெறும்.,8
அன்னிபெசண்ட்_அம்மையாரின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"ஒரு மூலையிலாவது சிறு குழப்பமோ, துளி இரத்தஞ் சிந்தலோ நிகழ வில்லை.",9
அன்னிபெசண்ட்_அம்மையாரின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,சென்னையில் பல வட்டங்களில் விழாக்கள் நடைபெறும்.,5
அன்னிபெசண்ட்_அம்மையாரின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,சிலவற்றில் சிறியேன் சேவையும் சேரும்.,4
அன்னிபெசண்ட்_அம்மையாரின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,சிறையினின்றும் வெளிவந்த திலகர் பெருமான் துணை அம்மையார் இயக்கத்துக்குக் கிடைத்தது.,8
அன்னிபெசண்ட்_அம்மையாரின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,காந்தியடிகளும் பிணங்கி நின்றாரில்லை.,3
அன்னிபெசண்ட்_அம்மையாரின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,ஜின்னாவின் இணக்கம் இயக்கத்துக்குப் பேராக்கம் தந்தது.,5
அன்னிபெசண்ட்_அம்மையாரின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"கலியான சுந்தரம் அவர்கள் அன்னி பெசண்ட் அம்மையார் தொண்டுகளைப் பாராட்டி, தனது வாழ்க்கைக் குறிப்புகள் என்ற புத்தகத்திலே எழுதியுள்ளார் !",14
அன்னிபெசண்ட்_அம்மையாரின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,போராட்டம் செய்தார் கைதானார் !,3
அன்னிபெசண்ட்_அம்மையாரின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"அப்படியானால், அன்னி பெசண்ட் அம்மையார் யார்?",5
அன்னிபெசண்ட்_அம்மையாரின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,அவர் வரலாறு என்ன?,3
