work_title,sentence,sentence_length
அலிபாபா_(2002),"﻿முதற்பதிப்பு ஆறாம் பதிப்பு – ஏழாம் பதிப்பு எட்டாம் பதிப்பு விலை ரூ. ஏஷியன் அச்சகம், சென்னை",13
அலிபாபா_(2002),"﻿இந்தக் கதை அலுப்போ சலிப்போ இல்லாமல் படிக்கவும், மற்றவர்களுக்கு எடுத்துச் சொல்லவும் ஏற்றது அலிபாபாவின் கதை.",12
அலிபாபா_(2002),"கதையை ஒருமுறை படித்தவுடன், நமக்கு அந்த விறகுவெட்டியிடம் அன்பு ஏற்பட்டு விடுகின்றது அவனுடைய எதிரிகள் நம் எதிரிகளாக ஆகிவிடுகின்றனர்.",14
அலிபாபா_(2002),இந்தக் கதை அராபியர் நிசிக்கதைகள் அல்லது ஆயிரத்தோர் இரவுகள் என்று சொல்லப்பெறும் கதைகளோடு பிற்சேர்க்கையாகச் சேர்க்கப்பெற்றுள்ள கதைகளுள் ஒன்று.,14
அலிபாபா_(2002),இது தமிழிலும் ஆங்கிலத்திலும் பிற மொழிகளிலும் திரைப்படமாக்கப்பட்டுள்ளது.,6
அலிபாபா_(2002),தமிழகத்தில் இவைகளுக்கு நல்ல வரவேற்பு இருக்குமென்று நம்புகிறோம்.,6
அலிபாபா_(2002),பழனியப்பா பிரதர்ஸ் ﻿உள்ளுறை எண் பக்கம் ஒன்று.,6
அலிபாபா_(2002),விறகுவெட்டியும் நிதிக்குவியலும் … ஐந்து இரண்டு.,5
அலிபாபா_(2002),பொறாமையால் விளைந்த கேடு … பதினெட்டு  மூன்று.,6
அலிபாபா_(2002),திருடர்களின் சூழ்ச்சிகள் … முப்பத்திரண்டு நான்கு.,5
அலிபாபா_(2002),மார்கியானாவின் மதிநுட்பம் … நாற்பத்திரண்டு ஐந்து.,5
அலிபாபா_(2002),"விருந்து, நடனம், மரணம் !",3
அலிபாபா_(2002),அவர்களுள் மூத்தவன் பெயர் காஸிம்.,4
அலிபாபா_(2002),இளையவன் பெயர் அலிபாபா.,3
அலிபாபா_(2002),அவர்களுடைய தந்தை வைத்துச்சென்ற சிறிதளவு சொத்தை அவர்கள் விரைவிலேயே செலவழித்துக் கரைத்து விட்டனர்.,10
அலிபாபா_(2002),"ஆனால், காஸிம், செல்வம் மிகுந்த ஒரு பெண்ணை மணந்துகொண்டதில், அவனுடைய மாமனார் சொத்துகள் அவனை வந்தடைந்தன.",12
அலிபாபா_(2002),அவன் ஒரு கனவான் என்று ஊரெல்லாம் பெயராயிற்று.,6
அலிபாபா_(2002),"ஆனால் அலிபாபா, தன்னைப் போன்ற ஏழையான ஒரு பெண்ணை மணந்துகொண்டதால், அவன் ஒரு குடிசையிலேயே வாழ்ந்து வந்தான்.",13
அலிபாபா_(2002),"ஒவ்வொரு நாளும் அவன் காட்டிற்குச் சென்று, விறகு வெட்டி, அதை விற்று, வாழ்க்கை நடத்தி வந்தான்.",12
அலிபாபா_(2002),அவனிடம் மூன்று கழுதைகள் இருந்தன.,4
அலிபாபா_(2002),அவைகளின் மீது விறகுக் கட்டுகளை ஏற்றிக்கொண்டு வருவது அவன் வழக்கம்.,8
அலிபாபா_(2002),குதிரைகளின்மீது எவர்களோ வந்து கொண்டிருந்தனர்.,4
அலிபாபா_(2002),"அவர்கள் திருடர்களாயிருந்தால், தன்னை வெட்டிப் போட்டுவிட்டு, தன் கழுதைகளையும் பற்றிக்கொண்டு போய்விடுவார்கள் என்று அவன் அஞ்சினான்.",12
அலிபாபா_(2002),"எனவே, அவன் அங்கிருந்து ஓடத் தொடங்கினான்.",5
அலிபாபா_(2002),"கழுதைகளை ஓர் ஒற்றையடிப் பாதையில் விரட்டிவிட்டு, அவன் ஒரு பெரிய மரத்தின் கிளையில் ஏறி மறைந்துகொண்டான்.",12
அலிபாபா_(2002),அந்த மரத்திற்கு எதிரில் உயரமான பாறை ஒன்று இருந்தது.,7
அலிபாபா_(2002),மரத்தில் இருந்துகொண்டே அலிபாபா கீழே என்ன நடந்தாலும் பார்த்துத் தெரிந்து கொள்ள வசதியாக இருந்தது.,11
அலிபாபா_(2002),குதிரைகளில்வந்தவர்கள் வல்லமை மிக்க வாலிபர்கள்.,4
அலிபாபா_(2002),அவர்கள் கொள்ளைக்காரர்கள் என்பதைப் பார்த்தவுடனேயே அலிபாபா தெரிந்துகொண்டான்.,6
அலிபாபா_(2002),பைகளில் ஏராளமான பொன்னும் வெள்ளியும் இருந்ததை அலிபாபா ஒரளவு கவனித்துக்கொண்டான்.,8
அலிபாபா_(2002),அவர்கள் மொத்தம் நாற்பது பேர்கள் இருந்தார்கள் என்பதை அவன் எண்ணிப் பார்த்தான்.,9
அலிபாபா_(2002),"உடனே, பாறையில் பெரிய வாயில் ஒன்று தோன்றிற்று.",6
அலிபாபா_(2002),"அந்த வாயிலில் பொருந்தியிருந்த பாறை, திருடர் தலைவனின் சொற்களால் ஒரு கதவு போல் உட்புறம் சென்றுவிட்டது.",12
அலிபாபா_(2002),"தலைவன் அந்த வாயிலடியில் நின்றுகொண்டு மற்றவர்கள் எல்லோரும் உள்ளே சென்ற பிறகு, தானும் உள்ளே சென்றான்.",12
அலிபாபா_(2002),உடனேயே பாறை தானாகவே வாயிலை அடைத்துக்கொண்டது.,5
அலிபாபா_(2002),திருடர்கள் ﻿ வெகு நேரம் உள்ளே தங்கியிருந்தார்கள்.,6
அலிபாபா_(2002),"அலிபாபா கீழே இறங்கிச் செல்ல முடியாமல், துடித்துக் கொண்டிருந்தான்.",7
அலிபாபா_(2002),"அவன் இறங்கிய சமயத்தில், திருடர்கள் வெளியே வந்து விட்டால் என்ன செய்வது?",9
அலிபாபா_(2002),"ஆனால், மரத்தின் மேலே எவ்வளவு நேரம் குந்தியிருப்பது?",6
அலிபாபா_(2002),"அந்த நேரத்தில் குகையின் வாயில் திறந்து, திருடர்கள் வெளியே வரத் தொடங்கினர்.",9
அலிபாபா_(2002),"பாறை, குகையின் வாயிலை மூடிக் கொண்டது.",5
அலிபாபா_(2002),"நாற்பது திருடர்கள், தத்தம் குதிரைமீது ஏறிக்கொண்டு, தாங்கள் வந்த வழியிலேயே திரும்பச் சென்றுவிட்டார்கள்.",10
அலிபாபா_(2002),"உடனே அலிபாபா கீழே குதித்துவிடாமல், சிறிது நேரம் மரத்தின்மீதே மறைந்திருந்தான்.",8
அலிபாபா_(2002),"திருடர்கள் நெடுந்துாரம் சென்றபிறகு, அவன் கீழே இறங்கினான்.",6
அலிபாபா_(2002),"ஆகவே, அவன் ஓ ஸிம்ஸிம், திற என்று உரக்கச் கூவினான்.",8
அலிபாபா_(2002),பாறை விலகிப் பாதை திறந்துவிட்டது.,4
அலிபாபா_(2002),அவன் குகையினுள் புகுந்துவிட்டான்.,3
அலிபாபா_(2002),"அங்கே, குவியல் குவியலாகவும், அடுக்கு அடுக்காகவும் சேர்த்து வைக்கப் பட்டிருந்த பொருள்களைக் கண்டவுடன் அலிபாபா பிரமித்துப் போனான்.",13
அலிபாபா_(2002),"பற்பல வண்ணங்களின் பட்டுத்துகில்கள், பருத்தி ஆடைகள், விலைமதிப்புள்ள இரத்தினக் கம்பளங்கள் முதலியவை தரையிலிருந்து உச்சிவரை அடுக்கப்பெற்றிருந்தன.",12
அலிபாபா_(2002),"அவற்றுடன், எத்தனையோ தோற்பைகளில் பொற்காசுகளும் வெள்ளி நாணயங்களும் மின்னிக் கொண்டிருந்தன.",8
அலிபாபா_(2002),அவைகளையெல்லாம் கண்ட அலிபாபா பல தலைமுறைகளாகத் திருடர்கள் சேர்த்து வைத்திருந்த செல்வங்களாகவே அவை இருக்க வேண்டும் என்று எண்ணினான்.,14
அலிபாபா_(2002),"ஏனெனில், ஒரே தலைமுறையில் அவ்வளவு பொருள்களைச் சேர்க்க முடியாது.",7
அலிபாபா_(2002),அலிபாபா குகையினுள்ளே நிற்கையில் வெளியேயிருந்த பாறை தானாகவே வாயிலை அடைத்துக் கொண்டது.,9
அலிபாபா_(2002),"ஆனால், அவன் அதைப்பற்றி கவலைப்படவேயில்லை.",4
அலிபாபா_(2002),வாயிலைத் திறப்பதற்கும் அடைப்பதற்கும் உரிய மந்திரத்தை அவன் நன்றாக நினைவில் வைத்திருந்தான்.,9
அலிபாபா_(2002),அவனுடைய எண்ணமும் பார்வையும் நாணயங்கள் மீதே பதிந்திருந்தன.,6
அலிபாபா_(2002),அவன் மற்றைப் பொருள்களை நாடவில்லை.,4
அலிபாபா_(2002),"ஓ எலிம் எலிம், மூடிக் கொள் ! என்று அவன் கூறியதும், பாறை, குகையை மூடிக்கொண்டது.",11
அலிபாபா_(2002),"அவன் வழக்கம் போல், கழுதையை ஓட்டிக் கொண்டு வீடு போய்ச் சேர்ந்தான்.",9
அலிபாபா_(2002),"கழுதைகள் வீட்டு முற்றத்தினுள் சென்றதும் அவன் வெளிக்கதவை அடைத்துவிட்டு, முதலில் மேலாக இருந்த சுள்ளிகளை இறக்கினான்.",12
அலிபாபா_(2002),"பின்னர், நாணய மூட்டைகளை ஓரிடத்தில் அடுக்கி வைத்தான்.",6
அலிபாபா_(2002),"அப்பொழுது அவன் மனைவி, எல்லா மூட்டைகளும் தங்கமும் வெள்ளியுமாயிருப்பதைக் கண்டு அவன் எங்காவது கொள்ளையடித்துக்கொண்டு வந்திருப்பான் என்று கருதினாள்.",14
அலிபாபா_(2002),"அதனால் அவள் வருத்தமடைந்து, நமக்கு இந்த ஈனமான தொழில் தகுமா? என்று அவனைக் கண்டித்துப் பேசத்தொடங்கினாள்.",12
அலிபாபா_(2002),"அப்பொழுது அலிபாபா, நான் கொள்ளைக்காரன் ஆக வில்லை !",6
அலிபாபா_(2002),"அத்துடன், பையிலிருந்த தங்க நாணயங்களை அவள் கண்முன்பு அவன் கீழே கொட்டிக் குவியல்களாகக் குவித்து வைத்தான்.",12
அலிபாபா_(2002),பொற்காசுகளின் ஒளி அவளுடைய கண்களைப் பறித்தது.,5
அலிபாபா_(2002),அவன் கூறிய வரலாறும் அவள் உள்ளத்திற்கு உவப்பாக இருந்தது.,7
அலிபாபா_(2002),அந்நிலையில் அவள் நாணயங்களைக் கையிலெடுத்து எண்னத் தொடங்கினாள்.,6
அலிபாபா_(2002),"அதைக்கண்ட அலிபாபா, அடுத்தாற்போல், இவைகளை யாருக்கும் புலப்படாமல் குழி தோண்டி மண்ணுக்குள் புதைத்து வைக்கவேண்டும் !",11
அலிபாபா_(2002),அதைப்பற்றி யோசனை செய்யாமல் எண்னத் தொடங்கிவிட்டாயே !,5
அலிபாபா_(2002),இவைகளை எண்ண முடியுமா? என்று கேட்டான்.,5
அலிபாபா_(2002),"அவன் மனைவி, எண்ண முடியாவிட்டாலும், எவ்வளவு நாணயம் இருக்கிறது என்பதற்கு ஒரு கணக்குத் தெரிய வேண்டாவா?",12
அலிபாபா_(2002),"அதற்கு வழி செய்கிறேன் ! என்று சொல்லிவிட்டு, எழுந்து வெளியே சென்றாள்.",8
அலிபாபா_(2002),அவள் நேராக மைத்துனன் காஸிமின் வீட்டுக்குச் சென்றாள்.,6
அலிபாபா_(2002),"அங்கே அவன் இல்லாததால், அவன் மனைவியைக் கண்டு, ஒரு தராசும் படிக்கற்களும் வேண்டும் என்று கேட்டாள்.",12
அலிபாபா_(2002),அந்த அம்மாள் தராசுகளில் பெரியது வேண்டுமா அல்லது சிறியது போதுமா என்று கேட்டாள்.,10
அலிபாபா_(2002),"சிறிய தராசையும் கற்களையும் வாங்கிக் கொண்டு, இளையவள் வெளியே சென்றாள்.",8
அலிபாபா_(2002),"அந்தத் ﻿ தராசில் பண்டங்களை வைக்கும் தட்டில், அவளுக்குத் தெரியாமல், காஸிமின் மனைவி கொஞ்சம் மெழுகைத் தடவி வைத்திருந்தாள்.",14
அலிபாபா_(2002),வீட்டிலே அலிபாபா குழி தோண்டிக் கொண்டிருந்தான்.,5
அலிபாபா_(2002),அவன் மனைவி நாணயங்களை எடைபோட்டுக் கொண்ருந்தாள்.,5
அலிபாபா_(2002),"எல்லா நாணயங்களையும் நிறுத்துக் கணக்குச் செய்தபின், இருவருமாக அவைகளைப் பூமிக்குள்ளே புதைத்து மண்ணினால் மூடிவிட்டனர்.",11
அலிபாபா_(2002),"பின்னர் அலிபாபாவின் மனைவி, தராசையும் கற்களையும் எடுத்துச்சென்று, காஸிம் வீட்டில் சேர்த்துவிட்டு வந்தாள்.",10
அலிபாபா_(2002),தராசுத் தட்டிலிருந்த மெழுகில் ஒரு பொற்காசு ஒட்டிக் கொண்டிருந்தது.,7
அலிபாபா_(2002),அதைக் கண்டு காஸிமின் மனைவி உண்மையை உணர்ந்துகொண்டாள்.,6
அலிபாபா_(2002),அலிபாபாவின் வீட்டில் பொற்காசுகளையே எடை போட்டிருக்கிறார்கள் !,5
அலிபாபா_(2002),மகா ஏழையான அவனுக்கு தங்க நாணயங்கள் ஏது?,6
