work_title,sentence,sentence_length
கவியரசர்_இரவீந்திரநாத்_தாகூர்,கவியரசர் இரவீந்திரநாத் தாகூர் என்.,4
கவியரசர்_இரவீந்திரநாத்_தாகூர்,கவியரசர் இரவீந்திரநாத் தாகூர் ﻿புலவர் என்.வி.,6
கவியரசர்_இரவீந்திரநாத்_தாகூர்,"கலைமணி, எம்.ஏ., பாரதி நிலையம் உஸ்மான் சாலை, தியாகராய நகர், சென்னை",10
கவியரசர்_இரவீந்திரநாத்_தாகூர்,எண்ணங்கள் எமர்சனின் ந. மே.,4
கவியரசர்_இரவீந்திரநாத்_தாகூர்,எண்ணங்கள் டாக்டர் முத்துலட்சுமியின் ந. மே.,5
கவியரசர்_இரவீந்திரநாத்_தாகூர்,எண்ணங்கள் கப்பலோட்டிய தமிழன் வ.உ.சி.,6
கவியரசர்_இரவீந்திரநாத்_தாகூர்,கலிலியோவின் ந. மே.,3
கவியரசர்_இரவீந்திரநாத்_தாகூர்,எண்ணங்கள் கன்பூசியஸின் ந. மே.,4
கவியரசர்_இரவீந்திரநாத்_தாகூர்,எண்ணங்கள் கவிக்குயில் சரோஜினியின் ந.மே.எண்ணங்கள் மார்ட்டின் லூதரின் ந. மே.,10
கவியரசர்_இரவீந்திரநாத்_தாகூர்,எண்ணங்கள் தமிழ் நாவல் உலகின் தந்தை மாயூரம் வேதநாயகம் பிள்ளை வ.உ.சி.,11
கவியரசர்_இரவீந்திரநாத்_தாகூர்,ஐயர் ஆல்ஃப்ரெட் நோபல் கோபால கிருஷ்ண கோகலே சர் சி.,8
கவியரசர்_இரவீந்திரநாத்_தாகூர்,ராமன் திருப்பூர் குமரன் ரைட் சகோதரர்கள் உள்ளடக்கம்,6
கவியரசர்_இரவீந்திரநாத்_தாகூர்,தமிழ்ப் பற்று ஊட்டினார் தாகூர் இரண்டு.,5
கவியரசர்_இரவீந்திரநாத்_தாகூர்,தொடக்கப் பள்ளி நடைமுறையை வெறுத்தார் மூன்று.,5
கவியரசர்_இரவீந்திரநாத்_தாகூர்,தாகூரைக் கவர்ந்தன காளிதாசர் நூல்கள் நான்கு.,5
கவியரசர்_இரவீந்திரநாத்_தாகூர்,தாகூரின் சமயக் கொள்கை ஐந்து.,4
கவியரசர்_இரவீந்திரநாத்_தாகூர்,ஆங்கிலமொழியின் ஆதிக்கத்தை எதிர்த்துப் போராடினார் ஆறு.,5
கவியரசர்_இரவீந்திரநாத்_தாகூர்,அரசியல் தொண்டு ஏழு.,3
கவியரசர்_இரவீந்திரநாத்_தாகூர்,கீதாஞ்சலி நூலுக்கு நோபெல் பரிசு !,4
