work_title,sentence,sentence_length
உத்தரகாண்டம்,"வறுமைக்கோடு மேலே மேலே உயர்ந்து, மக்கள் தொகையின் அதிக விழுக்காட்டைத் தன் வரையறைக்குக் கீழே தள்ளிக் கொண்டிருந்தது.",13
உத்தரகாண்டம்,நாளொரு கொலையும் பொழுதொரு கொள்ளையுமாக அழிவுகள் சாம்ராச்சியப் படையெடுப்பையும் விஞ்சிக் கொண்டிருந்தன.,9
உத்தரகாண்டம்,"நம் அறிவியல் மேம்பாடுகள், ராக்கெட் ஏவுகணை, விண்வெளி ஆய்வு, வீரிய விதைக்கண்டுபிடிப்பு என்ற சாதனையாளரால் மட்டும் பெருமை பெறவில்லை.",14
உத்தரகாண்டம்,"இத்தகைய தொழில் நுட்பங்கள், உலகளாவிய மோசடிகளாலும், பெண் வாணிபங்களாலும் வாணிபம் நடத்தும் அளவுக்கும் பெருமை பெற்றிருக்கின்றன.",12
உத்தரகாண்டம்,"புத்தாயிரம், புதிய நூற்றாண்டு என்ற எதிர்பார்ப்பும் இந்தக் கொண்டாட்டங்களுக்கு ஒரு விறுவிறுப்பூட்டியது.",9
உத்தரகாண்டம்,"அரசு சார்ந்தும், சாராமலும், சேர்ந்து கிடந்த மேற்பரப்புக்கு ஒரு காபி குடிக்கும் விறுவிறுப்பு உற்சாகம் ஊட்டியது.",12
உத்தரகாண்டம்,"சின்னத்திரை, பெரிய திரைகள், பத்திரிகைகள், நட்சத்திர இரவுகளை உருவாக்கி, தேசபக்திப் பாடல்களை அரங்கேற்றின.",10
உத்தரகாண்டம்,"காந்தியடிகள் கண்ட சுயராச்சிய, கிராம ராச்சியக் கனவுகள், தனிமனிதத் தூய்மை, ஒழுக்கப் பண்புகளின் அடிப்படையில் அமைந்தவை.",12
உத்தரகாண்டம்,"ஆனால் அந்த வரையறைகள் மெல்ல மெல்ல, ﻿தன்னலம், பதவி, புகழ் ஆகிய பூச்சிகளால் அழிக்கப் பெற்றன.",12
உத்தரகாண்டம்,"அதே பூச்சிகள், மனித வாழ்வியலின் அனைத்து நல்லணுக்களையும் விழுங்கி, புற்று வளர்ச்சி போன்றதொரு சமுதாய வளர்ச்சியை, மேன்மையைத் தோற்றுவித்திருக்கிறது.",14
உத்தரகாண்டம்,வாழ்க்கை வசதிகள் ஏராளம்.,3
உத்தரகாண்டம்,ஆனாலும் அடிப்படை வாழ்வாதாரங்கள் சூறையாடப்பட்டு வருகின்றன.,5
உத்தரகாண்டம்,"இந்தப் பின்னணியில், நான் இந்தப் புதினத்தை எழுதுவதற்கான உந்துதல் பெற்றதற்கொரு காரணம் உண்டு.",10
உத்தரகாண்டம்,"ஆர்வமுடன் விடுதலைப் போராட்ட வீரர்களை, தியாகிகளைப் பற்றிய செய்திகளை விவரிப்பார்.",8
உத்தரகாண்டம்,"தேச விடுதலைப் போராட்டத்தில் பங்கு பெற்ற வீரர்களைப் பற்றிய நூல்கள், நாடு தழுவியும், பல்வேறு பிராந்தியங்கள் சார்ந்தும் வெளியிடப்பட்டிருக்கின்றன.",14
உத்தரகாண்டம்,நான் அறிந்த பழகிய பலரும் என் மன அரங்கில் உயிர் பெற்றார்கள்.,9
உத்தரகாண்டம்,"அதைச் சாதித்தவர், இந்த இருபதாம் நூற்றாண்டின் மாமனிதராகிய காந்தியடிகள்.",7
உத்தரகாண்டம்,புதிய இளமை புதிய விடிவெள்ளி.,4
உத்தரகாண்டம்,"ஓர் ஆயிரத்து தொள்ளாயிரத்து எழுபத்திரண்டு இல், நாம் சுதந்திரத் திருநாட்டின் வெள்ளி விழாவைக் கொண்டாடினோம்.",11
