work_title,sentence,sentence_length
எழு_பெரு_வள்ளல்கள்,எழு பெரு வள்ளல்கள் கி.,4
எழு_பெரு_வள்ளல்கள்,﻿எழு பெரு வள்ளல்கள் கி.,4
எழு_பெரு_வள்ளல்கள்,"மன்னர்கள், புலவர்கள், வள்ளல்கள், பெண்மணிகள் பலரைப் பற்றிய செய்திகளை அவற்றால் அறிந்து கொள்ளலாம்.",10
எழு_பெரு_வள்ளல்கள்,வள்ளல்கள் எழுவர் என்ற வழக்கு மிகப் பழங்கால முதல் இந்நாட்டில் இருந்து வருகிறது.,10
எழு_பெரு_வள்ளல்கள்,சிறு பாணாற்றுப் படையில் அவர்கள் பெயர்களை நத்தத்தனார் சொல்கிறார்.,7
எழு_பெரு_வள்ளல்கள்,புறநானூற்றுப் பாடல் ஒன்றில் பெருஞ் சித்திரனார் என்னும் புலவரும் அவர்களைச் சொல்கிருர்.,9
எழு_பெரு_வள்ளல்கள்,பின்னால் வந்த நிகண்டுகளின் ஆசிரியர்கள் அவர்களை வரிசையாகத் தொகுத்துச் சொல்லியிருக்கிருர்கள்.,8
எழு_பெரு_வள்ளல்கள்,சில வள்ளல்களின் வாழ்க்கையில் நடந்த பல நிகழ்ச்சிகள் புலனாகின்றன வேறு சிலர் வாழ்க்கையின் விரிவு அந்த அளவுக்குத் தெரியவில்லை.,14
எழு_பெரு_வள்ளல்கள்,"பழைய நூல்களில் உள்ள குறிப்புக்களைக் கொண்டு ஒருவாறு நிகழ்ச்சிகளைத் தொடர்புபடுத்தி, ஏழு வள்ளல்களின் வரலாறுகளையும் இந்தச் சிறுநூலில் எழுதியிருக்கிறேன்.",14
எழு_பெரு_வள்ளல்கள்,தமிழ்நாட்டுச் சிறுவர்களும் சிறுமியரும் இவற்றைப் படித்துப் பயன் பெறக்கூடும் என்பது என் எண்ணம்.,10
எழு_பெரு_வள்ளல்கள்,காந்த மலை சென்னை இருபத்தெட்டு கி.,5
