work_title,sentence,sentence_length
மகாபாரதம்-அறத்தின்_குரல்,மகாபாரதம் அறத்தின் குரல் நா.,4
மகாபாரதம்-அறத்தின்_குரல்,பார்த்தசாரதி ﻿மகாபாரதம் அறத்தின் குரல் நா.,5
மகாபாரதம்-அறத்தின்_குரல்,மூவர் தோற்றம் இரண்டு.,3
மகாபாரதம்-அறத்தின்_குரல்,கன்னிப் பருவத்தில் நடந்த கதை மூன்று.,5
மகாபாரதம்-அறத்தின்_குரல்,ஐவர் அவதாரம் நான்கு.,3
மகாபாரதம்-அறத்தின்_குரல்,பாண்டுவின் மரணம் ஐந்து.,3
மகாபாரதம்-அறத்தின்_குரல்,சோதரர் சூழ்ச்சிகள் ஆறு.,3
மகாபாரதம்-அறத்தின்_குரல்,துரோணர் வரலாறு ஏழு.,3
மகாபாரதம்-அறத்தின்_குரல்,பகைமை பிறக்கிறது எட்டு.,3
மகாபாரதம்-அறத்தின்_குரல்,நனவாகிய கனவு ஒன்பது.,3
மகாபாரதம்-அறத்தின்_குரல்,கானகத்தில் நிகழ்ந்தது பதினொன்று .,3
மகாபாரதம்-அறத்தின்_குரல்,பாஞ்சாலப் பயணம் பனிரண்டு .,3
மகாபாரதம்-அறத்தின்_குரல்,வெற்றி கிடைத்தது பதிமூன்று .,3
மகாபாரதம்-அறத்தின்_குரல்,தருமன் முடி சூடுகிறான் பதினான்கு .,4
மகாபாரதம்-அறத்தின்_குரல்,யாத்திரை நேர்ந்தது பதினைந்து .,3
மகாபாரதம்-அறத்தின்_குரல்,நான் தான் விசயன் ! பதினாறு .,4
மகாபாரதம்-அறத்தின்_குரல்,வசந்தம் வந்தது சபா பருவம் ஒன்று.,5
மகாபாரதம்-அறத்தின்_குரல்,வேள்வி நிகழ்ச்சிகள் இரண்டு.,3
மகாபாரதம்-அறத்தின்_குரல்,சிசுபாலன் போட்டி மூன்று.,3
மகாபாரதம்-அறத்தின்_குரல்,கர்ணன் மூட்டிய கனல் விதுரன் செல்கிறான்,5
மகாபாரதம்-அறத்தின்_குரல்,விதியின் வழியில் ஆறு.,3
மகாபாரதம்-அறத்தின்_குரல்,தீயன செய்கின்றான் எட்டு.,3
மகாபாரதம்-அறத்தின்_குரல்,அவையில் நிகழ்ந்தவை ஒன்பது.,3
மகாபாரதம்-அறத்தின்_குரல்,பாஞ்சாலி சபதம் ஆரணிய பருவம் ஒன்று.,5
மகாபாரதம்-அறத்தின்_குரல்,விசயன் தவநிலை இரண்டு.,3
மகாபாரதம்-அறத்தின்_குரல்,விசயன் தவநிலை மூன்று.,3
மகாபாரதம்-அறத்தின்_குரல்,இந்திரன் கட்டளை ஐந்து.,3
மகாபாரதம்-அறத்தின்_குரல்,வீமன் யாத்திரை ஆறு.,3
மகாபாரதம்-அறத்தின்_குரல்,தீமையின் முடிவு ஏழு.,3
மகாபாரதம்-அறத்தின்_குரல்,மாண்டவர் மீண்டனர் ﻿விராட பருவம் ஒன்று.,5
மகாபாரதம்-அறத்தின்_குரல்,மறைந்த வாழ்வு இரண்டு.,3
மகாபாரதம்-அறத்தின்_குரல்,கீசகன் தொல்லைகள் மூன்று.,3
மகாபாரதம்-அறத்தின்_குரல்,பகைவர் சோதனை நான்கு.,3
மகாபாரதம்-அறத்தின்_குரல்,﻿உத்தியோக பருவம் ஒன்று.,3
மகாபாரதம்-அறத்தின்_குரல்,உலூகன் போகின்றான் இரண்டு.,3
மகாபாரதம்-அறத்தின்_குரல்,மாயவன் தூது நான்கு.,3
மகாபாரதம்-அறத்தின்_குரல்,தூது சென்ற இடத்தில்...,3
மகாபாரதம்-அறத்தின்_குரல்,கண்ணன் திரும்பி வரல் ஆறு.,4
மகாபாரதம்-அறத்தின்_குரல்,சூழ்ச்சியின் தோல்வி ஏழு.,3
மகாபாரதம்-அறத்தின்_குரல்,நன்றி மறக்கமாட்டேன் எட்டு.,3
மகாபாரதம்-அறத்தின்_குரல்,படை ஏற்பாடுகள் ஒன்பது.,3
மகாபாரதம்-அறத்தின்_குரல்,களப்பலியும் படைவகுப்பும் ﻿வீட்டும பருவம் ஒன்று.,5
மகாபாரதம்-அறத்தின்_குரல்,போரில் மனப்போர் இரண்டு.,3
மகாபாரதம்-அறத்தின்_குரல்,சிவேதன் முடிவு மூன்று.,3
மகாபாரதம்-அறத்தின்_குரல்,போர் நிகழ்ச்சிகள் நான்கு.,3
மகாபாரதம்-அறத்தின்_குரல்,ஐந்து நாட்களுக்குப் பின் ஐந்து.,4
மகாபாரதம்-அறத்தின்_குரல்,வீட்டுமன் வீழ்ச்சி துரோண பருவம் ஒன்று.,5
மகாபாரதம்-அறத்தின்_குரல்,பதினொன்றாவது நாளில் இரண்டு.,3
மகாபாரதம்-அறத்தின்_குரல்,சூழ்ச்சியின் தோல்வி மூன்று.,3
மகாபாரதம்-அறத்தின்_குரல்,போரின் போக்கு நான்கு.,3
மகாபாரதம்-அறத்தின்_குரல்,வியூகத்தின் நடுவே ஐந்து.,3
மகாபாரதம்-அறத்தின்_குரல்,அர்ச்சுனன் சபதம் ஏழு.,3
