work_title,sentence,sentence_length
உலகத்தமிழ்,உலகத்தமிழ் டாக்டர் நெ.,3
உலகத்தமிழ்,"முன்னாள் துணைவேந்தர், சென்னைப் பல்கலைக் கழகம்.",5
உலகத்தமிழ்,தமிழ் நாடு முழுவதும் பரவியிருக்கும் பல எழுத்தாளர் இதில் உறுப்பினராய் இருக்கின்றனர்.,9
உலகத்தமிழ்,இவை பதிக்கத்தக்கவை கூட.,3
உலகத்தமிழ்,இதனைச் சங்கத்தின் வாயிலாக வெளிக் கொணர இசைந்தமைக்குத் திரு.,7
உலகத்தமிழ்,சுந்திரவடிவேலு அவர்களுக்கு எங்கள் நன்றியைத் தெரிவித்துக்கொள்கிறோம்.,5
உலகத்தமிழ்,"தமிழ் நாட்டின் தன்னேரிலாத முதல்வர், தமிழ்த் தாயின் தவப்புதல்வர், கலைஞர் கருணாநிதி அவர்களின் நல்லாதரவு.",11
உலகத்தமிழ்,மூன்றாம் உலகத் தமிழ் மாநாட்டிலும் நான் கலந்துகொள்ளும் நற்பேற்றினை நல்கிற்று.,8
உலகத்தமிழ்,அப்பெரு மகனார்க்கு எப்படி நன்றி சொல்ல?,5
உலகத்தமிழ்,கைம்மாறு கருதா மாரிமாட்டு என்னாற்றுங் கொல்லோ உலகு?,6
உலகத்தமிழ்,"மாநாட்டிற்குச் சென்ற போதும், மாநாட்டில் கலந்து கொண்ட போதும், பின்னரும் நான் கண்டவை பல கேட்டவை பலப்பல.",13
உலகத்தமிழ்,"அவை என் உள்ளத்தில் எழுப்பிய எண்ணங்கள், தொடர் கட்டுரைகளாய் உருப்பெற்றன.",8
உலகத்தமிழ்,நான் கற்றுக்குட்டி எழுத்தாளன்.,3
உலகத்தமிழ்,இருபது ஆண்டுகளாக கல்கண்டில் எழுத யாருக்கும் இடம் கொடாத தமிழ்வாணன் என்னத் தொடர்ந்து எழுத விட்டது என்னுடைய சிறப்பா?,14
உலகத்தமிழ்,விளக்கஞ் சொல்ல முடியாத நற்பேறு.,4
உலகத்தமிழ்,தமிழ்வாணன் கொடுத்த உரிமை இன்று உலகத்தமிழ் என்னும் நூலாகக் காட்சியளிக்கிறது.,8
உலகத்தமிழ்,"என் இளமைப் பருவத்தில், திரு.",4
உலகத்தமிழ்,சேஷாசலம் அய்யர் அவர்கள் நடத்திய கலா நிலையம் மூலம் என் தந்தை எனக்கு ஊட்டிய தமிழ்ப்பற்று.,12
உலகத்தமிழ்,"எனக்குத் தமிழ் கற்றுக் கொடுத்த நல்லாசிரியர்கள் திருவாளர் நரசிம்மாச்சாரி யாராலும், திருவாளர் நமச்சிவாய முதலியாராலும் காத்து வளர்க்கப்பட்டது.",13
உலகத்தமிழ்,"க., மறைமலை அடிகளார்.",3
உலகத்தமிழ்,ஆழ்ந்த புலமை மிகுந்தால் சலனம் குறையலாம்.,5
உலகத்தமிழ்,"பற்றுமட்டுமே மிகுந்துள்ள எனக்கு, தமிழைத் தமிழாகக் காக்கவேண்டுமே என்னும் துடிப்பு.",8
உலகத்தமிழ்,"தகுதியில்லாவிட்டாலும் தாயிடம் பற்றுக் கொண்டு, தாய்க்குக் தீங்கு நேராதபடி காக்கத் துடிக்கும் நிலையில் உள்ளவன் நான்.",12
உலகத்தமிழ்,உலகப் புகழுக்கு மயங்கி கண்டவர்களிடம் போய்ச் சிக்கிவிடக்கூடாதே என்று கவலைப்படுகிறேன்.,8
உலகத்தமிழ்,அவ்வுணர்வை இயல்பாய் கொட்டியுள்ளேன்.,3
உலகத்தமிழ்,மெருகிட்டுக் காட்ட ஆற்றல் அற்றேன்.,4
உலகத்தமிழ்,"இளைஞர்களைத் தூண்டும் என்னும் ஆசையால், என் ஏக்கத்தை உருவாக்கியுள்ளேன்.",7
