work_title,sentence,sentence_length
கடல்வீரன்_கொலம்பஸ்,கடல்வீரன் கொலம்பஸ் பாவலர் நாரா.,4
கடல்வீரன்_கொலம்பஸ்,"கனகசபை, ககர், சிதம்பரம்.",3
கடல்வீரன்_கொலம்பஸ்,﻿நாகு வெளியீடு பதினான்கு .,3
கடல்வீரன்_கொலம்பஸ்,"முதற்பதிப்பு ஜூன், பதிப்புரிமை பெற்றது விலை ரூ. வெளியிட்டோர் நாகு வெளியீடு சென்னை நாவல் ஆர்ட் பிரிண்டர்ஸ்.",13
கடல்வீரன்_கொலம்பஸ்,மேலை நாடுகளுக்கும் கீழை நாடுகளுக்கும் இடையே வழிமுழுவதும் கடலாக இருந்திருந்தால் கொலம்பஸ் நினைத்தது சரியாய் இருந்திருக்கும்.,12
கடல்வீரன்_கொலம்பஸ்,"ஆனால், இடையிலே அமெரிக்கக் கண்டம் இருந்தது.",5
கடல்வீரன்_கொலம்பஸ்,"அதைக் கண்டுபிடித்த கொலம்பஸ், அதுதான் இந்தியா என்று நினைத்தான்.",7
கடல்வீரன்_கொலம்பஸ்,அதற்கு இந்தியா என்று பெயரிட்டான்.,4
கடல்வீரன்_கொலம்பஸ்,அங்கு வாழும் மக்களை இந்தியர்கள் என்று அழைத்தான்.,6
கடல்வீரன்_கொலம்பஸ்,தான் கண்டு பிடித்தது இந்தியா அல்ல என்று அவன் தெரிந்து கொள்ள பல நாட்கள் ஆயிற்று.,12
கடல்வீரன்_கொலம்பஸ்,தான் கண்டு பிடித்தது பொன்வளமும் மண்வளமும் மிக்க புதியதோர் உலகம் என்று அறிந்துகொள்ளாமலே அவன் இறந்து போனான்.,13
கடல்வீரன்_கொலம்பஸ்,கொலம்பஸ் கதை சுவை மிக்கது.,4
கடல்வீரன்_கொலம்பஸ்,அவன் புதுநாடு கண்டுபிடிக்கப் பட்ட பாடும் அனுபவமும் தொல்லையும் துயரும் மிக்கன.,9
கடல்வீரன்_கொலம்பஸ்,கடைசியில் அவன் முயற்சியின் பயனாக அடைந்த பலனோ ஏமாற்றம் மிக்கது.,8
கடல்வீரன்_கொலம்பஸ்,கொலம்பஸ் கதை மனத்தை உருக்கும் ஒரு பெருங்கதை போன்றது.,7
கடல்வீரன்_கொலம்பஸ்,"இக்கதையின் மூலம், அவனுடைய அளவற்ற நற்குணங்கள் பலவற்றை நாம் அறிய முடிகிறது.",9
கடல்வீரன்_கொலம்பஸ்,"கொலம்பஸ் அரசபக்தி மிக்கவன், தெய்வபக்தியும், மதப்பற்றும் மிகக்கொண்டவன் விடாமுயற்சியும் ஊக்கமும் உள்ளவன்.",9
கடல்வீரன்_கொலம்பஸ்,மனிதாபிமானமுள்ளவன் நியாயத்திற்குப் போராடும் நெஞ்சுரம் படைத்தவன் எத்தகைய துன்பத்திற்கும் கலங்காத இரும்பு மனம் கொண்டவன்.,11
கடல்வீரன்_கொலம்பஸ்,"கொலம்பஸ் கதை உலக அனுபவத்தை மட்டுமல்லாமல், உயர்ந்த இலட்சியங்களையும் உள்ளத்திலே உருவாக்க வல்லது.",10
கடல்வீரன்_கொலம்பஸ்,"புதியன கண்டு பிடிக்கும் ஆர்வ மிக்க கொலம்பஸ் கதை மாணவ உலகத்திற்கும், அறிவுத் தாகம் கொண்டோருக்கும் நல்ல விருந்தாகும்.",14
கடல்வீரன்_கொலம்பஸ்,இவ்வரலாற்றுக் கதையைத் தமிழில் எழுதித்தந்து வெளியிட உரிமையளித்த திரு நாரா நாச்சியப்பன் அவர்களுக்கு எங்கள் நன்றி யுரியதாகும்.,13
கடல்வீரன்_கொலம்பஸ்,அந்த ஆற்றங்கரையில் அவர் வாழ்ந்த இடத்தின் பக்கத்தில் இருந்த துறை மிகவும் ஆழமானது.,10
கடல்வீரன்_கொலம்பஸ்,எளிதாகக் கடக்க இயலாத ஆபத்தான இடம் அது.,6
கடல்வீரன்_கொலம்பஸ்,அந்தப் பெரியவர் நல்ல உயரமும் வலுவும் பொருங்திய உடலைப் பெற்றிருந்தார்.,8
கடல்வீரன்_கொலம்பஸ்,பிறருக்குழைப்பதே பேரின்பம் என்ற எண்ணமுடையவர் அவர்.,5
கடல்வீரன்_கொலம்பஸ்,"எனவே, அந்தத் துறை வழியாக ஆற்றைக் கடக்க முயலுவோருக்கு எப்போதும் அவர் உதவியாக இருந்தார்.",11
கடல்வீரன்_கொலம்பஸ்,"வலுவான உடலும் நலமான எண்ணமும் படைத்த அந்தப் பெரியவருக்கு, வாழ்விலே ஒரு குறிக்கோள் இருந்தது.",11
கடல்வீரன்_கொலம்பஸ்,இறைவனைக் கண்ணாரக் காணவேண்டும் என்பதுதான் அந்த இலட்சியம்.,6
கடல்வீரன்_கொலம்பஸ்,அந்த இலட்சியம் நிறைவேறுவதற்கு வழி என்ன என்பது அவருக்குப் புரியவேயில்லை.,8
கடல்வீரன்_கொலம்பஸ்,அதற்காக என்ன செய்யவேண்டும் என்றும் அவருக்குத் தெரியவே யில்லை.,7
கடல்வீரன்_கொலம்பஸ்,ஒருநாள் அவர் தம் அறையில் தூங்கிக் கொண்டிருந்தார்.,6
கடல்வீரன்_கொலம்பஸ்,அப்பொழுது ஒரு குழந்தையின் குரல் அவர் பெயரைக் கூவியழைத்தது.,7
கடல்வீரன்_கொலம்பஸ்,கிரிஸ்டாபர் ! என்று அந்தக் குழந்தை யழைத்த குரல் அவர் தூக்கத்தைக் கலைத்தது.,9
கடல்வீரன்_கொலம்பஸ்,"கிரிஸ்டாபர், என்னை அக்கரையில் கொண்டு போய் விடு என்று அந்தக் குழந்தை கூவியது.",10
கடல்வீரன்_கொலம்பஸ்,உடனே பெரியவர் தம் கைத்தடியுடன் வெளியில் வந்தார்.,6
கடல்வீரன்_கொலம்பஸ்,அந்தக் குழந்தையைத் தன் தோளில் தூக்கி வைத்துக் கொண்டு ஆற்றைக் கடக்கலானர்.,9
கடல்வீரன்_கொலம்பஸ்,அவர் ஆற்றைக் கடந்து நடக்க நடக்கத் தோளில் இருந்த குழந்தையின் எடை அதிகரித்துக் கொண்டேயிருந்தது.,11
கடல்வீரன்_கொலம்பஸ்,பளுவைத் தாங்க முடியாமல் அவர் கால் இடறியது.,6
கடல்வீரன்_கொலம்பஸ்,"தட்டுத் தடுமாறிக்கொண்டு, எப்படியோ பத்திரமாக அவர் அந்தக் குழந்தையை அக் கரைக்குக் கொண்டு போய்ச் சேர்த்துவிட்டார்.",12
கடல்வீரன்_கொலம்பஸ்,"அந்தக் குழந்தையைக் கீழே இறக்கிவிட்டு, அப்பா, சிறுவனே !",6
கடல்வீரன்_கொலம்பஸ்,என்னைப் பெரிய ஆபத்தில் சிக்க வைக்க இருந்தாய் !,6
கடல்வீரன்_கொலம்பஸ்,உன்னைத் தூக்கியதற்கு இந்த உலகத்தையே தூக்கிச் சுமந்திருக்கலாம் போலிருக்கிறது எவ்வளவு பளு என்று கூறினார் பெரியவர்.,12
கடல்வீரன்_கொலம்பஸ்,இதில் என்ன ஆச்சரியம் இந்த உலகம் முழுவதையும் இதைப் படைத்தவனையும் சேர்த்துத் தானே நீ சுமந்தாய் !,12
கடல்வீரன்_கொலம்பஸ்,பிறருக்கு நன்மை செய்வதன் மூலம் நீ எனக்குத் தொண்டு புரிந்தாய் !,8
கடல்வீரன்_கொலம்பஸ்,உன் கைத்தடியை அந்தக் குடிலின் வாயிலில் ஊன்றி வை.,7
கடல்வீரன்_கொலம்பஸ்,அது நாளைக்கே பூத்துக் காய்ப்பதைக் காணலாம்.,5
கடல்வீரன்_கொலம்பஸ்,கொலம்போ அல்லது கொலம்பஸ் என்பது அவனுடைய குடும்பப் பெயர்.,7
கடல்வீரன்_கொலம்பஸ்,கிறிஸ்டாபர் என்பதுதான் பெற்றோர்கள் அவனுக்கு இட்ட பெயர்.,6
கடல்வீரன்_கொலம்பஸ்,அவர்கள் என்ன காரணத்தினல் அந்த முனிவரின் பெயரை அவனுக்கு இட்டார்களோ தெரியவில்லை.,9
