work_title,sentence,sentence_length
லியோ_டால்ஸ்டாயின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,லியோ டால்ஸ்டாயின் நம்மை மேம்படுத்தும் எண்ணங்கள் என்.,6
லியோ_டால்ஸ்டாயின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,லியோ டால்ஸ்டாயின் நம்மை மேம்படுத்தும் எண்ணங்கள் புலவர் என்.வி.,8
லியோ_டால்ஸ்டாயின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,கலைமணி எம்.ஏ.,3
லியோ_டால்ஸ்டாயின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"அலமு நிலையம் எண் பதினெட்டு , மேட்லி சாலை, தியாகராய நகர், சென்னை அறுநூறு  பதினேழு .",11
லியோ_டால்ஸ்டாயின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,﻿ விலை ரூ.,3
லியோ_டால்ஸ்டாயின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,வாழையடி வாழையாக வளர்ந்த மனித நேயம் !,5
லியோ_டால்ஸ்டாயின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,ஒழுக்கம் உயிரினும் ஓம்பப்படும் மரணதண்டனை கொடுமையான அநீதியே !,6
லியோ_டால்ஸ்டாயின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,அடிமை முறைகள் அழிய டால்ஸ்டாயின் எழுத்துப்போர் !,5
லியோ_டால்ஸ்டாயின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,இன்றும் உலகம் போற்றும் இரு பெரும் நாவல்கள் !,6
லியோ_டால்ஸ்டாயின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,ஜார் மன்னன் படுகொலையும் டால்ஸ்டாய் வேண்டுகோளும் !,5
லியோ_டால்ஸ்டாயின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,பஞ்ச நிவாரண நூல் ருஷ்ய அரசால் பறிமுதல் !,6
லியோ_டால்ஸ்டாயின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,ஆண்டவனோடு போராடுவோர் டால்ஸ்டாய் மதத்துரோகியா?,4
லியோ_டால்ஸ்டாயின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,டால்ஸ்டாயின் எண்பது வது ஆண்டு விழா டால்ஸ்டாயின் கடைசி நூல் காந்தியடிகளின் வழிகாட்டி மறைந்தார் !,11
லியோ_டால்ஸ்டாயின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,அண்ணல் காந்தியின் அறவுணர்ச்சி ஆசான் !,4
லியோ_டால்ஸ்டாயின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"மனித இனம் நல்வாழ்வு வாழ, எண்ணற்ற மனித குல மேதைகள் தங்களது சொந்த வாழ்வினையே பலியாக்கிக் கொண்டார்கள்.",13
லியோ_டால்ஸ்டாயின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,அத்தகைய மாமேதைகளில் ஒருவர் லியோ டால்ஸ்டாய் என்ற எழுத்துலகச் சிற்பி.,8
லியோ_டால்ஸ்டாயின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,இரஷிய நாட்டிலே புலால் உண்பதே பிறவிப்பயன் !,5
லியோ_டால்ஸ்டாயின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"அவர்கள் இடையே மாமிசம் உண்பதை அறவே கைவிட்டு, இறைச்சி உண்ணாதே என்றுதான் கூறியதற்கு எடுத்துக்காட்டு இலக்கணமாகத் திகழ்ந்தவர் லியோ !",14
லியோ_டால்ஸ்டாயின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,தமிழ்மக்களிலே வாழும் சில வீர சைவர்களைப் போல கம்பீரமாக சைவ உணவுகளைப் பற்றித் தனது கட்டுரைகளிலே எழுதியவர் அவர்.,14
லியோ_டால்ஸ்டாயின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,ருஷ்ய நாட்டிலேயும் சில வீரசைவக் குடும்பங்களைத் தோற்றுவித்து உடலோம்பலின் வழிகாட்டியாக நின்றவர் டால்ஸ்டாய் !,10
லியோ_டால்ஸ்டாயின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,﻿காந்தியடிகள் தனக்கு குரு என்று இரண்டு மாமனிதர்களை ஏற்றுக் கொண்டார்.,8
லியோ_டால்ஸ்டாயின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"அவர்களிலே ஒருவர், கோபால கிருஷ்ண கோகலே என்பவர்.",6
லியோ_டால்ஸ்டாயின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"அவரை உத்தமர் காந்தியடிகள் தனது அரசியல் வழிகாட்டியாக, குருவாக ஏற்றுக் கொண்டார்.",9
லியோ_டால்ஸ்டாயின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,﻿வாழையடி வாழையாக வளர்ந்த மனித நேயம் !,5
லியோ_டால்ஸ்டாயின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"தென்னாப்பிரிக்காவிலே ஒரு வழக்குக்காக வாதாடச்சென்ற அகிம்சை ஞானி காந்தியடிகள், டால்ஸ்டாய் பெயரிலே அங்கே கூட்டு வாழ்க்கை பண்ணையை உருவாக்கினார்.",14
லியோ_டால்ஸ்டாயின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,அந்த அளவுக்கு டால்ஸ்டாயின் அறவுணர்ச்சி அவரை மாற்றி அமைத்தது.,7
லியோ_டால்ஸ்டாயின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,அத்தகைய ஞானி டால்ஸ்டாய் பிறந்த சோவியத் ருஷ்யா இன்று பொதுவுடைமை நாடாக இருக்கிறது.,10
லியோ_டால்ஸ்டாயின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"ஆனால், அவரது காலத்தில் ஜார் மன்னனின் முடியரசு நாடாக இருந்தது.",8
லியோ_டால்ஸ்டாயின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,ருஷிய அரசரை ஜார் என்பார்கள் அந்நாட்டு மக்கள்.,6
லியோ_டால்ஸ்டாயின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"மன்னன் ஆட்சி என்பது மக்களுக்காக நீதியோடும், அறவுணர்வுகளோடும் ஆளப்படும் என்பது அரச நீதி.",10
லியோ_டால்ஸ்டாயின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"ஆனால், ஜார் என்ற மாபாவி ஆட்சி என்ற பெயரிலே, பொய், சூதுவது, தீமை, கொடுங்கோல், ஆட்சியை நடத்தி வந்தான்.",14
லியோ_டால்ஸ்டாயின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"பேய் ஆட்சி செய்தால், பிணம் தின்னும் சாத்திரங்கள் என்று பாரதி பாடியதற்கு ஏற்றவாறு ஜார் என்ற கொடுங்கோலன் பேயாவான் !",14
லியோ_டால்ஸ்டாயின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,சாத்திரங்கள் என்ற அதிகார வர்க்கங்கள் மக்களைப் பிணமாகத் தின்னும் !,7
லியோ_டால்ஸ்டாயின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,அவ்வளவு அராஜகத்தோடு அந்த ஆட்சி நடைபெற்று வந்தது.,6
லியோ_டால்ஸ்டாயின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"இவை போன்ற கோர வாழ்க்கைக்கு இடையே, ருஷிய மக்கள் பஞ்சத்திலும் நோய்களிலும் சிக்கிப் பல தவித்தார்கள்.",12
லியோ_டால்ஸ்டாயின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,இந்தச் சூழ்நிலை நீடித்துக் கொண்டிருந்த நேரத்திலேதான் மனிதாபிமானியான டால்ஸ்டாய் ருஷ்யாவிலே பிறந்தார்.,9
லியோ_டால்ஸ்டாயின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,டால்ஸ்டாயின் முன்னோர்கள் ஜார் மன்னன் பரம்பரையின் அன்பைப் பெற்றிருந்தார்கள்.,7
லியோ_டால்ஸ்டாயின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"அதனால், டால்ஸ்டாயின் முன்னோரான பீட்டர் டால்ஸ்டாய் என்பவருக்கு, மகாபீட்டர் என்ற ருஷ்ய மன்னர் அந்தப் பிரபு பட்டத்தை வழங்கினார்.",14
லியோ_டால்ஸ்டாயின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,மகாபீட்டர் என்ற மன்னன் மாண்டதும் மகாகாதரைன் என்ற அரசி ருஷ்ய ஆட்சிக்கு வந்தாள்.,10
லியோ_டால்ஸ்டாயின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"அவளும் மகா பீட்டரைப் போலவே, டால்ஸ்டாய் முன்னோர்கள் மீது மதிப்பும் மரியாதையும் வைத்திருந்தாள்.",10
லியோ_டால்ஸ்டாயின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"அவளுக்குப் பிறகு ஆட்சிக்கு வந்த இரண்டாவது பீட்டர் மன்னன், பீட்டர் டால்ஸ்டாயை நாடு கடத்தி விட்டான்.",12
லியோ_டால்ஸ்டாயின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"அது மட்டுமன்று, பிரபு என்ற பட்டத்தையும் ஆணவத்தால் பறித்துக் கொண்டான்.",8
லியோ_டால்ஸ்டாயின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"பாவம், நாடு கடத்தப்பட்ட அந்த அதிர்ச்சியால் பீட்டர் டால்ஸ்டாய் இறந்தார்.",8
லியோ_டால்ஸ்டாயின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,மகாராணி எலிசபெத் பிறகு ருஷ்ய ராணியானாள்.,5
லியோ_டால்ஸ்டாயின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"அவள், ஜாக் பரம்பரையால் பறிக்கப்பட்டு விட்ட பிரபு என்ற பட்டத்தை மீண்டும் டால்ஸ்டாயின் முன்னோருக்கு வழங்கினாள்.",12
லியோ_டால்ஸ்டாயின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"அத்துடன் ஆட்சியினரால் பறிமுதல் செய்யப்பட்ட நிலத்தையும், சொத்துக்களையும் திருப்பிக் கொடுத்தாள்.",8
லியோ_டால்ஸ்டாயின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"தகுதியும், திறமையும் உள்ள நிகோலஸ், தனது இளமையான வயதிலேயே ராணுவப் படையில் சேர்ந்தார்.",10
லியோ_டால்ஸ்டாயின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,"ஆனால், சில மாதங்களுக்குள் அவர் எதிரிகளால் சிறைபிடிக்கப் பட்டார்.",7
