work_title,sentence,sentence_length
குருகுலப்_போராட்டம்,குருகுலப் போராட்டம் பாவலர் நாரா.,4
குருகுலப்_போராட்டம்,﻿முன்னுரை இந்திய நாடெங்கும் இன்று சமூகநீதி வேண்டும் என்ற கோரிக்கை வலுப்பெற்று வருகிறது.,10
குருகுலப்_போராட்டம்,இந்த விழிப்புணர்வின் தாயகம் தமிழகமே !,4
குருகுலப்_போராட்டம்,இந்த விழிப்புணர்வைத் தொடக்கத்தில் நாட்டில் உண்டாக்கியவர் தந்தை பெரியாரே !,7
குருகுலப்_போராட்டம்,தகுதியும் திறமையும் உள்ள மேலாதிக்க சாதி யாரின் சதியினால்தான் நாடு பின்தங்கியுள்ள தென்பதை நாட்டுமக்கள் உணர்ந்துவிட்டார்கள்.,12
குருகுலப்_போராட்டம்,உலக முழுவதிலும் கருப்பு இனத்தவர்கள் அடிமைகளாக்கப்பட்டு ஆடுமாடுகளோடு சேர்த்து விற்கப்பட்ட காலமும் ஒன்று இருந்தது.,11
குருகுலப்_போராட்டம்,"இன்று அமெரிக்க நாட்டின் பெருமைக்குப் பெரிதும் காரணமாக இருப்பவர்கள், ஒரு காலத்தில் அடிமைகளாக நடத்தப்பட்ட கருப்பர்களே !",12
குருகுலப்_போராட்டம்,"பிரெஞ்சு ஆதிக்கத்திலிருந்து விடுபட்ட ஆப்பிரிக்காக் கண்டத்து செனகால் நாட்டுத் தலைவர் செங்கோர், உலகத்தின் தலைசிறந்த கவிஞராகத் திகழ்கிறார்.",13
குருகுலப்_போராட்டம்,﻿ பொருளடக்கம் ஒன்று.,3
குருகுலப்_போராட்டம்,போருக்குள் ஒரு போர் ஒன்பது இரண்டு.,5
குருகுலப்_போராட்டம்,நாட்டுக் கல்வியின் தேவை பதினான்கு  மூன்று.,5
குருகுலப்_போராட்டம்,வார்தா முனிவரும் ஈரோட்டண்ணலும் இருபத்திரண்டு நான்கு.,5
குருகுலப்_போராட்டம்,கலாச்சாரத்தைக் காக்க ஒரு குருகுலம் இருபத்தேழு ஐந்து.,6
குருகுலப்_போராட்டம்,திட்டுண்ணா என்ன நயினா?,3
குருகுலப்_போராட்டம்,காங்கிரஸ் செயற்குழுவில் கருத்துப் போராட்டம் நாற்பத்தாறு ஏழு.,6
குருகுலப்_போராட்டம்,காந்தியடிகள் தடம் புரண்டார் அறுபத்தைந்து எட்டு.,5
குருகுலப்_போராட்டம்,சமூக நீதியே சமநீதி எண்பத்தொன்று ஒன்பது.,5
