work_title,sentence,sentence_length
விந்தன்_கதைகள்-2,அக்கதைகளில் சிகரமாகவும் சிறப்புடையதுமான கதைகளைத் தேர்வு செய்து தரப்பட்டுள்ளது.,7
விந்தன்_கதைகள்-2,"நாற்பதாண்டு இலக்கிய வாழ்க்கையில் விந்தன், பெற்ற முதல் பரிசும் கடைசிப் பரிசும் அதுதான்.",10
விந்தன்_கதைகள்-2,விந்தன் கதைகள் முழுவதும் ஒரே நூலாக வரவேண்டும் என்பது வாசகர்களின் ஆய்வாளர்களின் நீண்ட நாளைய கனவு.,12
விந்தன்_கதைகள்-2,அந்த இலக்கியக் கனவை நல்ல நூல்கள் வெளியீட்டாளரான கலைஞன் பதிப்பகத்தின் எழுச்சி மிக்க இளைஞர் எம்.,12
விந்தன்_கதைகள்-2,நந்தா அவர்கள் நனவாக்கி விட்டார்கள்.,4
விந்தன்_கதைகள்-2,என்று அலமேலு அம்மாள் தன் ஒரே மகனைப் பற்றித் தனக்குத் தெரிந்தவர்களிடமெல்லாம் அடிக்கடி சொல்லிக் கொள்வாள்.,12
விந்தன்_கதைகள்-2,இந்த முடிவை அவன் தாயாரிடமும் ஒரு நாள் நாசூக்காகத் தெரிவித்தான் என்னுடைய நன்மை எனக்குப் பெரிதல்ல.,12
விந்தன்_கதைகள்-2,உன்னுடைய நன்மைதான் எனக்குப் பெரிது.,4
விந்தன்_கதைகள்-2,உன்மீது கொண்டிருக்கும் அன்பில் இன்னொருத்தி பங்கு கொள்ள வருவதை நான் விரும்பவில்லை !,9
விந்தன்_கதைகள்-2,"நன்றாயிருக்குடா, நீ சொல்வது !",3
விந்தன்_கதைகள்-2,"நான் இன்று போவேனோ, நாளை போவேனோ?",5
விந்தன்_கதைகள்-2,நான் ஒரு சதமா உனக்கு?,4
விந்தன்_கதைகள்-2,அதெல்லாம் முடியாது உனக்குக் கல்யாணத்தைப் பண்ணிவைத்து விட்டுத்தான் நான் கண்ணை மூடுவேனாக்கும் !,9
விந்தன்_கதைகள்-2,என்று பிடிவாதம் பிடித்தாள் தாயார்.,4
விந்தன்_கதைகள்-2,ஜானகிராமனின் பாடு தர்ம சங்கடமாகப் போய்விட்டது.,5
விந்தன்_கதைகள்-2,அவன் மெல்லவும் முடியாமல் விழுங்கவும் முடியாமல் கல்யாணத்துக்கு ஒருவாறு சம்மதித்தான்.,8
விந்தன்_கதைகள்-2,அதன் பயனாக வைஜயந்தி அவனுக்கு மனைவியாக வந்து வாய்த்தாள்.,7
விந்தன்_கதைகள்-2,ஏறக்குறைய மூன்றுமாத காலம் அவர்களுடைய மண வாழ்க்கையில் குறையொன்றும் தெரியவில்லை அப்படியே தெரிந்தாலும் அது குறையாகத் தோன்றவில்லை.,13
விந்தன்_கதைகள்-2,"அதற்குள் அலமேலு அம்மாள், தான் ஏற்கனவே சபதம் எடுத்துக் கொண்டிருந்தபடி கண்ணை மூடிவிட்டிருந்தால் எவ்வளவோ நன்றாயிருந்திருக்கும்.",12
விந்தன்_கதைகள்-2,அவளுடைய வயது வளர்ந்து கொண்டே யிருந்தது அதற்கேற்றாற்போல் வம்பும் வளர்ந்து கொண்டே வந்தது.,10
விந்தன்_கதைகள்-2,"⁠ ⁠ பேபி, பேபி !",4
விந்தன்_கதைகள்-2,இது வைஜயந்தி என்பதற்குப் பதிலாக ஜானகிராமன் தன் மனைவிக்கு வைத்திருக்கும் செல்லப் பெயர்.,10
விந்தன்_கதைகள்-2,நாய்குட்டியைக் கூப்பிடுகிற மாதிரி கூப்பிடுகிறாயே !,4
விந்தன்_கதைகள்-2,"வைஜயந்தி பதிலுக்கு எதையாவது சொல்லி, வம்பை வளர்க்காமலிருக்க வேண்டுமே என்று கவலையுடன் ஜானகிராமன் தன் மனைவியின் முகத்தைப் பார்ப்பான்.",14
விந்தன்_கதைகள்-2,சாயந்திரவேளையில் வைஜயந்தி தன்னை அலங்கரித்துக் கொண்டால் அலமேலு அம்மாவுக்கு ஏனோ பிடிக்கவே பிடிக்காது.,10
விந்தன்_கதைகள்-2,அகமுடையானின் மனதைக் கெடுப்பதற்கு இதெல்லாம் என்ன வேஷம்?,6
விந்தன்_கதைகள்-2,"என்று கேட்டு, அவள் முகவாய்க் கட்டையைத் தோளில் இடித்துக் கொள்வாள்.",8
விந்தன்_கதைகள்-2,இது என்ன அபத்தம் !,3
விந்தன்_கதைகள்-2,"கண்டால் காத தூரத்தில் நிற்கும்படி அவள் இருக்கவேண்டுமா, என்ன?",7
விந்தன்_கதைகள்-2,"என்று தனக்குள் வருந்தியவனாய், ஜானகிராமன் தன் மனைவியைப் பார்ப்பான்.",7
விந்தன்_கதைகள்-2,"அவள், தாயிற் சிறந்ததொரு கோயில் இல்லை !",5
விந்தன்_கதைகள்-2,என்று சொல்லிவிட்டுச் சிரிப்பாள்.,3
விந்தன்_கதைகள்-2,இரவிலும் இந்த வம்பு நிற்பதில்லை.,4
விந்தன்_கதைகள்-2,என்று அவள் எதையோ நினைத்துக் கொண்டு இரைவாள்.,6
விந்தன்_கதைகள்-2,இந்த ரஸாபாசமான விஷயம் ஜானகிராமனின் காதில் நாராசம் போல் விழும்.,8
விந்தன்_கதைகள்-2,"அவன், அட கடவுளே !",3
விந்தன்_கதைகள்-2,இது என்ன வெட்கக்கேடு !,3
விந்தன்_கதைகள்-2,என்று தலையில் அடித்துக் கொண்டே தன் மனைவியைப் பார்ப்பான்.,7
விந்தன்_கதைகள்-2,தாயிற் சிறந்ததொரு கோயில் இல்லை என்பாள் அவள் சிரித்துக் கொண்டே.,8
விந்தன்_கதைகள்-2,மற்ற நாட்களிலாவது அலமேலு அம்மாள் சும்மா இருப்பாள் என்கிறீர்களா?,7
விந்தன்_கதைகள்-2,அவர்களுடைய அறைக்கு அருகே நின்றுகொண்டு அவர்கள் என்ன பேசுகிறார்கள் என்று கவனிப்பாள்.,9
விந்தன்_கதைகள்-2,அவர்களோ அவள் எதிர்பார்த்தபடி ஒன்றும் பேச மாட்டார்கள்.,6
விந்தன்_கதைகள்-2,அலமேலு அம்மாள் நின்று நின்று கேட்டுக் கேட்டு அலுத்துப் போவாள்.,8
விந்தன்_கதைகள்-2,கடைசியில் விடிய விடிய என்னடா பேச்சு?,5
விந்தன்_கதைகள்-2,அவளுக்குத்தான் வேறு வேலை கிடையாது.,4
விந்தன்_கதைகள்-2,பொழுது விடிந்ததும் நீ வேலைக்குப் போக வேண்டாமா?,6
விந்தன்_கதைகள்-2,ஓயாமல் ஒழியாமல் இப்படிப் பேசிக் கொண்டேயிருந்தால் உடம்பு என்னத்துக்கு ஆகும்?,8
விந்தன்_கதைகள்-2,என்று அக்கரையுடன் இரைந்துவிட்டு ஏமாற்றத்துடன் சென்று படுத்துக் கொள்வாள்.,7
விந்தன்_கதைகள்-2,ஜானகிராமனுக்கோ ஒன்றும் புரியாது.,3
விந்தன்_கதைகள்-2,அவன் மனோதத்துவத்தில் இறங்கித் தன்னுடைய தாயாரைப் பற்றி ஆராய்ச்சி செய்வான்.,8
விந்தன்_கதைகள்-2,தாங்கள் கண்ட புதிய உலகத்தைப் பற்றி அவர்கள் என்னவெல்லாமோ பேசவேண்டுமென்று துடியாய்த் துடித்தார்கள்.,10
விந்தன்_கதைகள்-2,ஒரு நாள் மாலை ஜானகிராமன் பொழுதோடு வீட்டுக்கு வந்தான்.,7
விந்தன்_கதைகள்-2,"அவனுக்குக் காப்பி கொடுத்த பிறகு, எங்கேயாவது சென்று சிறிது நேரம் மனம் விட்டுப் பேசிக் கொண்டிருந்தால் தேவலையே !",13
விந்தன்_கதைகள்-2,இதை அவள் சாதாரணமாய்த்தான் சொன்னாள்.,4
விந்தன்_கதைகள்-2,இருந்தாலும் ஜானகிராமனின் உள்ளத்தை அது என்னவோ செய்தது.,6
விந்தன்_கதைகள்-2,அவன் அவளைப் பரிதாபத்துடன் பார்த்தான்.,4
விந்தன்_கதைகள்-2,பிறகு கடற்கரைக்காவது சென்று சிறிது நேரம் இருந்துவிட்டு வருவோமா?,7
விந்தன்_கதைகள்-2,எனக்கு ஆக்ஷேபணையில்லை ஆனால் உங்கள் தாயார்.... அவளிடம் ஏதாவது...?,7
விந்தன்_கதைகள்-2,ஆமாம் அவள்தானே நம்மைப் பொய் சொல்லச் சொல்கிறாள்?,6
விந்தன்_கதைகள்-2,"சரி, என்ன பொய் சொல்வீர்கள்?",4
விந்தன்_கதைகள்-2,"இப்பொழுது எங்கே பார்த்தாலும் நவராத்திரி விழா நடக்கிறதே, யாரோ கொலுவுக்கு அழைத்திருப்பதாகச் சொன்னால் போகிறது !",11
விந்தன்_கதைகள்-2,இதைச் சொல்லி அவன் வாயைக்கூட மூடவில்லை காரியம் ஒன்றும் நடக்காவிட்டாலும் இந்த வீட்டில் பேச்சுக்குக் குறைவில்லை?,12
விந்தன்_கதைகள்-2,என்று இரைந்து கொண்டே அலமேலு உள்ளே வந்தாள்.,6
விந்தன்_கதைகள்-2,"ஜானகிராமன் திருதிரு வென்று விழித்துக் கொண்டே, ஒன்றுமில்லை, அம்மா !",7
விந்தன்_கதைகள்-2,நண்பன் ஒருவன் எங்களை நவராத்திரி விழாவுக்கு அழைத்திருக்கிறான்... என்று ஆரம்பித்தான்.,8
விந்தன்_கதைகள்-2,அதற்கு ஒரு வயசுப் பெண்ணை அழைத்துக் கொண்டு நீ தனியாகப் போக வேண்டுமா?,10
